observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2821320,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"92,5",,,,131,,"12,13",,"75,1",,"101,7",,4,,"59,8",,1,,5,,6,
RE05005itkt,2821286,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,80,,1,,"129,5",,"11,98",,"69,6",,110,,1,,83,,,,2,,6,
Caphornitkfi,2821341,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"82,5",,,,130,,"12,35",,"67,7",,"113,9",,"2,5",,67,,1,,6,,"4,5",
RE05050itkt,2821346,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,95,,1,,131,,"12,26",,"71,5",,"106,8",,1,,"80,6",,,,"3,5",,7,
Caphornitknt,2821342,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"77,5",,,,126,,"11,78",,"71,6",,"116,5",,"3,5",,"63,9",,1,,6,,3,
Apacheitkfi,2821329,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,125,,"11,62",,"71,7",,104,,8,,"61,2",,1,,3,,"2,5",
EM05055itknt,2821354,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,95,,,,126,,"11,32",,"69,4",,"95,1",,8,,"52,2",,1,,1,,"4,5",
RE05005itknt,2821285,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,80,,,,128,,"12,35",,74,,"135,8",,1,,"74,5",,1,,3,,"4,5",
Sankaraitkt,2821340,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"87,5",,1,,135,,"13,76",,"69,6",,"90,7",,1,,"68,4",,,,4,,"5,5",
EM05055itkt,2821355,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,95,,1,,129,,"11,96",,"68,2",,92,,1,,"69,4",,,,3,,"6,5",
DI06004itkfi,2821383,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"87,5",,,,134,,"12,42",,70,,"103,6",,4,,61,,1,,4,,"5,5",
EM05055itkfi,2821353,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"97,5",,,,130,,"12,07",,"63,7",,"84,1",,8,,"49,5",,1,,1,,4,
Sankaraitknt,2821339,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"1,5",,"87,5",,,,131,,"13,48",,"71,2",,"88,1",,"3,5",,"48,3",,1,,"5,5",,6,
Sankaraitkfi,2821338,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"87,5",,,,135,,"14,8",,69,,"91,1",,"5,5",,"53,6",,1,,5,,"6,5",
CF05173itkt,2821370,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"87,5",,1,,131,,"12,65",,"70,2",,"102,7",,1,,"77,5",,,,4,,3,
RE05005itkfi,2821284,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"82,5",,,,131,,"12,52",,"69,8",,"125,9",,1,,"74,1",,1,,"2,5",,"6,5",
RE05050itknt,2821345,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"92,5",,,,130,,"12,26",,"72,6",,"99,8",,5,,"54,7",,4,,"5,5",,"4,5",
DI06004itkt,2821385,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,1,,"134,5",,13,,"71,4",,"101,6",,1,,"76,6",,,,3,,4,
CF05173itknt,2821369,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"82,5",,,,"130,5",,"12,78",,"72,4",,"110,4",,5,,"60,5",,1,,7,,3,
CF05173itkfi,2821368,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"87,5",,,,131,,"12,7",,"69,9",,"95,8",,"5,5",,"56,3",,1,,"5,5",,"3,5",
CF04046itkt,2821361,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,95,,1,,133,,"11,82",,"69,1",,"92,6",,1,,"69,8",,,,"3,5",,7,
RE05038itkt,2821352,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"87,5",,1,,131,,"11,34",,"71,7",,"93,4",,1,,"70,5",,,,3,,7,
RE05016itkt,2821376,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"97,5",,1,,131,,"11,56",,"71,2",,"103,1",,1,,"77,7",,,,3,,7,
CF05079itkfi,2821365,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,100,,,,"130,5",,"12,63",,"75,4",,"109,4",,6,,"64,4",,1,,5,,"3,5",
EM05312itknt,2821294,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,90,,,,"127,5",,"11,69",,73,,"104,2",,4,,"57,1",,1,,6,,3,
DI06004itknt,2821384,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,85,,,,133,,"12,51",,"70,9",,109,,"7,5",,"59,8",,1,,4,,"3,5",
EM05312itkt,2821295,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"92,5",,1,,130,,"12,79",,"69,6",,"100,3",,1,,"75,7",,,,"3,5",,4,
EM05312itkfi,2821293,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,95,,,,"130,5",,"12,38",,66,,88,,4,,"51,8",,1,,6,,"5,5",
CF05079itknt,2821366,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"92,5",,,,"130,5",,"12,18",,"74,4",,"117,8",,"7,5",,"64,6",,1,,4,,3,
RE05038itknt,2821351,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"92,5",,,,128,,"10,72",,72,,"109,1",,4,,"59,8",,4,,4,,5,
RE05047itkfi,2821305,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,131,,"11,64",,"75,2",,"118,9",,"4,5",,70,,1,,4,,5,
CF05079itkt,2821367,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"92,5",,1,,131,,"12,22",,"75,2",,"111,4",,1,,84,,,,3,,"6,5",
RE05039itknt,2821327,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"92,5",,,,128,,"11,48",,"68,7",,"110,9",,"3,5",,"60,8",,1,,4,,"6,5",
RE05038itkfi,2821350,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,131,,"11,7",,"66,4",,"94,8",,4,,"55,8",,"3,5",,4,,7,
CF05091itkt,2821349,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"82,5",,1,,130,,"12,1",,"72,2",,"103,6",,2,,"78,1",,,,"3,5",,2,
CF05140itkfi,2821311,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"92,5",,,,130,,"12,55",,"70,4",,"104,3",,5,,"61,4",,1,,5,,"5,5",
CF05091itknt,2821348,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,80,,,,128,,"11,92",,"70,7",,"105,4",,6,,"57,8",,1,,"5,5",,2,
CF05091itkfi,2821347,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"82,5",,,,130,,"12,17",,"71,3",,"99,5",,"5,5",,"58,6",,1,,5,,"3,5",
CF04046itkfi,2821359,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"97,5",,,,131,,"12,06",,68,,"88,7",,6,,"52,2",,1,,5,,"7,5",
RE05047itknt,2821306,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,90,,,,128,,"10,98",,"77,6",,"125,6",,"6,5",,"68,9",,1,,4,,4,
CF05140itknt,2821312,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"87,5",,,,128,,"11,72",,76,,"117,8",,4,,"64,6",,1,,6,,3,
RE05007itkfi,2821287,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,80,,,,131,,"11,98",,75,,"130,8",,1,,77,,1,,2,,"5,5",
CF05070itkfi,2821371,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,135,,"13,17",,75,,"91,7",,"7,5",,54,,1,,5,,"4,5",
CF05140itkt,2821313,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49523,https://doi.org/10.15454/MMQSM6,CF05140,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"92,5",,1,,"129,5",,"12,08",,"73,1",,"109,5",,"1,5",,"82,6",,,,4,,5,
CF05070itkt,2821373,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,90,,1,,135,,"13,11",,"74,4",,"111,5",,1,,"84,1",,,,3,,5,
RE05007itkt,2821289,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"77,5",,2,,131,,"11,36",,"68,6",,"115,3",,1,,87,,,,2,,"2,5",
RE05007itknt,2821288,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,80,,,,128,,"11,71",,"72,4",,"139,9",,1,,"76,7",,1,,4,,4,
CF05070itknt,2821372,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,90,,,,134,,"12,87",,"74,4",,"104,9",,"8,5",,"57,5",,1,,1,,3,
RE05016itknt,2821375,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"92,5",,,,131,,"11,64",,71,,"105,2",,3,,"57,7",,"4,5",,"5,5",,7,
CF05161itknt,2821324,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,85,,,,129,,"12,1",,"70,2",,"100,1",,"6,5",,"54,9",,1,,"4,5",,"2,5",
CF05162itkfi,2821317,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"87,5",,,,130,,"11,7",,"68,4",,109,,6,,"64,2",,1,,"5,5",,5,
CF05086itkfi,2821308,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,85,,,,130,,"13,43",,"69,6",,"68,5",,9,,"40,3",,1,,1,,3,
CF05162itknt,2821318,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,85,,,,"127,5",,"11,06",,"70,4",,108,,5,,"59,2",,1,,"6,5",,2,
CF05161itkfi,2821323,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,85,,,,"130,5",,13,,66,,92,,5,,"54,1",,1,,4,,4,
RE05016itkfi,2821374,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"97,5",,,,131,,"11,7",,"70,6",,"95,9",,1,,"56,4",,4,,4,,"7,5",
RE05037itkt,2821316,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"92,5",,1,,131,,"11,44",,"67,7",,"73,4",,1,,"55,3",,,,"4,5",,"7,5",
CF05162itkt,2821319,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"87,5",,1,,"130,5",,"11,97",,"71,8",,"107,8",,1,,"81,3",,,,4,,4,
RE05037itkfi,2821314,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,100,,,,131,,11,,67,,"88,4",,5,,52,,1,,6,,"7,5",
Mendelitkfi,2821332,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"82,5",,,,"127,5",,"12,76",,"64,9",,91,,8,,"53,6",,"3,5",,1,,"3,5",
AO06407itkt,2821304,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,"92,5",,1,,135,,"10,76",,"75,8",,"108,9",,1,,"82,1",,,,4,,"2,5",
AO06407itknt,2821303,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,100,,,,131,,"10,66",,"74,4",,"106,1",,"5,5",,"58,2",,1,,"4,5",,"3,5",
CF05161itkt,2821325,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,1,,131,,"12,61",,"69,9",,"99,2",,1,,"74,8",,,,4,,2,
CF05086itkt,2821310,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,1,,130,,"12,66",,66,,"66,5",,"4,5",,"50,1",,,,5,,2,
DI06007itkfi,2821380,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,131,,"12,2",,"73,8",,"137,2",,1,,"80,7",,3,,2,,"4,5",
AO06407itkfi,2821302,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,100,,,,"132,5",,"11,46",,"78,2",,"99,7",,4,,"58,7",,1,,"4,5",,4,
EM05230itkfi,2821377,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,90,,,,135,,"11,03",,72,,"121,3",,1,,"71,4",,1,,2,,"5,5",
CF05086itknt,2821309,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,"82,5",,,,127,,"12,45",,"67,6",,79,,9,,"43,3",,1,,1,,"2,5",
EM05230itkt,2821379,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2007,,,85,,3,,135,,"10,76",,"74,3",,"115,9",,1,,"87,4",,,,2,,"4,5",
CF04046itknt,2821360,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,1,,100,,,,131,,"10,64",,"72,2",,"102,3",,6,,"56,1",,1,,6,,6,
EM05230itknt,2821378,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2007,"1,5",,"87,5",,,,135,,"10,32",,"75,6",,"141,1",,"2,5",,"77,4",,3,,4,,4,
RE05050itkfi,2821344,BTH_Estrées-Mons_2007_SetA2,BTH_Estrées-Mons_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,,,"92,5",,,,130,,"12,84",,"71,4",,"87,5",,4,,"51,5",,1,,"5,5",,"6,5",
