observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF12048itkfi,2877000,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61386,https://doi.org/10.15454/SZ7V8T,CF12048,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,108,,144,,"85,2",,"88,6",,"1,5",,"77,6",,1,
RE12020itkfi,2876996,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"80,9",,"85,2",,2,,"74,6",,1,
Altigoitkfi,2877005,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,142,,79,,102,,4,,"89,3",,4,
CF12042itkfi,2876997,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"79,5",,"92,2",,1,,"80,7",,1,
EM12096itkfi,2876982,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,142,,"82,7",,"105,3",,2,,"92,2",,1,
DI13002itkfi,2876999,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,152,,"81,9",,"101,4",,1,,"88,8",,"2,5",
Apacheitkfi,2877004,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,142,,"79,8",,"97,7",,1,,"85,6",,1,
AO13011itkfi,2877007,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,60766,https://doi.org/10.15454/IIFLIA,AO13011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,144,,"81,2",,"80,1",,4,,"70,2",,1,
CF12062itkfi,2876998,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,148,,"81,4",,"92,6",,1,,"81,1",,1,
CF12130itkfi,2877011,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61462,https://doi.org/10.15454/9YFN5V,CF12130,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,105,,148,,"79,7",,"92,3",,"1,5",,"80,8",,1,
EM12015itkfi,2877018,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61864,https://doi.org/10.15454/ASTFXF,EM12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,142,,"81,3",,"92,9",,1,,"81,3",,1,
EM12044itkfi,2877002,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,145,,"81,5",,"98,1",,2,,"85,9",,1,
Attlassitkfi,2877014,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,146,,81,,"112,5",,1,,"98,5",,1,
CF12149itkfi,2876983,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61479,https://doi.org/10.15454/LE3Y6P,CF12149,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,144,,"81,8",,"87,9",,"1,5",,77,,1,
Bermudeitkfi,2876992,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,148,,"81,4",,"102,8",,1,,90,,1,
EM12040itkfi,2877003,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,139,,"81,2",,"96,9",,"1,5",,"84,8",,1,
Rubiskoitkfi,2877017,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,143,,"79,2",,"98,4",,1,,"86,2",,1,
CF12164itkfi,2876986,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61495,https://doi.org/10.15454/79MDPU,CF12164,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"81,9",,"94,5",,4,,"82,7",,1,
AO13013itkfi,2877008,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,149,,"78,4",,"110,6",,"1,5",,"96,9",,1,
AO13004itkfi,2876984,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61621,https://doi.org/10.15454/BJPX1S,AO13004,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,151,,"78,4",,"93,5",,1,,"81,9",,1,
RE12002itkfi,2876994,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"79,7",,"104,6",,"1,5",,"91,6",,1,
CF12053itkfi,2877016,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"81,2",,"88,9",,"2,5",,"77,8",,1,
DI13001itkfi,2877013,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61775,https://doi.org/10.15454/32FK98,DI13001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,149,,"80,5",,"94,2",,"2,5",,"82,5",,1,
AO13015itkfi,2877019,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,149,,"81,2",,"93,5",,"2,5",,"81,9",,1,
Pakitoitkfi,2877001,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,144,,"79,8",,"97,4",,1,,"85,3",,1,
RE12001itkfi,2876993,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,148,,"80,8",,"102,7",,"1,5",,"89,9",,1,
AO13005itkfi,2876991,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61780,https://doi.org/10.15454/IQQH9F,AO13005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,153,,"80,7",,"94,4",,1,,"82,6",,1,
AO13006itkfi,2876990,BTH_Rennes_2013_SetB1,BTH_Rennes_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,146,,"81,4",,"86,9",,"3,5",,"76,1",,1,
