observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitkt,2850758,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,145,,"10,2",,"81,2",,"104,7",,"115,4",,1,
AO10018itkfi,2850801,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,145,,"11,08",,"77,5",,"92,8",,"93,8",,4,
CF09198itkt,2850830,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,145,,"9,06",,"79,2",,"101,6",,112,,1,
CF09182itkfi,2850785,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,150,,"10,48",,"77,4",,"97,3",,"98,4",,"2,5",
AO10017itkfi,2850771,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,144,,"10,72",,"81,6",,91,,92,,"2,5",
EM09221itkt,2850828,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,144,,"9,3",,78,,"99,5",,"109,6",,1,
CF09182itkt,2850786,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,150,,"9,77",,"80,4",,"104,4",,"115,1",,"1,5",
CF09198itkfi,2850829,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48921,gnpis_pui:holding-921_taxon-4898_accession-48921,CF09198,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,144,,"9,5",,78,,"96,2",,"97,2",,"4,5",
DI10009itkfi,2850803,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48858,gnpis_pui:holding-921_taxon-4898_accession-48858,DI10009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,150,,"9,59",,"77,4",,95,,96,,1,
CF09176itkfi,2850815,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,146,,"9,88",,"78,8",,"94,4",,"95,4",,1,
Attlassitkfi,2850821,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,89,,145,,"10,72",,"80,8",,"98,2",,"99,2",,1,
CF09176itkt,2850816,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,150,,"10,32",,"79,5",,"103,9",,"114,5",,1,
Attlassitkt,2850822,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,145,,"9,82",,"81,7",,"102,8",,"113,3",,1,
AO10020itkt,2850810,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48598,gnpis_pui:holding-921_taxon-4898_accession-48598,AO10020,VIRTUAL_TRIAL,,,,,,,,treated,2010,66,,150,,"10,78",,80,,96,,"105,8",,1,
Premioitkt,2850766,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,145,,"10,2",,"80,9",,"102,8",,"113,3",,1,
AO10020itkfi,2850809,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48598,gnpis_pui:holding-921_taxon-4898_accession-48598,AO10020,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,74,,145,,"10,14",,"78,4",,"89,9",,"90,9",,1,
Bermudeitkfi,2850773,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"9,52",,"81,4",,"102,1",,"103,2",,1,
Premioitkfi,2850765,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,81,,144,,"9,82",,"81,2",,103,,"104,1",,1,
AO10018itkt,2850802,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49584,gnpis_pui:holding-921_taxon-4898_accession-49584,AO10018,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,145,,"10,66",,81,,"102,5",,"112,9",,1,
Caphornitkfi,2850795,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,144,,"11,56",,"79,3",,"97,9",,"98,9",,"2,5",
RE09038itkt,2850770,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49325,gnpis_pui:holding-921_taxon-4898_accession-49325,RE09038,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,145,,"11,24",,"80,3",,89,,"98,1",,"1,5",
RE09038itkfi,2850769,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49325,gnpis_pui:holding-921_taxon-4898_accession-49325,RE09038,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,145,,"11,2",,"80,3",,92,,93,,1,
AO10017itkt,2850772,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49185,gnpis_pui:holding-921_taxon-4898_accession-49185,AO10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,145,,"10,48",,"81,8",,"98,5",,"108,5",,1,
Bermudeitkt,2850774,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,145,,"9,82",,"81,8",,108,,"119,1",,1,
EM09222itkfi,2850825,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,144,,"10,4",,"79,4",,"100,9",,102,,2,
AO10022itkt,2850814,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48862,gnpis_pui:holding-921_taxon-4898_accession-48862,AO10022,VIRTUAL_TRIAL,,,,,,,,treated,2010,90,,145,,"9,9",,"81,4",,"104,8",,"115,5",,2,
Caphornitkt,2850796,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,144,,"10,78",,"80,5",,"94,3",,"103,9",,1,
EM09222itkt,2850826,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,144,,"10,23",,"79,4",,"101,5",,"111,9",,1,
CF09164itkt,2850780,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49662,gnpis_pui:holding-921_taxon-4898_accession-49662,CF09164,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,145,,"10,66",,"81,1",,"102,2",,"112,6",,1,
CF09164itkfi,2850779,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49662,gnpis_pui:holding-921_taxon-4898_accession-49662,CF09164,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,145,,"10,64",,"81,2",,"95,1",,"96,2",,"1,5",
AO10016itkt,2850764,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49175,gnpis_pui:holding-921_taxon-4898_accession-49175,AO10016,VIRTUAL_TRIAL,,,,,,,,treated,2010,87,,150,,"9,45",,"78,7",,"103,7",,"114,3",,1,
EM09307itkfi,2850831,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48864,gnpis_pui:holding-921_taxon-4898_accession-48864,EM09307,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,145,,"10,76",,"77,2",,"99,6",,"100,6",,"4,5",
AO10016itkfi,2850763,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49175,gnpis_pui:holding-921_taxon-4898_accession-49175,AO10016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,150,,"11,6",,"72,1",,"88,1",,"89,1",,1,
EM09307itkt,2850832,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48864,gnpis_pui:holding-921_taxon-4898_accession-48864,EM09307,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,145,,"9,98",,"79,2",,"97,9",,"107,9",,3,
RE09033itkfi,2850833,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48510,gnpis_pui:holding-921_taxon-4898_accession-48510,RE09033,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,150,,"11,66",,"77,2",,"85,7",,"86,6",,1,
RE09034itkt,2850760,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48900,gnpis_pui:holding-921_taxon-4898_accession-48900,RE09034,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,145,,"11,6",,"81,6",,"92,8",,"102,3",,1,
RE09033itkt,2850834,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48510,gnpis_pui:holding-921_taxon-4898_accession-48510,RE09033,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,148,,"11,4",,"79,6",,"88,5",,"97,5",,1,
CF09169itkt,2850782,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,144,,"10,96",,"81,4",,"100,2",,"110,4",,3,
DI10006itkfi,2850819,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,150,,"9,71",,"79,6",,"95,5",,"96,5",,1,
RE09034itkfi,2850759,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48900,gnpis_pui:holding-921_taxon-4898_accession-48900,RE09034,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,145,,"10,52",,"82,4",,"86,4",,"87,4",,1,
RE09036itkt,2850762,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48544,gnpis_pui:holding-921_taxon-4898_accession-48544,RE09036,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,150,,"10,34",,"79,2",,"92,7",,"102,2",,1,
RE09036itkfi,2850761,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48544,gnpis_pui:holding-921_taxon-4898_accession-48544,RE09036,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,96,,150,,"10,84",,"78,6",,90,,91,,"1,5",
DI10008itkt,2850806,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49226,gnpis_pui:holding-921_taxon-4898_accession-49226,DI10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,66,,144,,"10,3",,"81,4",,"97,1",,107,,1,
CF09133itkt,2850784,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48903,gnpis_pui:holding-921_taxon-4898_accession-48903,CF09133,VIRTUAL_TRIAL,,,,,,,,treated,2010,81,,150,,"11,06",,"79,8",,"101,3",,"111,6",,1,
CF09169itkfi,2850781,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,144,,"10,66",,"81,1",,98,,99,,4,
AO10019itkt,2850798,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49053,gnpis_pui:holding-921_taxon-4898_accession-49053,AO10019,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,145,,"11,3",,"81,2",,"91,1",,"100,4",,1,
DI10011itkfi,2850767,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,144,,"9,34",,"79,9",,"96,4",,"97,4",,1,
CF09172itkfi,2850807,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48708,gnpis_pui:holding-921_taxon-4898_accession-48708,CF09172,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,146,,"10,77",,"80,2",,"94,6",,"95,6",,1,
CF09133itkfi,2850783,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48903,gnpis_pui:holding-921_taxon-4898_accession-48903,CF09133,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,150,,"11,62",,"78,9",,"101,9",,103,,"2,5",
CF09172itkt,2850808,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48708,gnpis_pui:holding-921_taxon-4898_accession-48708,CF09172,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,150,,"10,84",,"81,8",,"97,8",,"107,8",,1,
AO10023itkt,2850776,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48559,gnpis_pui:holding-921_taxon-4898_accession-48559,AO10023,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,150,,"9,84",,"80,4",,"101,7",,"112,1",,"1,5",
AO10023itkfi,2850775,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48559,gnpis_pui:holding-921_taxon-4898_accession-48559,AO10023,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,152,,"9,87",,"77,4",,"94,6",,"95,6",,4,
AO10019itkfi,2850797,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49053,gnpis_pui:holding-921_taxon-4898_accession-49053,AO10019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,144,,"11,44",,"81,6",,81,,"81,8",,1,
DI10008itkfi,2850805,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49226,gnpis_pui:holding-921_taxon-4898_accession-49226,DI10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,144,,"9,36",,"81,9",,"94,4",,"95,4",,1,
DI10011itkt,2850768,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,144,,"9,53",,"80,4",,"100,7",,111,,2,
RE09061itkt,2850800,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49193,gnpis_pui:holding-921_taxon-4898_accession-49193,RE09061,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,144,,"10,36",,"79,2",,"96,8",,"106,7",,1,
EM09225itkt,2850824,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49109,gnpis_pui:holding-921_taxon-4898_accession-49109,EM09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,145,,"9,81",,"81,4",,"101,9",,"112,3",,1,
EM09225itkfi,2850823,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49109,gnpis_pui:holding-921_taxon-4898_accession-49109,EM09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,144,,"10,09",,"80,2",,"87,8",,"88,7",,4,
AO10021itkt,2850812,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49282,gnpis_pui:holding-921_taxon-4898_accession-49282,AO10021,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,145,,"10,96",,81,,94,,"103,6",,1,
Apacheitkt,2850790,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,144,,"10,14",,"79,8",,"94,9",,"104,6",,1,
Apacheitkfi,2850789,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,144,,"10,18",,"79,8",,"97,1",,"98,1",,1,
AO10021itkfi,2850811,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,49282,gnpis_pui:holding-921_taxon-4898_accession-49282,AO10021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,145,,"11,15",,"79,4",,"93,4",,"94,4",,1,
EM09310itkt,2850788,BTH_Le_Moulon_2010_SetB2,BTH_Le_Moulon_2010_SetB2,48345,gnpis_pui:holding-921_taxon-4898_accession-48345,EM09310,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,144,,"10,35",,78,,"99,4",,"109,6",,1,
