observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM00002itkt,2785615,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,134,,"13,1",,"105,5",,"97,8",
AO03001itkt,2785606,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48650,gnpis_pui:holding-921_taxon-4898_accession-48650,AO03001,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,142,,"11,9",,"110,7",,"102,6",
Croustyitkt,2785666,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,138,,"12,9",,"97,9",,"90,8",
CF99005itkfi,2785667,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,4",,"104,7",,"73,9",
CF99005itknt,2785668,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"100,2",,"75,4",
Recitalitknt,2785662,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"72,8",,"54,8",
EM99006itkt,2785648,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,133,,"13,4",,"105,3",,"97,6",
Recitalitkt,2785663,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,127,,"13,5",,"84,9",,"78,7",
EM00002itknt,2785614,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"121,9",,"91,8",
Farandoleitkfi,2785649,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,4",,"109,7",,"77,5",
Recitalitkfi,2785661,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24059,https://doi.org/10.15454/WL6NIE,RECITAL,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,12,,"70,2",,"49,6",
EM99017itkfi,2785706,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,1",,"117,7",,"83,1",
EM99006itknt,2785647,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"107,9",,"81,2",
AO03001itknt,2785605,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48650,gnpis_pui:holding-921_taxon-4898_accession-48650,AO03001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"116,6",,"87,7",
Koreliitkfi,2785631,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,5",,"119,1",,"84,1",
Koreliitkt,2785633,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,138,,"11,6",,"111,9",,"103,7",
Koreliitknt,2785632,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"127,7",,"96,2",
EM99006itkfi,2785646,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,10,,"105,2",,"74,3",
Tamaroitknt,2785704,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"89,2",,"67,2",
Tamaroitkfi,2785703,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,2",,"87,2",,"61,6",
Tamaroitkt,2785705,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,treated,2003,105,,140,,16,,80,,"74,1",
DI00024itkt,2785618,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,137,,"12,6",,"104,1",,"96,5",
CF99351itkfi,2785637,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,1",,"96,3",,68,
CF00193itknt,2785695,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"104,2",,"78,4",
AO03001itkfi,2785604,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48650,gnpis_pui:holding-921_taxon-4898_accession-48650,AO03001,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,6",,"123,6",,"87,3",
Oratorioitkfi,2785622,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,2",,"105,4",,"74,5",
CF00193itkt,2785696,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,136,,"13,8",,"98,3",,"91,1",
CF99351itkt,2785639,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,141,,15,,"84,2",,"78,1",
CF99351itknt,2785638,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"94,5",,"71,1",
Soissonsitkt,2785702,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,131,,"13,2",,"94,4",,"87,5",
CF00193itkfi,2785694,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,3",,"103,4",,73,
DI00024itkfi,2785616,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,3",,"104,9",,74,
CF99105itknt,2785698,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"119,4",,"89,9",
CF99105itkfi,2785697,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,2",,"112,1",,"79,2",
Farandoleitkt,2785651,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,136,,"12,5",,"107,1",,"99,3",
DI00024itknt,2785617,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"104,8",,"78,9",
Voltigeitknt,2785629,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"118,1",,"88,9",
Soissonsitknt,2785701,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"85,7",,"64,5",
CF99105itkt,2785699,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,140,,"12,6",,"102,6",,"95,1",
Soissonsitkfi,2785700,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,4",,91,,"64,3",
RE01002itkt,2785678,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,133,,"13,4",,"96,7",,"89,6",
Farandoleitknt,2785650,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"115,1",,"86,7",
AO03002itknt,2785599,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48579,gnpis_pui:holding-921_taxon-4898_accession-48579,AO03002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"128,7",,"96,9",
AO03002itkfi,2785598,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48579,gnpis_pui:holding-921_taxon-4898_accession-48579,AO03002,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,10,,"123,8",,"87,4",
RE01002itknt,2785677,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"99,5",,"74,9",
Voltigeitkt,2785630,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,140,,12,,"110,9",,"102,8",
Voltigeitkfi,2785628,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,4",,"113,9",,"80,4",
AO03002itkt,2785600,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48579,gnpis_pui:holding-921_taxon-4898_accession-48579,AO03002,VIRTUAL_TRIAL,,,,,,,,treated,2003,105,,143,,12,,"109,9",,"101,9",
RE01002itkfi,2785676,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,6",,"104,4",,"73,7",
EM00018itknt,2785671,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"127,5",,96,
DI01022itkt,2785621,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,134,,"12,5",,117,,"108,5",
DI01022itkfi,2785619,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,1",,"123,5",,"87,2",
EM00074itkfi,2785679,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,6",,"125,1",,"88,3",
EM00074itkt,2785681,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,143,,"12,5",,"111,1",,"102,9",
Isengrainitkt,2785690,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,134,,"12,2",,105,,"97,3",
EM00018itkfi,2785670,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,5",,116,,"81,9",
CF00108itknt,2785611,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"122,7",,"92,4",
DI01022itknt,2785620,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"125,6",,"94,6",
EM00018itkt,2785672,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,141,,"11,8",,"108,9",,"100,9",
EM00264itkt,2785684,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,145,,"11,9",,115,,"106,6",
Isengrainitknt,2785689,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,105,,"79,1",
Isengrainitkfi,2785688,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,10,,"102,3",,"72,3",
EM00264itknt,2785683,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"131,2",,"98,7",
EM00107itknt,2785644,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"131,6",,99,
DI00010itkfi,2785625,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,1",,"113,7",,"80,3",
CF00108itkt,2785612,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,141,,"12,7",,"102,8",,"95,2",
EM00107itkfi,2785643,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,6",,"120,7",,"85,2",
EM00264itkfi,2785682,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"9,8",,"125,4",,"88,5",
CF00108itkfi,2785610,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,8",,"109,7",,"77,4",
Ressoritkt,2785660,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2003,85,,134,,"12,6",,"104,9",,"97,2",
DI00010itkt,2785627,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,138,,"12,5",,"110,6",,"102,5",
DI00010itknt,2785626,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"108,3",,"81,5",
Apacheitkfi,2785640,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,10,,"96,2",,"67,9",
Apacheitkt,2785642,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,135,,"12,7",,"98,5",,"91,3",
AO03003itkt,2785603,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48378,gnpis_pui:holding-921_taxon-4898_accession-48378,AO03003,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,145,,"11,8",,111,,"102,9",
Apacheitknt,2785641,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"96,2",,"72,5",
Oratorioitkt,2785624,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2003,80,,135,,"13,3",,"97,4",,"90,3",
AO03004itknt,2785608,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48916,gnpis_pui:holding-921_taxon-4898_accession-48916,AO03004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,113,,"85,1",
CF00116itkt,2785654,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,140,,"12,8",,"106,3",,"98,5",
AO03004itkt,2785609,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48916,gnpis_pui:holding-921_taxon-4898_accession-48916,AO03004,VIRTUAL_TRIAL,,,,,,,,treated,2003,115,,140,,"12,7",,"99,9",,"92,6",
CF00116itknt,2785653,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"121,3",,"91,3",
Orvantisitknt,2785686,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,NA,,NA,
CF00116itkfi,2785652,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,7",,"114,2",,"80,7",
Oratorioitknt,2785623,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,110,,"82,8",
AO03004itkfi,2785607,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,48916,gnpis_pui:holding-921_taxon-4898_accession-48916,AO03004,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,6",,113,,"79,8",
Rytmicitkt,2785636,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,146,,"11,4",,"107,1",,"99,3",
Skerzzoitknt,2785692,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"113,7",,"85,6",
Orvantisitkfi,2785685,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,NA,,NA,,NA,
Orvantisitkt,2785687,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2003,NA,,NA,,NA,,NA,,NA,
Skerzzoitkfi,2785691,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,6",,"107,4",,"75,9",
Skerzzoitkt,2785693,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,141,,14,,"89,7",,"83,1",
Rytmicitknt,2785635,BTH_Le_Moulon_2003_SetA1,BTH_Le_Moulon_2003_SetA1,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,,,"126,3",,"95,1",
