observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF03102,2803834,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,4,,NA,,NA,,3,,1,
CF01046,2803850,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26793,https://doi.org/10.15454/0WBMV0,CF01046,VIRTUAL_TRIAL,,,,,,,,2005,"4,75",,6,,NA,,NA,,4,,3,
Rytmic,2803832,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,2005,"4,75",,4,,NA,,NA,,3,,3,
CF01085,2803839,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",,4,,"7,38",,4342,,3,,5,
RE03111,2803848,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,6,,"7,03",,4466,,6,,1,
RE03101,2803826,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26398,https://doi.org/10.15454/OE94BR,RE03101,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,4,,"7,79",,4368,,1,,4,
RE03094,2803853,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,2005,6,,3,,"3,19",,377,,1,,3,
DI02001,2803835,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",,6,,NA,,NA,,2,,6,
Soissons,2803854,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2005,"4,75",,3,,"7,93",,"4,47",,6,,1,
Orvantis,2803849,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,4,,"7,5",,4396,,6,,3,
EM02207,2803842,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,26893,https://doi.org/10.15454/WDQKPV,EM02207,VIRTUAL_TRIAL,,,,,,,,2005,4,,7,,NA,,NA,,2,,1,
LM03005,2803824,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,2005,4,,6,,"6,62",,4147,,3,,1,
EM00074,2803847,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",,4,,NA,,NA,,6,,1,
DI03015,2803823,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,49403,gnpis_pui:holding-921_taxon-4898_accession-49403,DI03015,VIRTUAL_TRIAL,,,,,,,,2005,5,,6,,NA,,NA,,2,,1,
Farandole,2803837,BTH_Rennes_2005_SetA1_PIETIN-VERSE,BTH_Rennes_2005_SetA1_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,5,,"5,84",,299,,3,,1,
