observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM08019,2848441,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,5,,5,,1,,1,
Hadm04969-06,2848420,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49117,gnpis_pui:holding-921_taxon-4898_accession-49117,Hadm04969-06,VIRTUAL_TRIAL,,,,,,,,2010,"3,5",,5,,NA,,2,,1,
Apache,2848429,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,5,,3,,1,
Attlass,2848442,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2010,7,,NA,,3,,2,,1,
Skerzzo,2848444,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,2,,3,,1,
CF08027,2848454,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2010,5,,2,,2,,1,,1,
Crousty,2848437,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2010,6,,NA,,NA,,NA,,9,
Caphorn,2848433,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,5,,1,,4,
AO10007,2848434,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,2010,8,,5,,5,,1,,1,
AO10008,2848436,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,2010,8,,2,,2,,NA,,8,
EM08024,2848428,BTH_Rennes_2010_SetA2_PIETIN-VERSE,BTH_Rennes_2010_SetA2_PIETIN-VERSE,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,2010,7,,2,,2,,2,,1,
