observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO13022itkt,2968344,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,10.97,,80,,98.8,,92.4,
EM12096itkt,2968322,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,13.13,,81.2,,84.4,,79,
AO14001itkt,2968360,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61803,https://doi.org/10.15454/LCA9U1,AO14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,11.07,,79.5,,99.8,,93.3,
Bermudeitkt,2968329,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.17,,80.7,,102.8,,96.1,
RE11058itkt,2968350,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,traite,2015,139,,10.33,,80.9,,103.8,,97,
AO13100itkt,2968331,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,76092,https://doi.org/10.15454/MBEFL6,AO13100,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,10.87,,80.9,,102.5,,95.8,
AO13030itkt,2968353,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,traite,2015,140,,10.43,,78.2,,105.8,,98.9,
CROUSTYitkt,2968351,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traite,2015,144,,11.77,,80.9,,98.6,,92.2,
EM11537itkt,2968323,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,traite,2015,145,,10.8,,79,,102.5,,95.8,
AO12021-1itkt,2968348,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61776,https://doi.org/10.15454/DB6YVG,AO12021-1,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,10.67,,78.9,,101.7,,95.1,
RE12020itkt,2968333,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,13.23,,80.1,,91.7,,85.7,
EM12231itkt,2968342,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,traite,2015,142,,10.97,,81.8,,105.3,,98.5,
AO13047itkt,2968338,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,10.83,,80.9,,99.4,,93,
AO14005itkt,2968355,BTH_Champagne-céréales_2015_SetA1,BTH_Champagne-céréales_2015_SetA1,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2015,143,,11.23,,80.9,,99.7,,93.3,
