observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF01196,2787956,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"6,94",,3233,,6,,1,
EM01062,2787960,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,"5,68",,2049,,6,,1,
EM01214,2787952,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,"7,38",,1542,,3,,1,
EM01271,2787962,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,2003,"8,5",,1,,"7,3",,2832,,3,,1,
Charger,2787972,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
EM01324,2787964,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,2003,9,,1,,"6,1",,2622,,4,,3,
EM01023,2787974,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,"3,52",,515,,4,,1,
CF01085,2787971,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,48643,https://doi.org/10.15454/2AB2GR,CF01085,VIRTUAL_TRIAL,,,,,,,,2003,9,,1,,"4,27",,"2,33",,7,,4,
DI02001,2787969,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,"7,71",,4194,,3,,3,
DI02032,2787953,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,"2,12",,1268,,1,,1,
Soissons,2787983,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
Isengrain,2787980,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2003,NA,,NA,,NA,,NA,,NA,,NA,
RE01037,2787954,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,2003,3,,1,,"6,73",,3282,,6,,1,
RE02101,2787977,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,"2,11",,"0,57",,1,,1,
CF00060,2787955,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,3,,"7,59",,4013,,5,,1,
EM01325,2787963,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,"2,61",,1031,,6,,1,
CF01216,2787957,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,VIRTUAL_TRIAL,,,,,,,,2003,"5,5",,1,,"4,88",,657,,8,,1,
EM01328,2787967,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,"4,46",,"0,83",,3,,1,
DI02021,2787976,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,"6,64",,4432,,3,,1,
EM01024,2787959,BTH_Rennes_2003_SetA2_PIETIN-VERSE,BTH_Rennes_2003_SetA2_PIETIN-VERSE,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,"4,7",,1631,,4,,1,
