observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF08027itkfi,2853936,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,132,,"8,72",,"77,9",,"100,2",,"4,5",,"85,2",
Hadm01221-04itkfi,2853926,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,131,,"8,19",,"76,6",,"95,2",,6,,"80,9",
Hadm01221-04itkt,2853927,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,132,,"8,41",,"76,9",,"108,4",,,,"102,9",
Fr759/08itkfi,2853906,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,94,,134,,"8,24",,"76,4",,"102,1",,5,,"86,8",
AO10003itkfi,2853900,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,131,,"8,94",,"76,4",,"100,6",,4,,"85,5",
Granamaxitkfi,2853894,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,129,,"8,7",,76,,"104,4",,"5,5",,"88,8",
CF07143itkt,2853919,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2011,90,,132,,"9,72",,"78,2",,96,,,,91,
JDBH22itkt,2853909,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48908,https://doi.org/10.15454/JJNR8O,JDBH22,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,126,,"9,31",,"79,3",,"100,1",,,,"94,9",
Soissonsitkfi,2853930,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,83,,124,,"10,36",,"80,1",,"91,8",,"3,5",,"78,1",
HadmF276itkfi,2853920,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,77,,127,,"8,91",,"77,4",,"99,8",,3,,"84,9",
HadmF276itkt,2853921,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,128,,"8,97",,"77,3",,"100,6",,,,"95,4",
Granamaxitkt,2853895,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,130,,"9,4",,"76,2",,"100,1",,,,95,
Koreliitkt,2853889,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,132,,"9,1",,"80,6",,"91,8",,,,87,
JDBH22itkfi,2853908,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48908,https://doi.org/10.15454/JJNR8O,JDBH22,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,125,,"9,51",,"78,1",,"102,2",,5,,"86,9",
Soissonsitkt,2853931,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2011,79,,125,,"9,85",,"80,4",,"92,8",,,,88,
EM08221itkt,2853877,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,134,,"8,96",,"71,7",,"96,7",,,,"91,7",
Koreliitkfi,2853888,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,132,,"9,43",,"80,5",,"89,3",,"4,5",,76,
JDBF80itkt,2853925,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,127,,"9,73",,"77,8",,"100,6",,,,"95,4",
DI09006itkfi,2853896,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,132,,"9,07",,"74,8",,"102,9",,3,,"87,5",
JDBF80itkfi,2853924,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49395,https://doi.org/10.15454/C10CEB,JDBF80,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,87,,125,,"9,88",,"77,9",,"96,4",,"3,5",,82,
EM08223itkt,2853881,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2011,67,,130,,"8,93",,"74,4",,"97,2",,,,"92,2",
EM08223itkfi,2853880,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,128,,"8,68",,"74,2",,"99,4",,"1,5",,"84,6",
DI09006itkt,2853897,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,134,,"9,48",,"75,7",,"96,9",,,,"91,9",
AO10013itkfi,2853878,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,128,,"8,49",,"75,2",,104,,"5,5",,"88,5",
EM08221itkfi,2853876,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,74,,133,,"8,14",,"70,8",,"102,8",,1,,"87,5",
JDBE42itkt,2853883,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,treated,2011,74,,128,,"9,34",,"77,2",,"99,2",,,,"94,1",
AO10013itkt,2853879,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,129,,"8,91",,"75,2",,"104,3",,,,"98,9",
CF08049itkt,2853933,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2011,71,,129,,"8,98",,"77,4",,"94,6",,,,"89,8",
RE07019itkt,2853869,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2011,71,,130,,"9,54",,"78,8",,"91,2",,,,"86,5",
RE07019itkfi,2853868,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,129,,"9,27",,"78,4",,"93,1",,"3,5",,"79,2",
Folkloritkt,2853863,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2011,80,,130,,"8,57",,"76,3",,"97,2",,,,"92,1",
EM08024itkt,2853887,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,130,,"9,68",,77,,"95,5",,,,"90,5",
AO10028itkfi,2853904,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,76,,126,,"8,96",,"77,9",,"100,1",,"4,5",,"85,1",
Folkloritkfi,2853862,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,130,,"8,45",,76,,"101,8",,5,,"86,6",
Altigoitkt,2853903,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,127,,"9,11",,"76,3",,"101,6",,,,"96,4",
EM08024itkfi,2853886,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,88,,131,,"9,08",,"76,6",,"92,8",,"3,5",,"78,9",
Premioitkfi,2853860,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,127,,"9,3",,77,,"100,7",,3,,"85,7",
CF08049itkfi,2853932,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,83,,128,,"8,85",,"76,5",,102,,"4,5",,"86,8",
Altigoitkfi,2853902,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,126,,"8,96",,76,,"94,4",,"2,5",,"80,3",
Hadm01601-07itkfi,2853884,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,77,,128,,"8,2",,"76,8",,"107,2",,2,,"91,2",
Premioitkt,2853861,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2011,75,,128,,"9,43",,"77,1",,"95,8",,,,"90,8",
AO10015itkt,2853859,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,92,,129,,"8,72",,"78,5",,"115,1",,,,"109,1",
EM08019itkt,2853917,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2011,71,,129,,"8,01",,"71,7",,"104,9",,,,"99,5",
CF08084itkt,2853915,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,132,,"8,9",,"77,5",,"100,7",,,,"95,5",
EM08019itkfi,2853916,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,126,,"7,93",,"71,8",,110,,2,,"93,6",
CF08084itkfi,2853914,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,132,,"8,66",,"77,9",,"104,2",,5,,"88,7",
AO10015itkfi,2853858,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,94,,127,,"8,7",,"79,3",,"98,9",,4,,"84,1",
Hadm01601-07itkt,2853885,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,128,,"8,76",,"76,7",,"96,7",,,,"91,7",
AO10026itkt,2853891,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,130,,"9,06",,"78,2",,"106,4",,,,101,
Bermudeitkt,2853867,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,131,,"8,6",,"79,1",,"98,8",,,,"93,7",
Apacheitkt,2853893,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,73,,128,,"8,96",,"78,2",,"103,7",,,,"98,4",
Apacheitkfi,2853892,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,80,,127,,"8,59",,"77,5",,"97,8",,4,,"83,2",
HadmF11671itkfi,2853912,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,130,,"8,74",,"79,2",,"93,4",,2,,"79,5",
EM07117itkt,2853871,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2011,83,,132,,"8,66",,"75,8",,"105,1",,,,"99,7",
Bermudeitkfi,2853866,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,130,,"8,39",,78,,"107,1",,"5,5",,"91,1",
HadmF11671itkt,2853913,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,130,,"8,95",,"79,5",,"98,1",,,,"93,1",
JDBE42itkfi,2853882,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,128,,"9,4",,"76,9",,"98,8",,"3,5",,84,
Lyrikitkt,2853935,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,130,,"8,85",,"77,6",,"102,5",,,,"97,2",
HadmF11326itkt,2853899,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2011,66,,130,,"8,93",,"78,5",,"93,1",,,,"88,3",
Lyrikitkfi,2853934,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,76,,130,,"8,82",,"77,8",,"97,3",,4,,"82,8",
AO10028itkt,2853905,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2011,66,,127,,"9,06",,"77,6",,"97,9",,,,"92,9",
Ghaytaitkfi,2853922,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,130,,"9,88",,"77,5",,"86,4",,3,,"73,5",
AO10003itkt,2853901,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,132,,"9,16",,"76,4",,"97,1",,,,"92,1",
Ghaytaitkt,2853923,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,130,,"11,52",,"77,7",,"92,1",,,,"87,3",
EM07117itkfi,2853870,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,84,,131,,"8,12",,"76,2",,102,,3,,"86,8",
HadmF11326itkfi,2853898,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,73,,128,,"8,49",,"78,1",,"100,9",,"2,5",,"85,8",
Fr759/08itkt,2853907,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,treated,2011,84,,134,,"8,6",,"77,3",,"96,4",,,,"91,4",
Grapeliitkt,2853875,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2011,81,,131,,"8,75",,"76,3",,103,,,,"97,6",
Grapeliitkfi,2853874,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,130,,"8,5",,"76,4",,"100,5",,"2,5",,"85,5",
AO10026itkfi,2853890,BTH_Dijon_2011_SetA1,BTH_Dijon_2011_SetA1,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,128,,"8,67",,"77,2",,"99,6",,5,,"84,7",
