observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI12012itkt,2868656,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,153,,"13,05",,"83,9",,,,"74,2",,1,,2,,6,
DI12012itkfi,2868655,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"3,5",,95,,154,,"11,75",,"92,6",,3,,"62,4",,1,,3,,1,
DI12010itkt,2868652,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,150,,"11,82",,"86,6",,,,"76,6",,"1,5",,2,,"7,5",
DI12010itkfi,2868651,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,151,,"11,72",,"94,9",,"5,5",,64,,1,,3,,1,
DI12011itkt,2868654,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,148,,"11,61",,"97,5",,,,"86,2",,1,,2,,"8,5",
DI12011itkfi,2868653,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,150,,"10,83",,"105,3",,"6,5",,71,,1,,3,,1,
EM11537itkt,2868596,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,90,,152,,"12,23",,91,,,,"80,5",,1,,1,,"8,5",
EM11537itkfi,2868595,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,85,,153,,"11,12",,"110,8",,"3,5",,"74,7",,1,,"3,5",,3,
CF11158itkfi,2868659,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,88,,152,,"11,99",,"74,2",,1,,50,,8,,1,,1,
CF11158itkt,2868660,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,152,,"12,54",,"97,3",,,,86,,"1,5",,"1,5",,"7,5",
AO12016itkfi,2868623,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,98,,151,,"10,68",,"85,3",,1,,"57,5",,7,,1,,2,
