observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Apacheitkt,2871420,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,65",,"78,4",,"99,6",,"92,2",
DI11002itkt,2871423,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"11,1",,"76,8",,"96,3",,"89,1",
AO12013itkt,2871433,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,10,,"80,4",,"106,8",,"98,8",
AO13007itkt,2871409,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"10,55",,"78,7",,"106,2",,"98,2",
CF09169itkt,2871417,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"12,2",,"80,7",,"91,4",,"84,5",
Lyrikitkt,2871442,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,154,,"10,05",,"79,2",,"109,7",,"101,4",
AO13009itkt,2871412,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,5",,"74,3",,"103,8",,96,
AO13001itkt,2871407,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"10,6",,"78,5",,"100,7",,"93,1",
DI11012itkt,2871439,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"9,6",,"80,2",,"102,9",,"95,2",
AO12035itkt,2871426,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,85",,"80,5",,"105,6",,"97,7",
CF08027itkt,2871441,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,157,,"10,65",,"78,1",,"102,4",,"94,7",
CF10064itkt,2871410,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,75",,"77,9",,"100,2",,"92,7",
EM09320itkt,2871405,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,4",,"78,3",,"97,5",,"90,2",
Bermudeitkt,2871411,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"10,65",,79,,"102,3",,"94,6",
Galibieritkt,2871415,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,142,,"14,05",,"79,4",,"82,7",,"76,5",
Altigoitkt,2871425,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,148,,"11,45",,"78,8",,"94,3",,"87,2",
AO12006itkt,2871419,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,154,,"10,95",,"80,6",,"96,9",,"89,6",
AO12021itkt,2871408,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,153,,"10,45",,"78,5",,"103,8",,"96,1",
Granamaxitkt,2871422,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,149,,"10,2",,"78,1",,"104,7",,"96,8",
DI11013itkt,2871438,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,156,,"9,6",,"80,4",,"107,2",,"99,2",
AO12016itkt,2871435,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,156,,"10,15",,"78,5",,"102,6",,"94,9",
RE10042itkt,2871427,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,45",,"79,1",,"97,8",,"90,4",
CF09117itkt,2871437,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"12,5",,"79,6",,"88,9",,"82,2",
AO11011itkt,2871424,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,5",,"78,7",,"105,5",,"97,6",
AO12014itkt,2871413,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,156,,"9,8",,"78,8",,"110,2",,102,
Pakitoitkt,2871418,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,152,,"10,7",,"79,3",,"103,8",,96,
DI11014itkt,2871440,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,4",,"78,9",,"104,8",,97,
EM08231itkt,2871431,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,4",,"73,6",,"96,2",,89,
AO12033itkt,2871429,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,154,,"10,8",,80,,"102,7",,95,
Folkloritkt,2871406,BTH_Champagne-céréales_2013_SetA1,BTH_Champagne-céréales_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2013,155,,"10,95",,"77,5",,"101,5",,"93,9",
