observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
CF13045itkfi,2886289,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,48911,gnpis_pui:holding-921_taxon-4898_accession-48911,CF13045,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"75,1",,"100,7",,6,,"61,2",,1,,"5,5",
Koreliitkfi,2886277,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,144,,"79,4",,"105,5",,5,,"64,1",,2,,"3,5",
RE13093itkfi,2886274,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,140,,"74,2",,"114,3",,"2,5",,"69,4",,1,,"2,5",
EM12375itkfi,2886292,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61352,https://doi.org/10.15454/0JONWQ,EM12375,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,138,,"74,7",,"102,6",,8,,"62,4",,1,,"4,2",
CF13016itkfi,2886268,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,60991,https://doi.org/10.15454/ODX7BB,CF13016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,142,,"71,7",,"103,3",,"3,5",,"62,8",,1,,"2,5",
RE13094itkfi,2886276,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,136,,77,,"115,6",,"6,5",,"70,2",,1,,"2,5",
Arezzoitkfi,2886304,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,136,,"78,2",,"104,5",,8,,"63,5",,1,,"4,5",
CF13012itkfi,2886270,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,60977,https://doi.org/10.15454/Q94XV8,CF13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,142,,"68,3",,"96,1",,"1,5",,"58,4",,1,,"4,8",
RE13095itkfi,2886275,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,140,,"73,2",,"116,7",,4,,"70,9",,1,,2,
AO14022itkfi,2886296,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,147,,74,,"125,6",,1,,"76,3",,1,,2,
RE13084itkfi,2886295,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,140,,"71,9",,"113,6",,"3,5",,69,,1,,"2,5",
AO14010itkfi,2886279,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,146,,"71,3",,"96,5",,7,,"58,6",,5,,3,
AO14016itkfi,2886285,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,62080,https://doi.org/10.15454/ZHXGRT,AO14016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,80,,141,,"72,7",,"103,2",,6,,"62,7",,4,,5,
Apacheitkfi,2886286,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,137,,"75,6",,99,,1,,"60,2",,1,,"5,5",
AO14013itkfi,2886280,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,95,,142,,"69,9",,"118,3",,5,,"71,9",,"4,8",,2,
RE13086itkfi,2886293,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,140,,"74,5",,"117,5",,2,,"71,4",,1,,"1,5",
AO14021itkfi,2886300,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,60871,https://doi.org/10.15454/OYOSWH,AO14021,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,139,,"74,8",,"96,6",,1,,"58,7",,2,,"4,2",
AO14014itkfi,2886283,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,144,,"70,2",,"109,1",,"6,5",,"66,3",,1,,2,
RE13091itkfi,2886273,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,61648,https://doi.org/10.15454/RB7AM4,RE13091,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"78,5",,"119,7",,1,,"72,8",,1,,2,
AO14018itkfi,2886287,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,62112,https://doi.org/10.15454/CYS1KY,AO14018,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,143,,"73,7",,"105,7",,"6,5",,"64,2",,1,,4,
Lyrikitkfi,2886303,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,141,,"74,2",,121,,5,,"73,5",,1,,2,
RE13106itkfi,2886298,BTH_Lusignan_2014_SetB2,BTH_Lusignan_2014_SetB2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,137,,"74,5",,"111,2",,1,,"67,6",,1,,"3,5",
