observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE12051,2878109,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,NA,,4,
Apache,2878103,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,3,,5,,6,,1,
Lyrik,2878121,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,3,,2,
Pakito,2878100,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,3,,1,
EM12205,2878086,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,2,,NA,,8,
EM12231,2878102,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2013,5,,5,,2,,1,
EM12234,2878101,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,2013,8,,2,,3,,1,
AO13017,2878115,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,2013,4,,5,,NA,,9,
AO13016,2878114,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,5,,3,,3,
AO13020,2878094,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60930,https://doi.org/10.15454/3Q1S0Q,AO13020,VIRTUAL_TRIAL,,,,,,,,2013,9,,5,,4,,6,
AO13019,2878117,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,3,,3,,4,
AO13024,2878091,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,3,,1,
AO13022,2878096,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,2013,9,,2,,NA,,8,
AO13023,2878095,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60976,https://doi.org/10.15454/MDP0B7,AO13023,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,5,,4,,1,
AO13021,2878093,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,5,,4,,4,
Altigo,2878108,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2013,6,,5,,NA,,8,
Bermude,2878089,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,9,,2,,3,,6,
CF12181,2878098,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,3,,4,,6,
CF12200,2878099,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,NA,,2,
CF12202,2878118,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,2013,4,,2,,2,,2,
CF12273,2878112,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,2013,8,,2,,4,,3,
DI13003,2878119,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,2,,2,,1,
DI13004,2878097,BTH_Rennes_2013_SetB2_PIETIN-VERSE,BTH_Rennes_2013_SetB2_PIETIN-VERSE,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,2013,5,,2,,NA,,1,
