observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO08202,2832615,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,4,
EM07186,2832584,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
RE07005,2832582,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,VIRTUAL_TRIAL,,,,,,,,2008,9,,1,,1,
DI08002,2832605,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,4,
RE07017,2832592,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
DI08007,2832585,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49257,gnpis_pui:holding-921_taxon-4898_accession-49257,DI08007,VIRTUAL_TRIAL,,,,,,,,2008,3,,1,,2,
Apache,2832598,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
CF07022,2832617,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2008,4,,2,,1,
DI08001,2832604,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,1,,1,
CF07057,2832601,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,1,
Sankara,2832602,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2008,7,,1,,1,
Toisondor,2832595,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,3,
Grapeli,2832594,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2008,5,,1,,1,
Caphorn,2832603,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2008,"8,5",,1,,2,
DI08003,2832606,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,1,
RE07015,2832590,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
RE07011,2832587,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48617,gnpis_pui:holding-921_taxon-4898_accession-48617,RE07011,VIRTUAL_TRIAL,,,,,,,,2008,6,,1,,1,
RE07002,2832614,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
Mendel,2832610,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
DI08004,2832607,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
DI08005,2832608,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,VIRTUAL_TRIAL,,,,,,,,2008,6,,1,,1,
RE07006,2832612,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
CF07037,2832599,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
EM07085,2832586,BTH_Rennes_2008_SetB1_PIETIN-VERSE,BTH_Rennes_2008_SetB1_PIETIN-VERSE,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
