observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
HadmF11383itkt,2845526,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,156,,"9,8",,"79,7",,"96,6",,98,
DI08011itkt,2845508,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,148,,"10,2",,"80,8",,98,,"99,5",
DI08011itknt,2845507,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,60,,148,,,,"84,8",,"96,4",,"85,7",
DI08011itkfi,2845506,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,147,,"11,5",,"83,9",,"92,1",,"68,2",
RE07040itkfi,2845587,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,149,,"11,34",,"84,5",,"99,9",,74,
AO10003itkfi,2845554,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,153,,"10,81",,"82,8",,"99,6",,"73,7",
Musikitkt,2845520,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,146,,"10,32",,"80,8",,"99,4",,"100,9",
RE07040itkt,2845589,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,153,,"10,53",,"80,2",,"100,9",,"102,4",
RE07040itknt,2845588,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,153,,,,"83,1",,"102,6",,"91,2",
Bermudeitkt,2845514,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,154,,"9,6",,"78,3",,"109,5",,"111,1",
AO10004itkt,2845565,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,156,,"9,66",,"82,8",,"99,6",,"101,1",
Soissonsitkfi,2845593,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,146,,"11,85",,"85,5",,"93,5",,"69,2",
CF07143itknt,2845576,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,82,,154,,,,"82,2",,109,,"96,8",
Hadm01221-04itkt,2845493,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,158,,"9,48",,"78,2",,"108,9",,"110,6",
Premioitkfi,2845497,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,148,,"11,4",,"82,3",,"96,8",,"71,6",
Hadm01221-04itkfi,2845491,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,156,,"9,54",,"82,2",,"116,6",,"86,3",
Hadm01221-04itknt,2845492,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,158,,,,80,,"108,3",,"96,2",
Musikitkfi,2845518,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,62,,148,,"10,98",,"84,2",,"95,3",,"70,6",
Musikitknt,2845519,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,60,,148,,,,"84,5",,"99,4",,"88,3",
Premioitkt,2845499,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,153,,"10,24",,"79,6",,94,,"95,4",
Premioitknt,2845498,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,65,,152,,,,"81,7",,"99,2",,"88,1",
Soissonsitkt,2845595,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,145,,"10,48",,"82,3",,"94,3",,"95,7",
HadmF276itkfi,2845578,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,152,,"10,2",,82,,"109,4",,81,
HadmF276itkt,2845580,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,62,,154,,"9,58",,"78,5",,"101,3",,"102,8",
Karillonitkfi,2845572,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,154,,"9,75",,"81,9",,"108,1",,"80,1",
Karillonitkt,2845574,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,154,,"9,38",,"79,2",,"103,1",,"104,6",
HadmF276itknt,2845579,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,60,,152,,,,"80,8",,"108,8",,"96,7",
Karillonitknt,2845573,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,156,,,,"79,2",,"100,7",,"89,4",
Apacheitkt,2845544,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,149,,"10,33",,"80,5",,"97,3",,"98,7",
AO10005itkt,2845568,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,146,,"9,78",,"81,9",,"93,3",,"94,7",
Koreliitkt,2845541,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,156,,"10,64",,"83,9",,"99,2",,"100,6",
Koreliitkfi,2845539,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,154,,"11,54",,"85,8",,99,,"73,3",
AO10005itkfi,2845566,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,148,,"10,45",,"85,2",,"93,2",,69,
CF07267itkfi,2845590,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,150,,"11,28",,"84,5",,"94,7",,"70,1",
Apacheitkfi,2845542,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,149,,"10,2",,"81,6",,"94,6",,"70,1",
Soissonsitknt,2845594,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,146,,,,"85,5",,"100,2",,89,
Koreliitknt,2845540,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,156,,,,"83,8",,"100,2",,89,
Apacheitknt,2845543,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,65,,149,,,,"80,9",,"98,9",,"87,8",
CF07267itknt,2845591,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,152,,,,"84,6",,"100,4",,"89,2",
CF07097itkt,2845535,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,153,,"10,44",,"78,8",,"98,8",,"100,3",
CF07097itknt,2845534,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,154,,,,"81,4",,107,,95,
AO10005itknt,2845567,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,148,,,,"83,3",,"92,2",,"81,9",
CF07022itknt,2845597,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,152,,,,"84,1",,"97,8",,"86,8",
CF07097itkfi,2845533,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,151,,"10,83",,"83,4",,"106,6",,79,
Ghaytaitkt,2845583,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,153,,"12,17",,"81,9",,"92,2",,"93,6",
CF07022itkt,2845598,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,153,,"10,08",,"81,7",,"99,1",,"100,6",
CF07002itknt,2845600,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,153,,,,"83,8",,"92,6",,"82,3",
EM06017itkfi,2845503,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,146,,"13,21",,"85,6",,"92,5",,"68,5",
CF07143itkt,2845577,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,156,,"10,55",,"82,4",,"103,1",,"104,7",
CF07022itkfi,2845596,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,151,,"11,8",,"82,6",,"98,7",,"73,1",
CF07143itkfi,2845575,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,152,,"11,9",,"83,1",,100,,74,
CF07002itkt,2845601,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,153,,"10,92",,"82,4",,"98,3",,"99,8",
Bermudeitknt,2845513,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,152,,,,"83,2",,"107,5",,"95,5",
CF07002itkfi,2845599,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,150,,"12,56",,"82,5",,"91,5",,"67,8",
EM07117itkfi,2845521,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,155,,"10,62",,"84,6",,"107,8",,"79,8",
CF05162itkt,2845538,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,148,,"10,54",,"79,9",,"99,3",,"100,8",
Toisondoritkt,2845532,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,156,,"9,82",,"79,7",,"94,6",,96,
Ghaytaitknt,2845582,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,78,,154,,,,"82,1",,"101,2",,"89,9",
Ghaytaitkfi,2845581,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,151,,"12,06",,"81,8",,"93,6",,"69,3",
Strub061859-1itkfi,2845527,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,155,,"9,25",,"81,5",,112,,83,
Strub061859-1itknt,2845528,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,156,,,,"80,5",,"106,6",,"94,7",
CF05162itknt,2845537,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,70,,148,,,,"82,6",,"104,9",,"93,2",
CF05162itkfi,2845536,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,146,,"12,1",,"83,6",,97,,"71,8",
Toisondoritkfi,2845530,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,154,,"9,76",,"82,7",,"97,3",,"72,1",
CF07018itknt,2845549,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,154,,,,"83,2",,"99,5",,"88,4",
CF07018itkfi,2845548,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,153,,"10,58",,"82,4",,"104,5",,"77,4",
AO10003itkt,2845556,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,155,,"9,9",,"80,6",,"98,7",,"100,2",
CF07018itkt,2845550,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"9,89",,"80,3",,"96,6",,"98,1",
Granamaxitknt,2845585,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,153,,,,"81,3",,"106,6",,"94,7",
Toisondoritknt,2845531,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,60,,154,,,,"80,5",,"85,8",,"76,2",
Flamenkoitkfi,2845569,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,146,,"11,26",,"81,6",,"101,4",,"75,1",
Flamenkoitkt,2845571,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,148,,"10,09",,"79,1",,"100,8",,"102,2",
Granamaxitkt,2845586,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,152,,"9,76",,"80,9",,"101,3",,"102,8",
RE07019itkt,2845517,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,150,,"10,35",,82,,"101,3",,"102,8",
RE07019itkfi,2845515,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,149,,"11,15",,"67,2",,"104,2",,"77,2",
EM07117itkt,2845523,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,156,,"9,4",,"79,2",,"102,7",,"104,2",
EM07117itknt,2845522,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,156,,,,84,,"107,3",,"95,3",
Strub061859-1itkt,2845529,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,156,,"9,35",,"79,7",,"97,5",,"98,9",
Granamaxitkfi,2845584,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,152,,"9,91",,"81,8",,"106,6",,"78,9",
Flamenkoitknt,2845570,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,75,,147,,,,"82,8",,"104,7",,93,
