observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF07143,2833825,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,1,
RE07045,2833828,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,2008,"7,5",,1,,1,
Mendel,2833815,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
RE07082,2833833,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
CF07080,2833830,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,2008,"4,5",,1,,2,
DI08010,2833803,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,4,
CF07193,2833810,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,2008,4,,1,,1,
RE07047,2833827,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,2008,"6,5",,1,,1,
CF07141,2833826,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,2008,"5,5",,1,,1,
RE07071,2833800,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,2008,"3,5",,1,,1,
DI08012,2833801,BTH_Rennes_2008_SetB2_PIETIN-VERSE,BTH_Rennes_2008_SetB2_PIETIN-VERSE,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,2008,8,,1,,1,
