observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Charger,2805848,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,"6,84",,4402,,6,,1,
Caphorn,2805846,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,7,,4629,,3,,1,
DI04018,2805842,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,2005,6,,3,,"6,89",,4419,,6,,1,
DI05030,2805834,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,2005,"6,25",,4,,"7,04",,"4,87",,4,,1,
CF03287,2805853,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2005,3,,1,,"6,46",,1923,,3,,6,
CF03226,2805840,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,"6,94",,"4,14",,2,,1,
CF03341,2805850,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,2005,"6,25",,3,,"5,24",,255,,3,,1,
DI04015,2805838,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,"7,58",,4135,,4,,1,
DI04022,2805861,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,2005,5,,4,,"5,11",,778,,1,,1,
Orvantis,2805858,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,4,,"7,5",,4396,,6,,3,
EM01068,2805844,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,2005,"5,25",,6,,"7,21",,4248,,3,,1,
EM03028,2805831,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,2005,"2,75",,6,,"6,1",,103,,2,,1,
EM03041,2805830,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,2005,"6,5",,4,,"3,02",,203,,6,,1,
LM03015,2805856,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,4,,"3,98",,329,,3,,1,
LM03014,2805855,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,"4,8",,287,,4,,1,
EM03149,2805839,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,2005,"2,25",,6,,"8,07",,4177,,7,,1,
CF03342,2805851,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,2005,7,,4,,"4,58",,"0,19",,6,,1,
DI04017,2805837,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,6,,"6,97",,4282,,4,,1,
DI04024,2805860,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,2005,"4,25",,4,,"5,79",,1025,,3,,1,
EM03193,2805843,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,2005,"5,25",,7,,"7,51",,4444,,2,,1,
DI04019,2805841,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,3,,"7,17",,4272,,6,,3,
LM03051,2805845,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,2005,3,,3,,"5,35",,43,,3,,8,
EM00107,2805836,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,2005,"2,75",,6,,NA,,NA,,6,,6,
Farandole,2805847,BTH_Rennes_2005_SetA2_PIETIN-VERSE,BTH_Rennes_2005_SetA2_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,5,,"5,84",,299,,3,,1,
