observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI15011itkt,2974684,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76145,https://doi.org/10.15454/VFM9BQ,DI15011,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,10.8,,98.8,,,,120.9,,,,,
EM14102itkfi,2974689,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76147,https://doi.org/10.15454/17R4EG,EM14102,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,136,,10.5,,107.2,,1,,102.6,,1,,1.8,
EM14102itkt,2974690,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76147,https://doi.org/10.15454/17R4EG,EM14102,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,135,,12.1,,96.6,,,,118.2,,,,,
RE14115itkt,2974692,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76148,https://doi.org/10.15454/TYWGF0,RE14115,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,134,,10.4,,100.9,,,,123.4,,,,,
RE14115itkfi,2974691,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76148,https://doi.org/10.15454/TYWGF0,RE14115,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,135,,9.8,,99.1,,1,,94.9,,2.5,,3.2,
RE14114itkfi,2974693,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76149,https://doi.org/10.15454/19X6JL,RE14114,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,97,,142,,9.9,,107.2,,2.5,,102.6,,1,,2.5,
RE14114itkt,2974694,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76149,https://doi.org/10.15454/19X6JL,RE14114,VIRTUAL_TRIAL,,,,,,,,traite,2015,101,,142,,10.7,,98.9,,,,121,,,,,
RE14111itkt,2974698,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76150,https://doi.org/10.15454/RKUHGF,RE14111,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,147,,10.1,,100.7,,,,123.2,,,,,
RE14111itkfi,2974697,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76150,https://doi.org/10.15454/RKUHGF,RE14111,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,106,,147,,9.4,,102.5,,1.5,,98.2,,1.5,,2.2,
RE14110itkt,2974700,BTH_Le_Moulon_2015_SetB2,BTH_Le_Moulon_2015_SetB2,76151,https://doi.org/10.15454/CLOCOE,RE14110,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,142,,11.1,,91.4,,,,111.9,,,,,
