observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Grapeliitkfi,2874891,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,156,,"10,6",,"75,5",,"113,7",,"98,4",,1,,4,,,
Grapeliitkt,2874893,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,98,,156,,"11,8",,"74,2",,"108,3",,116,,,,,,,
CF11029itkt,2874866,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,158,,"10,2",,76,,112,,"119,9",,,,,,,
CF11029itknt,2874865,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,157,,,,"67,8",,"96,3",,"88,9",,,,"6,8",,1,
CF11029itkfi,2874864,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,157,,"9,9",,"68,6",,"101,3",,"87,7",,1,,"5,8",,,
CF11051itkt,2874818,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"11,4",,"81,4",,"100,6",,"107,7",,,,,,,
CF11051itkfi,2874816,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,156,,"10,8",,"76,6",,"102,9",,89,,1,,"3,8",,,
CF11051itknt,2874817,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,91,,155,,,,"78,8",,"112,9",,"104,2",,,,3,,1,
CF11177itkfi,2874915,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"11,2",,"73,6",,"101,3",,"87,7",,1,,8,,,
CF11177itknt,2874916,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,156,,,,"73,2",,"94,6",,"87,3",,,,8,,1,
CF11177itkt,2874917,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,156,,"12,4",,"74,8",,102,,"109,2",,,,,,,
CF11215itknt,2874805,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,91,,156,,,,76,,"99,1",,"91,5",,,,"6,5",,1,
CF11215itkt,2874806,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2013,87,,156,,"11,6",,"74,4",,"93,7",,"100,4",,,,,,,
CF11215itkfi,2874804,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,87,,155,,"11,5",,"74,8",,"96,8",,"83,8",,1,,"7,2",,,
CF11291itkfi,2874921,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,149,,"11,1",,"72,6",,"99,3",,"85,9",,1,,8,,,
CF11291itkt,2874923,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,77,,149,,"12,4",,"77,3",,"97,5",,"104,4",,,,,,,
CF11291itknt,2874922,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,84,,149,,,,74,,"99,7",,92,,,,"7,5",,1,
DI12005itkt,2874851,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"11,3",,"75,2",,"101,6",,"108,8",,,,,,,
DI12005itkfi,2874849,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,83,,156,,"10,8",,"72,8",,"115,6",,100,,1,,"3,2",,,
DI12005itknt,2874850,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,86,,156,,,,"72,6",,"115,9",,"106,9",,,,"3,5",,1,
DI12011-2itkt,2874878,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"11,6",,"73,3",,"104,5",,"111,9",,,,,,,
DI12011-2itknt,2874877,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,84,,154,,,,"65,3",,"115,5",,"106,6",,,,"3,8",,1,
DI12011-2itkfi,2874876,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,81,,154,,"10,8",,"71,7",,"110,8",,"95,9",,1,,"3,8",,,
EM11389itkt,2874809,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,156,,"10,9",,"73,7",,"103,1",,"110,5",,,,,,,
EM11389itknt,2874808,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,156,,,,"72,2",,"102,1",,"94,2",,,,"7,5",,1,
EM11389itkfi,2874807,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,155,,"10,4",,"71,5",,"98,6",,"85,4",,1,,"8,5",,,
EM11441itkt,2874863,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,154,,"11,1",,"72,3",,"102,9",,"110,2",,,,,,,
EM11441itknt,2874862,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,82,,154,,,,"70,5",,"108,5",,"100,2",,,,4,,1,
EM11441itkfi,2874861,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,5",,"74,2",,"106,4",,"92,1",,1,,"3,8",,,
EM11579itkt,2874920,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,156,,"12,1",,"73,5",,"98,8",,"105,8",,,,,,,
EM11579itkfi,2874918,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,154,,"10,8",,72,,"108,2",,"93,7",,1,,3,,,
EM11579itknt,2874919,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,76,,156,,,,"71,8",,"108,7",,"100,3",,,,"3,5",,1,
EM11604itkfi,2874870,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,154,,"11,2",,"72,5",,"106,2",,"91,9",,1,,"3,2",,,
EM11604itknt,2874871,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,84,,154,,,,"75,5",,"109,7",,"101,3",,,,4,,1,
EM11604itkt,2874872,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"11,6",,76,,"92,9",,"99,5",,,,,,,
RE11058itknt,2874844,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,96,,154,,,,"76,3",,"120,5",,"111,2",,,,"3,8",,1,
RE11058itkt,2874845,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,154,,"11,3",,"72,7",,"109,1",,"116,8",,,,,,,
RE11073itknt,2874823,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,156,,,,"74,7",,"116,8",,"107,9",,,,"3,2",,1,
RE11073itkt,2874824,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,2",,"76,2",,"108,4",,"116,1",,,,,,,
RE11073itkfi,2874822,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,156,,"10,1",,"75,3",,"110,3",,"95,4",,1,,3,,,
RE11075itkt,2874821,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"11,2",,"77,4",,"103,9",,"111,2",,,,,,,
RE11075itkfi,2874819,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,155,,"10,2",,"73,4",,"110,8",,"95,9",,1,,"2,8",,,
RE11075itknt,2874820,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,156,,,,"78,6",,"119,3",,"110,1",,,,3,,1,
RE11087itkt,2874899,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,156,,"11,1",,"77,8",,"99,9",,107,,,,,,,
RE11087itkfi,2874897,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,156,,"9,9",,"74,9",,108,,"93,5",,1,,"3,5",,,
RE11087itknt,2874898,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,155,,,,"73,6",,"117,3",,"108,3",,,,"3,2",,"1,5",
RE11113itknt,2874895,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,97,,156,,,,"72,7",,"112,8",,"104,1",,,,"2,5",,1,
RE11113itkt,2874896,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,158,,"11,1",,"74,1",,"104,5",,112,,,,,,,
RE11113itkfi,2874894,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,156,,"9,9",,"71,3",,"112,1",,97,,1,,"2,5",,,
RE11116itkt,2874902,BTH_Le_Moulon_2013_SetA2,BTH_Le_Moulon_2013_SetA2,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,155,,"10,8",,70,,"95,7",,"102,5",,,,,,,
