observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14017itkt,2972055,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,134,,11.3,,83.6,,101.5,,,,94,,,,2.5,
AO14017itkfi,2972054,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,134,,11.1,,81.8,,101.8,,1,,74,,1,,1,
AO14020itkt,2972103,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,132,,12,,80.9,,103.7,,,,96.1,,,,1,
AO14020itkfi,2972102,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,133,,11.1,,79.3,,95.8,,1,,69.7,,2,,1,
EM13147itkfi,2972106,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,129,,10,,80,,122.6,,1,,89.2,,1,,1,
EM13147itkt,2972107,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,129,,10.8,,81.5,,115.8,,,,107.3,,,,1,
CF13158itkt,2972049,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,130,,10.7,,79.8,,97.3,,,,90.2,,,,1,
CF13158itkfi,2972048,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,130,,10.1,,79.5,,111.2,,1,,80.8,,1,,1,
RE13116itkt,2972067,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,130,,10.9,,82.6,,101.3,,,,93.8,,,,6.5,
RE13116itkfi,2972066,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,130,,10.2,,80.8,,109.3,,1,,79.5,,1,,1,
EM12040itkt,2972071,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,127,,11.3,,83.9,,96.5,,,,89.4,,,,3,
EM12040itkfi,2972070,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,127,,10,,82.5,,100.2,,1,,72.9,,1,,1,
AO14041itkt,2972091,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2015,80,,131,,10.6,,79.2,,105.6,,,,97.8,,,,1,
AO14041itkfi,2972090,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,80,,131,,9.5,,75.9,,95.9,,1,,69.8,,1,,1,
CF13080itkt,2972085,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,128,,11.4,,79.1,,95.1,,,,88,,,,1,
CF13080itkfi,2972084,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,129,,10.3,,77.8,,102.9,,1,,74.9,,1,,1,
RE13003itkfi,2972118,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,124,,133,,10.5,,80.1,,104.4,,1,,75.9,,1,,1,
RE13003itkt,2972119,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,120,,133,,11.2,,79.4,,102.1,,,,94.6,,,,1,
AO14008itkt,2972079,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,133,,11.2,,81.8,,92.4,,,,85.6,,,,5,
AO14008itkfi,2972078,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,133,,10.6,,83.8,,100.2,,1,,72.9,,1,,1,
AO14028itkfi,2972092,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,133,,9.3,,75.6,,97.4,,1,,70.9,,1,,1,
AO14028itkt,2972093,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,133,,11,,81.7,,85.1,,,,78.8,,,,4.5,
CF13057itkt,2972057,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,132,,11.5,,79.4,,106.5,,,,98.6,,,,2.5,
RE13014itkt,2972069,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2015,116,,132,,11,,83.2,,95.8,,,,88.7,,,,3,
RE13084itkt,2972077,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,132,,11.3,,81.2,,100,,,,92.6,,,,1,
RE13084itkfi,2972076,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,132,,10.8,,79.1,,98.3,,1,,71.5,,1,,1,
RE13086itkfi,2972082,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,106,,132,,11.1,,80.2,,99.3,,1,,72.2,,1,,1,
RE13086itkt,2972083,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2015,103,,132,,11.5,,78.8,,94.8,,,,87.8,,,,3,
RE13106itkt,2972099,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,130,,10.8,,78,,80.1,,,,74.2,,,,9,
RE13106itkfi,2972098,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,131,,9.4,,79.9,,96.3,,1,,70,,3,,3,
RE13005itkt,2972115,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,131,,11.3,,81,,80.8,,,,74.8,,,,8,
RE13005itkfi,2972114,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,131,,10.6,,80.9,,103.7,,1,,75.5,,1,,1,
RE13004itkt,2972113,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,traite,2015,112,,134,,12.3,,82.5,,97.7,,,,90.4,,,,1,
RE13004itkfi,2972112,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,114,,134,,10.6,,82.5,,109.6,,1,,79.7,,1,,1,
Bermudeitkt,2972051,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,133,,10.3,,81.8,,94.4,,,,87.4,,,,1,
Bermudeitkfi,2972050,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,133,,10,,79,,87.4,,1,,63.5,,5,,1,
ATTLASSitkt,2972089,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,traite,2015,99,,131,,11,,82.2,,112.2,,,,103.9,,,,1,
ATTLASSitkfi,2972088,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,131,,10.1,,79.5,,108.3,,1,,78.8,,1,,1,
CELLULEitkt,2972081,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,95,,128,,11.3,,84.9,,114.5,,,,106,,,,1,
CELLULEitkfi,2972080,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,129,,9.8,,83.3,,113,,3.5,,82.2,,3,,1,
Lyrikitkt,2972117,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,134,,10.6,,79.8,,108,,,,100,,,,1,
Lyrikitkfi,2972116,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,99,,133,,9.9,,79.5,,110.9,,1,,80.7,,1,,1,
Granamaxitkfi,2972072,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,132,,10.1,,79.3,,109,,1,,79.3,,1,,1,
Granamaxitkt,2972073,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,132,,10.5,,80.5,,104.3,,,,96.6,,,,1,
RUBISKOitkt,2972105,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,131,,11.5,,76.2,,103.5,,,,95.9,,,,3.5,
RUBISKOitkfi,2972104,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,89,,130,,10.5,,80.2,,103.9,,1,,75.6,,2,,1,
AO14035itkt,2972063,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,traite,2015,105,,133,,10.1,,79.5,,105,,,,97.3,,,,2,
AO14035itkfi,2972062,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,133,,9.7,,78.9,,111.2,,1,,80.9,,1,,1,
AO14022itkt,2972043,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,135,,11,,80.9,,104.4,,,,96.6,,,,6,
AO14022itkfi,2972042,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,134,,9.4,,80.3,,106.6,,1,,77.5,,1,,1,
AREZZOitkt,2972121,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,130,,11.5,,84.7,,87.6,,,,81.2,,,,3,
AREZZOitkfi,2972120,BTH_Lusignan_2015_SetA2,BTH_Lusignan_2015_SetA2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,131,,10.1,,83.3,,95.7,,1,,69.6,,2,,1,
