observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkfi,2851829,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,153,,"12,25",,"83,2",,"102,1",,"73,6",
Barokitkt,2851798,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,150,,"9,84",,"79,7",,"105,3",,"100,9",
Caphornitkfi,2851845,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,152,,"11,36",,"79,4",,"99,3",,"71,6",
Caphornitkt,2851846,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,65,,152,,"10,49",,76,,"92,6",,"88,8",
Barokitkfi,2851797,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,152,,"11,43",,82,,"107,7",,"77,6",
CF09216itkt,2851838,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,146,,"11,09",,"80,6",,"88,4",,"84,7",
AO10028itkt,2851850,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,146,,"10,58",,"77,7",,99,,"94,9",
CF09225itkt,2851870,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,156,,"9,96",,"79,3",,97,,"92,9",
CF09225itkfi,2851869,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,154,,"11,38",,"81,3",,"101,8",,"73,4",
EM08012itkt,2851852,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"9,74",,"77,2",,"94,3",,"90,4",
AO10028itkfi,2851849,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,62,,146,,"12,46",,"82,6",,"95,6",,"68,9",
Stru061884itkfi,2851863,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,158,,"10,94",,77,,"108,4",,"78,1",
EM08012itkfi,2851851,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49328,gnpis_pui:holding-921_taxon-4898_accession-49328,EM08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,156,,"11,06",,"79,9",,"102,8",,"74,1",
CF09227itkt,2851874,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,149,,"10,03",,"78,9",,"97,1",,"93,1",
CF09227itkfi,2851873,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,148,,"11,56",,"81,9",,"97,4",,"70,2",
DI10012itkfi,2851805,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,153,,"11,84",,"83,1",,"95,2",,"68,6",
EM09320itkt,2851816,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,148,,"10,14",,"77,5",,"97,9",,"93,8",
EM09320itkfi,2851815,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"10,38",,"81,5",,"103,2",,"74,4",
DI10012itkt,2851806,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48684,gnpis_pui:holding-921_taxon-4898_accession-48684,DI10012,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,156,,"10,68",,"79,5",,"95,2",,"91,3",
CF09276itkt,2851828,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,146,,11,,"77,6",,"89,6",,"85,8",
Bermudeitkt,2851822,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,153,,"9,61",,"77,8",,"109,9",,"105,3",
CF09276itkfi,2851827,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,146,,"12,32",,"81,2",,"93,3",,"67,2",
AO10024itkt,2851854,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,151,,"10,26",,"77,1",,"95,9",,"91,9",
Bermudeitkfi,2851821,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,152,,"10,96",,"80,9",,"105,7",,"76,2",
EM08222itkt,2851824,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,treated,2010,60,,148,,"11,06",,"76,2",,"87,2",,"83,6",
EM08231itkt,2851862,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,156,,"10,18",,"75,4",,"95,9",,"91,9",
EM08222itkfi,2851823,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49122,gnpis_pui:holding-921_taxon-4898_accession-49122,EM08222,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,58,,148,,"11,64",,"78,3",,"89,8",,"64,7",
EM08231itkfi,2851861,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,153,,"10,96",,"78,5",,103,,"74,2",
EM08215itkt,2851872,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,154,,"10,76",,79,,"98,5",,"94,4",
EM08215itkfi,2851871,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49231,gnpis_pui:holding-921_taxon-4898_accession-49231,EM08215,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,153,,"12,62",,"80,2",,"97,2",,"70,1",
RE09080itkt,2851836,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,154,,"11,26",,"74,2",,"92,7",,"88,8",
RE09063itkt,2851848,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,159,,"9,66",,"73,9",,98,,94,
HadmF11340itkfi,2851841,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,153,,"10,8",,"81,8",,"101,9",,"73,4",
RE09063itkfi,2851847,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,158,,"10,84",,NA,,103,,"74,2",
HadmF11326itkt,2851832,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,156,,"9,73",,"76,3",,"104,9",,"100,5",
HadmF11340itkt,2851842,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49601,gnpis_pui:holding-921_taxon-4898_accession-49601,HadmF11340,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"9,75",,"77,2",,"99,9",,"95,7",
RE09080itkfi,2851835,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48783,gnpis_pui:holding-921_taxon-4898_accession-48783,RE09080,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,152,,"12,07",,"79,6",,"101,6",,"73,2",
HadmF11326itkfi,2851831,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,153,,"10,7",,"80,5",,"105,9",,"76,3",
RE09079itkt,2851814,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,157,,"10,43",,"73,1",,97,,93,
CF09206itkfi,2851867,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,156,,"12,2",,"79,8",,"93,8",,"67,6",
CF09226itkfi,2851875,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"12,08",,"79,9",,"96,8",,"69,8",
RE09079itkfi,2851813,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,156,,"10,3",,"75,9",,"106,6",,"76,8",
DI10014itkt,2851802,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,154,,"10,8",,"77,7",,"96,7",,"92,6",
Premioitkfi,2851809,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,150,,"12,1",,"80,6",,"96,4",,"69,4",
DI10014itkfi,2851801,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48493,gnpis_pui:holding-921_taxon-4898_accession-48493,DI10014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,151,,"11,42",,81,,"96,8",,"69,7",
CF09226itkt,2851876,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48589,gnpis_pui:holding-921_taxon-4898_accession-48589,CF09226,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,146,,"11,32",,"79,3",,"96,3",,"92,3",
CF09206itkt,2851868,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48768,gnpis_pui:holding-921_taxon-4898_accession-48768,CF09206,VIRTUAL_TRIAL,,,,,,,,treated,2010,85,,156,,"10,59",,"80,7",,"92,1",,"88,3",
Premioitkt,2851810,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,152,,"10,28",,"77,9",,"102,3",,"98,1",
CF09216itkfi,2851837,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48561,gnpis_pui:holding-921_taxon-4898_accession-48561,CF09216,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,147,,"12,8",,"82,3",,"87,8",,"63,2",
RE09073itkfi,2851843,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,153,,"11,01",,"77,5",,102,,"73,5",
DI10017itkt,2851812,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,156,,"10,14",,"77,6",,"95,8",,"91,8",
Apacheitkt,2851834,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,148,,"10,25",,"79,2",,"95,2",,"91,2",
AO10024itkfi,2851853,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49722,gnpis_pui:holding-921_taxon-4898_accession-49722,AO10024,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,152,,"11,24",,"81,8",,"99,9",,72,
Apacheitkfi,2851833,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,149,,"10,78",,"80,1",,"98,6",,71,
RE09073itkt,2851844,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,156,,"10,36",,"73,8",,"97,4",,"93,4",
AO10027itkfi,2851859,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,149,,"11,52",,"81,9",,92,,"66,3",
RE09084itkfi,2851839,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,153,,"13,03",,"80,9",,"93,6",,"67,5",
AO10027itkt,2851860,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49344,gnpis_pui:holding-921_taxon-4898_accession-49344,AO10027,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,148,,"10,45",,"78,9",,"92,9",,89,
DI10017itkfi,2851811,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48346,gnpis_pui:holding-921_taxon-4898_accession-48346,DI10017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,68,,155,,"11,28",,"82,3",,"91,5",,66,
CF09284itkfi,2851803,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,145,,"11,98",,"81,2",,"86,1",,62,
RE09084itkt,2851840,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48758,gnpis_pui:holding-921_taxon-4898_accession-48758,RE09084,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,154,,"11,91",,"78,2",,"92,3",,"88,4",
DI10013itkfi,2851807,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,154,,"11,66",,"82,3",,"98,2",,"70,8",
AO10026itkt,2851858,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,151,,"9,92",,"76,3",,"103,1",,"98,9",
CF09284itkt,2851804,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49521,gnpis_pui:holding-921_taxon-4898_accession-49521,CF09284,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,145,,"11,2",,"78,2",,"91,4",,"87,6",
DI10013itkt,2851808,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49728,gnpis_pui:holding-921_taxon-4898_accession-49728,DI10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,156,,"10,76",,"78,9",,"95,2",,"91,2",
AO10026itkfi,2851857,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,149,,"11,38",,"81,7",,"105,8",,"76,2",
Stru061884itkt,2851864,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48384,gnpis_pui:holding-921_taxon-4898_accession-48384,Stru061884,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,159,,"10,27",,"77,6",,"97,2",,"93,2",
AO10025itkfi,2851855,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,153,,"10,86",,"80,2",,"96,7",,"69,7",
CF09257itkt,2851866,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,48873,gnpis_pui:holding-921_taxon-4898_accession-48873,CF09257,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,152,,"11,01",,"79,3",,99,,"94,9",
AO10025itkt,2851856,BTH_Estrées-Mons_2010_SetB3,BTH_Estrées-Mons_2010_SetB3,49420,gnpis_pui:holding-921_taxon-4898_accession-49420,AO10025,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,156,,"9,64",,"78,7",,"99,4",,"95,3",
