observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF08137itknt,2847872,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,82,,,,"47,2",,145,,,,"80,5",,"92,1",,1,,"98,5",,1,
CF08029itkt,2847939,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,"51,1",,142,,"10,69",,"82,1",,"97,4",,,,"110,2",,1,
CF08127itknt,2847926,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,95,,,,"49,6",,150,,,,"79,8",,"86,6",,1,,"92,6",,4,
CF08127itkfi,2847925,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,51,,150,,"9,97",,80,,"88,4",,1,,"88,7",,1,
CF08029itknt,2847938,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,89,,,,"51,6",,142,,,,"82,4",,"99,6",,1,,"106,5",,1,
CF08139itkt,2847852,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,"48,8",,150,,"10,46",,"79,2",,"97,6",,,,"110,4",,2,
CF08021itknt,2847911,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,94,,,,"48,4",,145,,,,"79,2",,"92,4",,1,,"98,8",,4,
CF08139itknt,2847851,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"51,6",,145,,,,80,,"88,2",,1,,"94,4",,"4,5",
CF08139itkfi,2847850,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,91,,1,,"50,7",,145,,"9,8",,"79,6",,"103,2",,1,,"103,6",,1,
CF08137itkfi,2847871,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,81,,1,,"46,8",,144,,"10,45",,"78,2",,"95,8",,1,,"96,2",,1,
CF08109itkfi,2847940,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,"55,4",,145,,"10,78",,"80,7",,97,,1,,"97,4",,"4,5",
CF08021itkt,2847912,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"47,6",,148,,"10,95",,"78,7",,"93,4",,,,"105,6",,1,
CF08021itkfi,2847910,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49645,https://doi.org/10.15454/GXTRDY,CF08021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,"49,8",,145,,"10,66",,"78,4",,"101,2",,2,,"101,6",,1,
CF08137itkt,2847873,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27312,https://doi.org/10.15454/CPWBIX,CF08137,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,,,45,,145,,"10,4",,"78,8",,"90,8",,,,"102,7",,1,
DI09015itkt,2847933,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,"54,4",,150,,"9,78",,"80,4",,"95,1",,,,"107,6",,1,
Skerzzoitkfi,2847928,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,"51,8",,148,,"10,52",,"82,1",,97,,1,,"97,3",,1,
Skerzzoitknt,2847929,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,96,,,,"51,7",,145,,,,"83,2",,"91,4",,1,,"97,7",,2,
DI09015itknt,2847932,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,88,,,,"55,3",,150,,,,"79,6",,"96,4",,1,,103,,"4,5",
DI09015itkfi,2847931,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"54,6",,150,,"9,75",,"78,4",,"99,8",,1,,"100,2",,4,
Skerzzoitkt,2847930,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2010,86,,,,"50,9",,150,,"10,68",,"83,2",,"94,9",,,,"107,3",,1,
EM08221itkt,2847870,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,45,,151,,"9,88",,"74,8",,"92,3",,,,"104,4",,1,
DI09005itkt,2847891,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"54,2",,145,,"10,24",,"78,2",,99,,,,112,,1,
CF08029itkfi,2847937,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27796,https://doi.org/10.15454/9MSP5Q,CF08029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,"1,5",,"52,4",,142,,"10,18",,"82,1",,98,,1,,"98,4",,"1,5",
CF08027itknt,2847959,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"48,8",,150,,,,"80,3",,"92,2",,1,,"98,6",,2,
AO10006itknt,2847866,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"50,1",,145,,,,"80,7",,"91,9",,2,,"98,2",,6,
DI09017itkt,2847951,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,,,"54,2",,144,,"9,88",,"81,6",,"97,1",,,,"109,9",,"2,5",
DI09017itknt,2847950,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,85,,,,"55,6",,144,,,,"82,2",,"87,3",,1,,"93,4",,"4,5",
AO10006itkfi,2847865,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"50,5",,148,,"9,3",,"80,8",,99,,1,,"99,4",,5,
DI09017itkfi,2847949,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,81,,1,,"58,2",,144,,"9,86",,82,,"95,9",,1,,"96,3",,1,
CF08027itkt,2847960,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"47,8",,150,,"10,12",,"80,9",,"99,4",,,,"112,4",,1,
CF08027itkfi,2847958,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"50,2",,150,,"9,6",,"81,2",,"100,6",,1,,101,,1,
EM08223itknt,2847875,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,76,,,,"53,7",,145,,,,"78,4",,79,,1,,"84,4",,"6,5",
Hadm01601-07itkt,2847879,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,"48,1",,145,,"9,85",,"79,4",,"98,8",,,,"111,8",,1,
DI09004itkt,2847894,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2010,83,,,,"56,4",,148,,"10,3",,"79,8",,"98,7",,,,"111,6",,1,
DI09018itkt,2847936,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"53,6",,150,,"10,09",,"79,9",,"97,9",,,,"110,8",,"2,5",
Hadm01601-07itkfi,2847877,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,1,,49,,145,,"9,62",,"79,2",,"101,4",,1,,"101,8",,"1,5",
DI09018itkfi,2847934,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,83,,1,,"57,2",,150,,"9,06",,"80,9",,"106,2",,1,,"106,6",,1,
Croustyitkt,2847909,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2010,88,,,,"51,4",,148,,"11,02",,"81,7",,"94,2",,,,"106,5",,1,
Croustyitknt,2847908,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,97,,,,"51,4",,145,,,,"81,4",,90,,2,,"96,3",,"4,5",
DI09004itknt,2847893,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,90,,,,"57,1",,145,,,,"80,2",,"99,7",,1,,"106,6",,"2,5",
DI09004itkfi,2847892,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,"1,5",,"56,2",,148,,"9,98",,"79,4",,"103,9",,1,,"104,3",,"3,5",
AO09014itknt,2847860,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,83,,,,"44,2",,145,,,,"81,6",,"94,6",,1,,"101,2",,1,
Croustyitkfi,2847907,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,1,,"50,6",,150,,"10,28",,"80,7",,"90,4",,"1,5",,"90,8",,1,
AO10006itkt,2847867,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,"50,8",,148,,"9,75",,"81,8",,"96,2",,,,"108,8",,1,
AO09014itkt,2847861,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,"44,2",,145,,"10,85",,"81,6",,"99,8",,,,"112,9",,1,
AO09014itkfi,2847859,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27781,https://doi.org/10.15454/NMD5FO,AO09014,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,1,,"43,2",,144,,"10,9",,"80,1",,"102,2",,1,,"102,6",,"1,5",
Hadm01601-07itknt,2847878,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"48,5",,144,,,,"80,2",,"99,1",,1,,"105,9",,7,
EM08223itkt,2847876,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,63,,,,"50,8",,145,,"11,93",,"77,6",,"78,1",,,,"88,3",,1,
EM08223itkfi,2847874,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,1,,"51,9",,145,,"12,04",,"77,6",,"81,1",,1,,"81,4",,2,
CF08109itknt,2847941,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,91,,,,"54,6",,145,,,,"81,4",,"92,3",,1,,"98,7",,"6,5",
DI09006itkt,2847888,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,,,"47,2",,151,,"9,84",,"77,8",,"96,5",,,,"109,1",,1,
DI09006itknt,2847887,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,84,,,,"47,8",,150,,,,"75,5",,"79,3",,1,,"84,8",,"2,5",
CF08049itkt,2847945,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,67,,,,"49,2",,145,,"10,09",,"81,8",,"101,9",,,,"115,3",,1,
HadmF11671itkfi,2847913,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"52,6",,150,,"9,58",,"81,7",,"109,1",,"1,5",,"109,5",,"1,5",
Caphornitkt,2847897,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,,,"49,7",,144,,"11,01",,"80,5",,"91,2",,,,"103,1",,1,
Caphornitknt,2847896,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,80,,,,"52,2",,144,,,,"81,9",,"98,3",,1,,"105,1",,4,
DI09006itkfi,2847886,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,1,,"49,4",,151,,9,,77,,"101,9",,1,,"102,3",,1,
Caphornitkfi,2847895,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,1,,"52,3",,144,,"10,09",,"80,6",,"92,3",,1,,"92,6",,1,
Bermudeitkt,2847864,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"51,4",,145,,"10,02",,"81,2",,108,,,,"122,2",,1,
RE08030itknt,2847902,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,86,,,,"47,8",,150,,,,"80,7",,"78,9",,1,,"84,4",,4,
AO10007itknt,2847899,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,85,,,,"54,8",,143,,,,"82,2",,99,,"1,5",,"105,9",,5,
DI09005itkfi,2847889,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,2,,"53,6",,145,,"10,69",,"77,4",,"99,4",,1,,"99,8",,1,
HadmF11671itkt,2847915,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"51,5",,148,,"10,1",,"82,2",,"101,7",,,,115,,1,
RE08030itkfi,2847901,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,"48,2",,151,,"10,96",,"81,2",,"82,5",,1,,"82,8",,1,
HadmF11671itknt,2847914,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,91,,,,"50,7",,145,,,,"82,1",,"102,2",,1,,"109,2",,1,
DI09016itkfi,2847955,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,87,,1,,"56,2",,150,,"10,33",,"78,6",,99,,1,,"99,4",,"1,5",
RE08030itkt,2847903,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,,,"48,3",,150,,"11,2",,"81,7",,"82,1",,,,"92,8",,7,
AO10007itkt,2847900,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,"53,6",,143,,"10,73",,"82,4",,"98,8",,,,"111,7",,1,
Premioitknt,2847854,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,81,,,,54,,144,,,,"81,1",,"101,4",,1,,"108,4",,5,
AO10007itkfi,2847898,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,"53,8",,144,,"10,7",,81,,"93,5",,"1,5",,"93,8",,1,
CF08109itkt,2847942,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,"56,3",,145,,"10,32",,"81,6",,"96,4",,,,109,,1,
EM08221itkfi,2847868,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,76,,1,,"46,3",,151,,"10,26",,"73,6",,"99,5",,1,,"99,8",,1,
Premioitkt,2847855,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,73,,,,"52,7",,144,,"10,58",,"80,5",,"101,8",,,,"115,2",,1,
Premioitkfi,2847853,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,1,,"53,6",,144,,"10,28",,"80,4",,"101,6",,"1,5",,102,,1,
AO10008itkt,2847906,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,87,,,,"46,4",,144,,"9,86",,"81,9",,"103,1",,,,"116,6",,2,
AO10008itkfi,2847904,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,1,,"46,3",,144,,"9,57",,"81,9",,99,,"1,5",,"99,4",,"1,5",
DI09016itkt,2847957,BTH_Le_Moulon_2010_SetA2,BTH_Le_Moulon_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,treated,2010,79,,,,"58,2",,150,,"9,8",,"81,4",,"96,5",,,,"109,1",,"1,5",
