observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM08231itkt,2870854,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,3",,76,,79,,NA,,7,,NA,,56,,NA,,142,,NA,,52,,"0,69",,111,,"35,5",,138,,NA,,"11,2",,NA,,1338,,NA,,"18,5",
RE10039itkt,2870830,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2012,22,,98,,88,,NA,,9,,NA,,73,,NA,,170,,NA,,77,,"0,79",,255,,"36,5",,204,,NA,,"13,1",,NA,,1358,,NA,,38,
RE11035itkt,2870833,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,5",,43,,NA,,100,,NA,,32,,NA,,"85,5",,NA,,"217,5",,148,,"3,47",,242,,78,,384,,"50,92",,"10,8",,82,,NA,,1190,,NA,
RE11059itkt,2870831,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,NA,,100,,NA,,"70,9",,NA,,"88,13",,NA,,"259,03",,111,,"1,58",,276,,72,,387,,"47,62",,11,,"82,5",,NA,,1430,,NA,
RE11091itkt,2870829,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,3",,140,,NA,,100,,NA,,"53,4",,NA,,97,,NA,,"250,4",,55,,"0,39",,244,,19,,341,,"53,65",,"11,2",,"79,1",,NA,,1530,,NA,
RE11094itkt,2870828,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,25,,127,,NA,,100,,NA,,32,,NA,,97,,NA,,229,,59,,"0,47",,251,,11,,335,,"57,87",,"11,2",,"78,5",,NA,,1400,,NA,
RE11095itkt,2870827,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,6",,133,,NA,,100,,NA,,"57,15",,NA,,97,,NA,,"254,15",,57,,"0,43",,236,,30,,337,,"57,87",,"11,2",,"78,7",,NA,,1580,,NA,
RE11096itkt,2870826,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,7",,87,,NA,,100,,NA,,"63,75",,NA,,87,,NA,,"250,75",,91,,"1,05",,282,,59,,334,,"45,37",,"11,8",,"79,3",,NA,,1650,,NA,
RE11098itkt,2870825,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,8",,115,,NA,,100,,NA,,"88,3",,NA,,94,,NA,,"282,3",,71,,"0,62",,266,,57,,360,,"43,48",,"11,5",,"81,2",,NA,,1810,,NA,
Premioitkt,2870815,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,1",,46,,88,,NA,,69,,NA,,83,,NA,,240,,NA,,106,,"2,3",,197,,79,,397,,NA,,"11,8",,NA,,1368,,NA,,37,
Apacheitkt,2870840,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,5",,85,,88,,NA,,49,,NA,,79,,NA,,216,,NA,,74,,"0,87",,196,,70,,377,,NA,,"11,3",,NA,,1535,,NA,,"35,5",
Lyrikitkt,2870868,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,2",,53,,85,,NA,,38,,NA,,81,,NA,,204,,NA,,81,,"1,53",,176,,"55,5",,385,,NA,,"10,4",,NA,,1323,,NA,,"39,5",
Grapeliitkt,2870832,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,17,,59,,85,,NA,,29,,NA,,84,,NA,,198,,NA,,69,,"1,19",,153,,"38,5",,396,,NA,,"10,8",,NA,,1250,,NA,,26,
CF08027itkt,2870867,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,7",,64,,85,,NA,,65,,NA,,97,,NA,,247,,NA,,93,,"1,48",,214,,74,,345,,NA,,"11,5",,NA,,1375,,NA,,"34,5",
Granamaxitkt,2870842,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,6",,43,,88,,NA,,69,,NA,,81,,NA,,238,,NA,,113,,"2,63",,196,,"73,5",,349,,NA,,"10,7",,NA,,1400,,NA,,"39,5",
AO11011itkt,2870818,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,4",,48,,94,,NA,,48,,NA,,84,,NA,,226,,NA,,110,,"2,29",,208,,"71,5",,344,,NA,,"10,5",,NA,,1488,,NA,,35,
Gotikitkt,2870851,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,5",,69,,78,,NA,,63,,NA,,94,,NA,,235,,NA,,83,,"1,2",,212,,"75,5",,388,,NA,,"11,4",,NA,,1445,,NA,,"39,5",
AO12011itkt,2870858,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,17,,59,,100,,NA,,64,,NA,,86,,NA,,250,,NA,,110,,"1,9",,244,,79,,284,,NA,,"11,6",,NA,,1678,,NA,,45,
AO12013itkt,2870856,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,4",,76,,88,,NA,,12,,NA,,72,,NA,,172,,NA,,94,,"1,24",,268,,"80,5",,374,,NA,,"11,1",,NA,,1385,,NA,,"44,5",
CF11029itkt,2870839,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,5",,103,,NA,,97,,NA,,"47,1",,NA,,91,,NA,,"235,1",,64,,"0,62",,198,,69,,351,,"51,12",,"9,7",,"78,7",,NA,,1320,,NA,
CF11051itkt,2870819,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,1",,74,,NA,,97,,NA,,"56,4",,NA,,"89,63",,NA,,"243,03",,112,,"1,5",,292,,55,,357,,"52,97",,"10,1",,"81,7",,NA,,1480,,NA,
CF11177itkt,2870865,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,5",,77,,NA,,100,,NA,,"37,85",,NA,,80,,NA,,"217,85",,107,,"1,39",,312,,70,,367,,"49,31",,"10,5",,"78,5",,NA,,1420,,NA,
CF11215itkt,2870812,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,8",,88,,NA,,97,,NA,,"35,3",,NA,,80,,NA,,"212,3",,86,,"0,98",,280,,73,,272,,"44,88",,"10,4",,"80,1",,NA,,1510,,NA,
CF11291itkt,2870857,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,5",,94,,NA,,97,,NA,,"38,6",,NA,,"88,5",,NA,,"224,1",,100,,"1,06",,321,,64,,363,,"43,63",,11,,"79,4",,NA,,1520,,NA,
DI11012itkt,2870863,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,5",,37,,100,,NA,,43,,NA,,67,,NA,,210,,NA,,107,,"2,89",,168,,64,,408,,NA,,"10,3",,NA,,1308,,NA,,"31,5",
DI11013itkt,2870862,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,4",,42,,88,,NA,,27,,NA,,78,,NA,,193,,NA,,101,,"2,4",,174,,"63,5",,410,,NA,,"10,2",,NA,,1243,,NA,,30,
DI12005itkt,2870869,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,6",,86,,NA,,100,,NA,,"47,85",,NA,,87,,NA,,"234,85",,51,,"0,59",,149,,20,,358,,"50,71",,"9,5",,"79,3",,NA,,1420,,NA,
EM11389itkt,2870813,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,6",,144,,NA,,100,,NA,,"51,75",,NA,,90,,NA,,"241,75",,37,,"0,25",,131,,21,,324,,"51,55",,"10,1",,"79,6",,NA,,1400,,NA,
EM11441itkt,2870838,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,3",,130,,NA,,100,,NA,,"62,8",,NA,,"67,88",,NA,,"230,68",,46,,"0,36",,142,,59,,418,,"47,71",,10,,"77,8",,NA,,1510,,NA,
EM11579itkt,2870866,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,4",,131,,NA,,100,,NA,,"59,03",,NA,,"95,5",,NA,,"254,53",,54,,"0,42",,175,,78,,397,,"44,01",,"10,7",,"78,9",,NA,,1530,,NA,
EM11604itkt,2870849,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2012,"25,8",,135,,NA,,100,,NA,,"71,8",,NA,,"95,5",,NA,,"267,3",,58,,"0,43",,211,,59,,362,,"46,38",,"11,3",,"80,2",,NA,,1560,,NA,
RE10042itkt,2870846,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,8",,57,,88,,NA,,46,,NA,,75,,NA,,209,,NA,,83,,"1,46",,174,,"68,5",,341,,NA,,"10,7",,NA,,1493,,NA,,"28,5",
RE11058itkt,2870847,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,"19,8",,79,,NA,,100,,NA,,"78,7",,NA,,"89,63",,NA,,"268,33",,103,,"1,3",,272,,94,,368,,"49,21",,"10,7",,"80,3",,NA,,1490,,NA,
RE11073itkt,2870824,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11075itkt,2870821,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,1",,108,,NA,,94,,NA,,"31,4",,NA,,94,,NA,,"219,4",,66,,"0,62",,233,,66,,331,,"47,98",,"9,6",,81,,NA,,1230,,NA,
RE11087itkt,2870848,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,3",,101,,NA,,100,,NA,,"36,5",,NA,,"88,13",,NA,,"224,63",,71,,"0,7",,237,,100,,365,,"46,64",,"10,2",,"81,1",,NA,,1400,,NA,
RE11113itkt,2870850,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2012,26,,137,,NA,,100,,NA,,"88,9",,NA,,"98,5",,NA,,"287,4",,54,,"0,39",,216,,73,,370,,"47,89",,"10,9",,"81,4",,NA,,1830,,NA,
RE11116itkt,2870852,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2012,"28,5",,165,,NA,,97,,NA,,"59,48",,NA,,94,,NA,,"250,48",,41,,"0,25",,186,,83,,275,,"47,98",,"10,2",,"79,2",,NA,,1620,,NA,
AO11013itkt,2870817,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,9",,65,,94,,NA,,43,,NA,,84,,NA,,221,,NA,,97,,"1,49",,240,,74,,333,,NA,,"10,6",,NA,,1435,,NA,,"37,5",
EM09320itkt,2870844,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,2",,35,,88,,NA,,9,,NA,,73,,NA,,170,,NA,,140,,4,,213,,66,,423,,NA,,"11,1",,NA,,1260,,NA,,40,
DI11002itkt,2870843,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,1",,99,,94,,NA,,22,,NA,,74,,NA,,190,,NA,,52,,"0,53",,161,,43,,346,,NA,,"11,4",,NA,,1400,,NA,,26,
AO12021itkt,2870822,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,85,,NA,,69,,NA,,76,,NA,,230,,NA,,111,,"1,59",,287,,64,,390,,NA,,11,,NA,,1475,,NA,,"36,5",
EM11366itkt,2870853,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,2",,91,,NA,,100,,NA,,"81,7",,NA,,"98,5",,NA,,"280,2",,94,,"1,03",,256,,83,,416,,"51,12",,"10,5",,"80,5",,NA,,1590,,NA,
EM11400itkt,2870845,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,23,,107,,NA,,100,,NA,,"60,45",,NA,,"86,63",,NA,,"247,08",,71,,"0,66",,250,,50,,398,,"51,33",,"10,7",,"76,6",,NA,,1540,,NA,
CF09169itkt,2870836,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,7",,105,,94,,NA,,76,,NA,,82,,NA,,252,,NA,,89,,"0,86",,263,,77,,371,,NA,,"11,8",,NA,,1605,,NA,,"33,5",
DI11014itkt,2870864,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,"20,4",,84,,85,,NA,,61,,NA,,68,,NA,,214,,NA,,74,,"0,88",,180,,81,,385,,NA,,"11,6",,NA,,1570,,NA,,"28,5",
DI12004itkt,2870814,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,4",,102,,NA,,100,,NA,,"55,35",,NA,,"88,13",,NA,,"243,48",,80,,"0,79",,259,,56,,379,,"40,45",,10,,"79,3",,NA,,1520,,NA,
EM09222itkt,2870855,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,1",,40,,82,,NA,,4,,NA,,53,,NA,,139,,NA,,98,,"2,45",,170,,38,,317,,NA,,"10,9",,NA,,1145,,NA,,29,
AO12014itkt,2870860,BTH_Dijon_2012_TECH,BTH_Dijon_2012_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,2",,60,,88,,NA,,45,,NA,,76,,NA,,209,,NA,,88,,"1,47",,213,,"72,5",,343,,NA,,"10,5",,NA,,1318,,NA,,33,
