observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,pvp(CO_321:1000251),pvp(CO_321:1000251).date
Tremie,2763519,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Voltige,2763501,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,2000,1274,
EM99012,2763528,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,2000,1442,
EM99001,2763509,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,2000,3256,
CF99003,2763516,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26854,https://doi.org/10.15454/PMWJQG,CF99003,VIRTUAL_TRIAL,,,,,,,,2000,"5,07",
CF99016,2763494,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26855,https://doi.org/10.15454/ZNHLL2,CF99016,VIRTUAL_TRIAL,,,,,,,,2000,5832,
CF9804,2763491,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,25942,https://doi.org/10.15454/J28WOV,CF9804,VIRTUAL_TRIAL,,,,,,,,2000,1128,
RE99017,2763525,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,2000,1661,
RE99014,2763527,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26873,https://doi.org/10.15454/NVM4UC,RE99014,VIRTUAL_TRIAL,,,,,,,,2000,1094,
RE99016,2763499,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26874,https://doi.org/10.15454/M7F6IJ,RE99016,VIRTUAL_TRIAL,,,,,,,,2000,1668,
EM99002,2763508,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,2000,3367,
CF9825,2763492,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,2000,5484,
EM99017,2763530,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,2000,5277,
EM99021,2763498,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28765,https://doi.org/10.15454/KZAYH5,EM99021,VIRTUAL_TRIAL,,,,,,,,2000,"4,4",
DI9812,2763511,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,2000,5653,
RE9819,2763493,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,2000,1375,
RE99003,2763512,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,2000,1484,
RE99004,2763502,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,2000,1449,
RE99018,2763529,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28769,https://doi.org/10.15454/4XEWEU,RE99018,VIRTUAL_TRIAL,,,,,,,,2000,1712,
CF99027,2763521,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,25943,https://doi.org/10.15454/B8ORWB,CF99027,VIRTUAL_TRIAL,,,,,,,,2000,5547,
Soissons,2763526,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2000,NA,
Isengrain,2763522,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2000,NA,
CF99002,2763515,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26853,https://doi.org/10.15454/XX9UWD,CF99002,VIRTUAL_TRIAL,,,,,,,,2000,5508,
EM99003,2763507,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,2000,5638,
EM99027,2763497,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,26866,https://doi.org/10.15454/OANUO1,EM99027,VIRTUAL_TRIAL,,,,,,,,2000,2822,
AO99001,2763500,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,48603,gnpis_pui:holding-921_taxon-4898_accession-48603,AO99001,VIRTUAL_TRIAL,,,,,,,,2000,"5,09",
CF99007,2763518,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28758,https://doi.org/10.15454/XSWWAH,CF99007,VIRTUAL_TRIAL,,,,,,,,2000,733,
EM99006,2763510,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,2000,"5,47",
HA1066.146,2763489,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,48543,gnpis_pui:holding-921_taxon-4898_accession-48543,HA1066.146,VIRTUAL_TRIAL,,,,,,,,2000,NA,
HA1070.50,2763490,BTH_Rennes_2000_SetA_PIETIN-VERSE,BTH_Rennes_2000_SetA_PIETIN-VERSE,48987,gnpis_pui:holding-921_taxon-4898_accession-48987,HA1070.50,VIRTUAL_TRIAL,,,,,,,,2000,NA,
