observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2973725,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.84,,72.1,
2,2973723,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,61.01,
1,2973722,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,70.84,
1,2973724,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.09,,69.35,
2,2973729,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.17,,80.56,
1,2973728,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.38,,74.56,
2,2973727,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.88,
1,2973726,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,80.8,
2,2973737,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.47,,80.16,
1,2973736,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.56,,78.62,
2,2973735,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,77.1,
1,2973734,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,80.42,
2,2973741,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.23,,79.28,
1,2973740,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.52,,85.69,
2,2973739,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,77.22,
1,2973738,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,78.5,
1,2973746,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,82.97,
2,2973749,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.04,,79.24,
1,2973748,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,9.72,,81.58,
2,2973747,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,77.86,
1,2973754,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,76.71,
2,2973757,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.34,,77.94,
1,2973756,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.98,,74.59,
2,2973755,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,75.44,
2,2973761,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.09,,76.33,
1,2973760,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11,,77.06,
2,2973759,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.88,
1,2973758,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,74.16,
2,2973629,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.14,,77.72,
1,2973626,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,73.01,
1,2973628,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,11.67,,75.58,
2,2973627,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,78.25,
1,2973630,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,65.35,
2,2973633,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,11.33,,75.21,
1,2973632,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,12.65,,76.97,
2,2973631,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,57.95,
2,2973637,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,REPLICATION,2,,,,,,REPLICATION:2,traite,2015,10.45,,76.32,
1,2973636,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,REPLICATION,1,,,,,,REPLICATION:1,traite,2015,10.99,,79.45,
2,2973635,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,REPLICATION,2,,,,,,REPLICATION:2,non traite fongicides,2015,,,76.2,
1,2973634,BTH_Orgeval_2015_SetB1,BTH_Orgeval_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,REPLICATION,1,,,,,,REPLICATION:1,non traite fongicides,2015,,,75.44,
