observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE14058itkfi,2973464,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,103,,138,,9.8,,100.9,,1.5,,98.5,,2,,2.5,
RUBISKOitkfi,2973472,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,83,,136,,9.1,,103,,1,,100.6,,1.5,,4,
RE14041itkt,2973429,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76104,https://doi.org/10.15454/INFBCK,RE14041,VIRTUAL_TRIAL,,,,,,,,traite,2015,103,,138,,10.8,,107.5,,,,132.9,,,,,
AO15028itkfi,2973446,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76112,https://doi.org/10.15454/QKZFIG,AO15028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,142,,10.2,,101.1,,1,,98.7,,1,,2.5,
CELLULEitkfi,2973444,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,134,,9.6,,96,,6,,93.7,,2,,2.2,
Folkloritkfi,2973406,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,134,,9.9,,93.9,,1.8,,91.6,,2.2,,4,
CF14015itkfi,2973468,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,138,,10.2,,103.7,,1.8,,101.2,,1.5,,2.5,
CF14015itkt,2973469,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,138,,11,,99.4,,,,122.9,,,,,
RE14041itkfi,2973428,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76104,https://doi.org/10.15454/INFBCK,RE14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,104,,133,,9.3,,105.8,,1,,103.3,,1.5,,3.5,
ATTLASSitkfi,2973460,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,141,,10.2,,109,,1.8,,106.4,,1.5,,2.8,
EM14001itkfi,2973430,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76105,https://doi.org/10.15454/7VKWOF,EM14001,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,116,,141,,10,,105.6,,1.8,,103.1,,2,,2.2,
RE14039itkt,2973449,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,142,,10.5,,99.7,,,,123.2,,,,,
RE14039itkfi,2973448,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76113,https://doi.org/10.15454/JJZSKL,RE14039,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,138,,9.4,,93.3,,1,,91,,2,,3,
EM14001itkt,2973431,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76105,https://doi.org/10.15454/7VKWOF,EM14001,VIRTUAL_TRIAL,,,,,,,,traite,2015,112,,147,,10.9,,96.4,,,,119.2,,,,,
RE14085itkt,2973471,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,134,,11,,94.2,,,,116.4,,,,,
RE14085itkfi,2973470,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,147,,9.8,,109.3,,1.5,,106.7,,2,,2.5,
AREZZOitkt,2973477,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,134,,10.5,,94.3,,,,116.5,,,,,
Folkloritkt,2973407,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,138,,10.9,,104.1,,,,128.7,,,,,
AO15029itkt,2973411,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,138,,10.6,,100.9,,,,124.8,,,,,
AO15029itkfi,2973410,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,142,,9.4,,103.4,,2,,100.9,,1.5,,2.8,
Bermudeitkt,2973405,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,139,,10.8,,100.6,,,,124.3,,,,,
CF14171itkt,2973475,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,147,,9.9,,103.2,,,,127.6,,,,,
CF14171itkfi,2973474,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76123,https://doi.org/10.15454/WTAG8G,CF14171,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,139,,9,,104,,1,,101.6,,1.5,,4,
RE14088itkt,2973433,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76106,https://doi.org/10.15454/5SZVGF,RE14088,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,134,,10.8,,89.4,,,,110.5,,,,,
RE14088itkfi,2973432,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76106,https://doi.org/10.15454/5SZVGF,RE14088,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,85,,135,,10.1,,102.4,,1.8,,100,,2.2,,2.5,
Bermudeitkfi,2973404,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,138,,9.5,,98.5,,3,,96.2,,1.5,,3.8,
CF14128itkfi,2973434,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76107,https://doi.org/10.15454/VVTUMV,CF14128,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,112,,142,,10.1,,105.5,,3,,103,,1,,2.5,
CF14054itkt,2973479,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,VIRTUAL_TRIAL,,,,,,,,traite,2015,96,,138,,10.5,,99.5,,,,122.9,,,,,
CF14054itkfi,2973478,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76124,https://doi.org/10.15454/NLXLXP,CF14054,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,134,,9.7,,102,,2.2,,99.6,,2,,3.2,
RE14070itkt,2973451,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,138,,10.9,,98.4,,,,121.6,,,,,
CF14128itkt,2973435,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76107,https://doi.org/10.15454/VVTUMV,CF14128,VIRTUAL_TRIAL,,,,,,,,traite,2015,112,,138,,10.8,,98.7,,,,121.9,,,,,
RE14070itkfi,2973450,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76114,https://doi.org/10.15454/TBQHLR,RE14070,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,147,,9.5,,99.7,,1.5,,97.3,,1.8,,4,
AREZZOitkfi,2973476,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,135,,9.7,,102.5,,5.5,,100.1,,1,,3.5,
CF14031itkt,2973481,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,VIRTUAL_TRIAL,,,,,,,,traite,2015,104,,138,,10.7,,97.7,,,,120.8,,,,,
CF14031itkfi,2973480,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76125,https://doi.org/10.15454/6IXHZR,CF14031,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,107,,134,,10,,103.1,,2.5,,100.6,,1.5,,3.5,
AO15027itkt,2973415,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,134,,11.3,,99.2,,,,122.6,,,,,
Gallixeitkt,2973467,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,138,,10.7,,97.1,,,,120,,,,,
ATTLASSitkt,2973461,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,138,,10.5,,100.8,,,,124.5,,,,,
CF14009itkt,2973437,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76108,https://doi.org/10.15454/XHZ6YQ,CF14009,VIRTUAL_TRIAL,,,,,,,,traite,2015,105,,138,,9.8,,103.3,,,,127.6,,,,,
AO15027itkfi,2973414,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76097,https://doi.org/10.15454/O5PGBB,AO15027,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,82,,138,,10.3,,97.2,,1.8,,94.9,,1.8,,3.8,
CF14009itkfi,2973436,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76108,https://doi.org/10.15454/XHZ6YQ,CF14009,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,147,,9.2,,102.5,,1,,100.1,,1.5,,3.5,
AO15026itkt,2973417,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,147,,10.5,,98.8,,,,122.1,,,,,
AO15026itkfi,2973416,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76098,https://doi.org/10.15454/G7DKZK,AO15026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,93,,138,,9.6,,89.4,,3.2,,87.3,,2,,3.5,
Gallixeitkfi,2973466,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,86,,138,,9.9,,99,,5,,96.6,,3,,3.5,
EM14050itkfi,2973402,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,91,,142,,10.4,,96.7,,1.5,,94.4,,2.8,,3,
EM13033itkt,2973453,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,VIRTUAL_TRIAL,,,,,,,,traite,2015,101,,138,,10.8,,99.3,,,,122.7,,,,,
EM13013itkt,2973439,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,VIRTUAL_TRIAL,,,,,,,,traite,2015,116,,142,,10.4,,99.9,,,,123.5,,,,,
CF14072itkt,2973459,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,VIRTUAL_TRIAL,,,,,,,,traite,2015,98,,138,,11.6,,99,,,,122.3,,,,,
EM13013itkfi,2973438,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76109,https://doi.org/10.15454/0ZCHAM,EM13013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,110,,138,,9.2,,106.7,,3.2,,104.2,,1.8,,2.5,
RE14026itkt,2973419,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,132,,11.4,,100.2,,,,123.9,,,,,
RE14026itkfi,2973418,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76099,https://doi.org/10.15454/XHSCIT,RE14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,138,,10.3,,95.3,,1,,93,,1.5,,2.8,
EM13033itkfi,2973452,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76115,https://doi.org/10.15454/0ZTAZP,EM13033,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,142,,9.8,,104,,3.8,,101.5,,2,,2.5,
RE14004itkfi,2973412,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,101,,136,,9,,108.1,,1,,105.5,,2,,2.8,
CELLULEitkt,2973445,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27736,https://doi.org/10.15454/5V5PUX,CELLULE,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,134,,10.4,,102.3,,,,126.5,,,,,
AO15030itkt,2973455,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,141,,10.1,,106.1,,,,131.2,,,,,
RE14022itkt,2973421,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76100,https://doi.org/10.15454/MH74QS,RE14022,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,134,,11.5,,102.6,,,,126.9,,,,,
RE14022itkfi,2973420,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76100,https://doi.org/10.15454/MH74QS,RE14022,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,134,,10.8,,102.8,,1,,100.4,,2.5,,3.8,
EM14045itkt,2973441,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,VIRTUAL_TRIAL,,,,,,,,traite,2015,93,,142,,11.3,,97.3,,,,120.3,,,,,
EM14045itkfi,2973440,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76110,https://doi.org/10.15454/TE3YF6,EM14045,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,145,,10.2,,93.7,,1.5,,91.5,,3,,3,
AO15030itkfi,2973454,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76116,https://doi.org/10.15454/BY4WPK,AO15030,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,142,,9.1,,101.8,,1.8,,99.4,,1.5,,3.5,
RUBISKOitkt,2973473,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,traite,2015,89,,136,,10.4,,102.8,,,,127.1,,,,,
CF14146itkt,2973423,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76101,https://doi.org/10.15454/Z9OAXX,CF14146,VIRTUAL_TRIAL,,,,,,,,traite,2015,100,,142,,10.5,,103.1,,,,127.4,,,,,
CF14146itkfi,2973422,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76101,https://doi.org/10.15454/Z9OAXX,CF14146,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,141,,9.7,,96.1,,1,,93.8,,2.8,,3.5,
EM14050itkt,2973403,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76093,https://doi.org/10.15454/YFHVTM,EM14050,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,134,,11.4,,94.3,,,,116.6,,,,,
RE14004itkt,2973413,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76096,https://doi.org/10.15454/XYII5B,RE14004,VIRTUAL_TRIAL,,,,,,,,traite,2015,102,,142,,9.5,,110.7,,,,136.8,,,,,
EM14046itkt,2973443,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76111,https://doi.org/10.15454/6OEF2E,EM14046,VIRTUAL_TRIAL,,,,,,,,traite,2015,101,,147,,11.2,,91.9,,,,113.6,,,,,
CF14034itkt,2973457,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,VIRTUAL_TRIAL,,,,,,,,traite,2015,94,,139,,11,,98.8,,,,122.1,,,,,
RE14047itkt,2973425,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76102,https://doi.org/10.15454/1AMPS2,RE14047,VIRTUAL_TRIAL,,,,,,,,traite,2015,90,,137,,11.3,,99.1,,,,122.5,,,,,
RE14047itkfi,2973424,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76102,https://doi.org/10.15454/1AMPS2,RE14047,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,88,,138,,10.2,,104.8,,1,,102.3,,2,,2.8,
CF14034itkfi,2973456,BTH_Le_Moulon_2015_SetB1,BTH_Le_Moulon_2015_SetB1,76117,https://doi.org/10.15454/OWSYXF,CF14034,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,94,,142,,10.1,,100.9,,1,,98.5,,2,,3.2,
