observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
RE07025itkfi,2835613,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"36,5",,,,87,,,,"223,5",,,,,,,,70,,373,,"12,2",,82,,,,,
RE07025itkt,2835614,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07097itkfi,2835585,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,97,,,,"38,9",,,,"85,5",,,,"221,4",,,,,,,,17,,357,,"11,5",,"79,9",,,,,
CF07097itkt,2835586,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05173itkt,2835622,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05173itkfi,2835621,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
CF05079itkt,2835608,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05079itkfi,2835607,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
CF07008itkt,2835660,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07008itkfi,2835659,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"24,5",,,,97,,,,"221,5",,,,,,,,37,,375,,"10,9",,"82,5",,,,,
AO08112itkfi,2835581,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"27,5",,,,63,,,,"190,5",,,,,,,,54,,355,,"11,4",,"76,7",,,,,
AO08112itkt,2835582,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF06136itkt,2835658,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF06136itkfi,2835657,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
CF07002itkt,2835650,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07002itkfi,2835649,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,51,,,,94,,,,245,,,,,,,,67,,381,,"11,6",,"81,2",,,,,
CF05162itkt,2835588,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05162itkfi,2835587,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
AO07210itkt,2835572,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO07210itkfi,2835571,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
CF07021itkt,2835642,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07021itkfi,2835641,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"48,75",,,,97,,,,"245,75",,,,,,,,21,,358,,11,,"82,5",,,,,
AO07302itkfi,2835631,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
AO07302itkt,2835632,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO08107itkfi,2835627,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"56,25",,,,94,,,,"250,25",,,,,,,,59,,368,,"11,6",,"76,9",,,,,
AO08107itkt,2835628,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07018itkt,2835600,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07018itkfi,2835599,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"30,5",,,,75,,,,"205,5",,,,,,,,NA,,421,,NA,,"80,4",,,,,
RE07114itkfi,2835565,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,29,,,,"92,5",,,,"221,5",,,,,,,,55,,383,,11,,"81,7",,,,,
RE07114itkt,2835566,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06134itkfi,2835575,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
RE06134itkt,2835576,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07019itkt,2835570,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07019itkfi,2835569,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,26,,,,"77,5",,,,"203,5",,,,,,,,50,,349,,"11,5",,"82,2",,,,,
RE07093itkfi,2835597,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"27,5",,,,"70,88",,,,"198,38",,,,,,,,28,,357,,12,,"81,7",,,,,
RE07093itkt,2835598,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Hendrixitkfi,2835553,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Hendrixitkt,2835554,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Folkloritkt,2835560,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2008,"18,4",,69,,94,,,,74,,,,97,,,,265,,,,82,,"1,21",,189,,71,,368,,"11,1",,"79,6",,1673,,35,
Folkloritkfi,2835559,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
RE07012itkt,2835564,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07012itkfi,2835563,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"80,5",,,,94,,,,"274,5",,,,,,,,66,,344,,"11,6",,"82,9",,,,,
RE06060itkt,2835638,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06060itkfi,2835637,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
RE07040itkt,2835640,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE07040itkfi,2835639,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"27,5",,,,94,,,,"221,5",,,,,,,,23,,327,,"10,8",,"81,1",,,,,
RE06127itkt,2835618,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06127itkfi,2835617,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Apacheitkt,2835596,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,"21,7",,96,,91,,,,60,,,,85,,,,236,,,,68,,"0,72",,188,,50,,373,,"10,9",,"80,2",,1638,,30,
Apacheitkfi,2835595,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"66,75",,,,"95,5",,,,"262,25",,,,,,,,49,,466,,"13,5",,"76,9",,,,,
CF07022itkfi,2835647,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,100,,,,"33,5",,,,"95,5",,,,229,,,,,,,,51,,382,,11,,"82,1",,,,,
CF07022itkt,2835648,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Toisondoritkt,2835558,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Toisondoritkfi,2835557,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,97,,,,"24,5",,,,"85,88",,,,"207,38",,,,,,,,56,,261,,"11,7",,"75,6",,,,,
Flamenkoitkt,2835610,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2008,"20,8",,88,,100,,,,77,,,,88,,,,265,,,,99,,"1,14",,276,,72,,385,,"12,1",,"78,8",,1678,,46,
Flamenkoitkfi,2835609,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Lyrikitkt,2835656,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Lyrikitkfi,2835655,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Musikitkt,2835574,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2008,"24,5",,122,,100,,,,69,,,,94,,,,263,,,,78,,"0,64",,284,,52,,425,,"12,1",,"78,5",,1750,,44,
Musikitkfi,2835573,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Karillonitkt,2835616,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2008,"17,4",,61,,97,,,,66,,,,94,,,,257,,,,87,,"1,43",,177,,71,,278,,"10,8",,"81,1",,1563,,29,
Karillonitkfi,2835615,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Ghaytaitkt,2835630,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Ghaytaitkfi,2835629,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
Grapeliitkfi,2835579,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,97,,,,"21,5",,,,88,,,,"206,5",,,,,,,,25,,352,,"10,4",,83,,,,,
Grapeliitkt,2835580,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM06307itkfi,2835589,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
EM06307itkt,2835590,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07311itkfi,2835591,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,91,,,,"9,03",,,,"73,88",,,,"173,91",,,,,,,,27,,361,,"11,8",,"82,7",,,,,
CF07311itkt,2835592,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,2008,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE06048itkfi,2835633,BTH_Rennes_2008_TECH,BTH_Rennes_2008_TECH,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2008,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,,
