observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07075itkfi,2833446,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"42,6",,136,,"11,18",,"73,2",,"92,9",,1,,"78,3",,1,,"3,5",,"1,5",
DI08009itkfi,2833430,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,44,,140,,"9,68",,"72,2",,"120,1",,1,,"101,2",,"1,5",,2,,1,
Apacheitkfi,2833412,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,37,,135,,"11,12",,"74,5",,93,,1,,"78,4",,1,,5,,1,
RE07040itkt,2833397,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"41,4",,142,,"11,56",,"76,8",,"98,2",,,,"115,3",,,,,,"3,5",
RE07040itkfi,2833396,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"37,8",,142,,"10,45",,"74,8",,"116,9",,1,,"98,5",,1,,1,,1,
DI08009itkt,2833431,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"49,9",,140,,"10,76",,"75,8",,"104,9",,,,"123,3",,,,,,1,
CF07143itkt,2833435,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2008,108,,57,,141,,"10,7",,"77,4",,"106,2",,,,"124,8",,,,,,1,
AO08337itkfi,2833394,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,41,,132,,"10,36",,75,,"115,9",,2,,"97,6",,1,,3,,1,
RE07071itkt,2833385,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"47,6",,136,,"12,65",,"73,4",,82,,,,"96,4",,,,,,1,
EM07246itkfi,2833382,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"36,8",,134,,"11,56",,"72,8",,98,,1,,"82,5",,1,,"3,5",,1,
Premioitkt,2833381,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,"54,2",,137,,"10,6",,"77,5",,"113,5",,,,"133,3",,,,,,1,
AO08337itkt,2833395,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,48,,132,,"11,14",,"76,9",,"100,8",,,,"118,4",,,,,,1,
Premioitkfi,2833380,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"44,2",,137,,"10,76",,"73,8",,"120,4",,1,,"101,5",,1,,"3,5",,1,
RE07045itkfi,2833440,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,"40,2",,144,,"10,04",,"74,8",,"99,5",,1,,"83,8",,1,,1,,"2,5",
RE07045itkt,2833441,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"44,7",,145,,"10,92",,"75,6",,"93,6",,,,110,,,,,,2,
RE07028itkt,2833427,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,treated,2008,85,,"48,2",,139,,"11,56",,"76,8",,"93,2",,,,"109,6",,,,,,1,
RE07028itkfi,2833426,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,36,,138,,"11,96",,"70,5",,"84,3",,1,,71,,1,,"4,5",,1,
EM07246itkt,2833383,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,"44,7",,134,,"11,66",,"77,4",,"91,1",,,,107,,,,,,1,
RE07071itkfi,2833384,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"44,8",,136,,"11,85",,"74,6",,101,,1,,"85,1",,1,,1,,1,
Sankaraitkfi,2833420,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"41,6",,143,,"10,37",,"74,4",,"104,7",,1,,"88,2",,1,,2,,1,
CF07080itkfi,2833444,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"40,8",,139,,10,,70,,"114,2",,1,,"96,2",,1,,"2,5",,1,
AO08511itkt,2833425,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,treated,2008,78,,"48,6",,136,,"11,11",,"72,3",,102,,,,"119,8",,,,,,1,
CF07141itkt,2833437,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,57,,139,,"11,78",,"78,2",,"102,9",,,,121,,,,,,1,
RE07036itkt,2833403,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"50,2",,138,,"11,24",,"75,8",,"101,1",,,,"118,8",,,,,,1,
AO08511itkfi,2833424,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,36,,136,,"11,6",,"65,4",,79,,2,,"66,5",,1,,6,,1,
RE07036itkfi,2833402,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48462,gnpis_pui:holding-921_taxon-4898_accession-48462,RE07036,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,45,,138,,"10,28",,"74,1",,"109,1",,1,,92,,1,,"1,5",,1,
DI08010itkfi,2833390,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,"38,7",,NA,,"10,35",,"67,2",,"99,8",,1,,"84,1",,2,,2,,"1,5",
CF07138itkt,2833419,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,"55,8",,140,,"11,95",,"76,7",,"102,3",,,,"120,2",,,,,,1,
CF07138itkfi,2833418,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49475,gnpis_pui:holding-921_taxon-4898_accession-49475,CF07138,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,52,,140,,"10,73",,"76,1",,"124,1",,1,,"104,5",,1,,"1,5",,1,
EM07213itkfi,2833410,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,"34,4",,134,,"10,94",,"75,3",,"102,2",,1,,"86,1",,1,,"2,5",,1,
Sankaraitkt,2833421,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,46,,144,,"10,98",,"77,8",,"99,6",,,,117,,,,,,1,
Mendelitkt,2833415,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,"56,4",,136,,"10,66",,"75,8",,"101,1",,,,"118,8",,,,,,1,
EM07213itkt,2833411,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48541,gnpis_pui:holding-921_taxon-4898_accession-48541,EM07213,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"40,3",,134,,"10,89",,"77,4",,"94,3",,,,"110,8",,,,,,1,
RE07087itkt,2833453,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,"50,3",,144,,"10,18",,"74,9",,"104,6",,,,"122,9",,,,,,1,
Mendelitkfi,2833414,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"45,9",,136,,"9,85",,"70,6",,"105,1",,1,,"88,5",,1,,"3,5",,"1,5",
RE07087itkfi,2833452,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49201,gnpis_pui:holding-921_taxon-4898_accession-49201,RE07087,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,102,,45,,144,,"9,54",,"74,2",,122,,1,,"102,8",,1,,1,,1,
Musikitkt,2833399,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"48,4",,138,,"10,86",,"78,4",,"106,9",,,,"125,6",,,,,,1,
Musikitkfi,2833398,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"40,2",,138,,"9,93",,"74,4",,"111,6",,2,,"94,1",,1,,"3,5",,1,
RE07047itkt,2833439,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,"46,3",,143,,"10,68",,"72,4",,"101,6",,,,"119,3",,,,,,"1,5",
RE07027itkt,2833433,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,52,,144,,"11,51",,"77,1",,"93,8",,,,"110,2",,,,,,1,
RE07027itkfi,2833432,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,"44,6",,142,,"10,57",,"75,7",,"99,4",,1,,"83,8",,1,,1,,1,
DI08010itkt,2833391,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48734,gnpis_pui:holding-921_taxon-4898_accession-48734,DI08010,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"47,4",,136,,"10,79",,"73,4",,"99,1",,,,"116,5",,,,,,1,
AO08514itkt,2833455,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,47,,132,,"12,04",,"78,5",,"103,4",,,,"121,5",,,,,,1,
AO08514itkfi,2833454,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49416,gnpis_pui:holding-921_taxon-4898_accession-49416,AO08514,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"42,4",,132,,"11,4",,"76,1",,"109,5",,2,,"92,2",,1,,5,,1,
CF07141itkfi,2833436,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,27903,https://doi.org/10.15454/EWNN9Q,CF07141,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,"51,6",,139,,"10,16",,"75,9",,"112,8",,1,,95,,1,,"1,5",,1,
RE07038itkfi,2833442,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,"42,1",,140,,"9,92",,"70,7",,"110,6",,1,,"93,2",,1,,1,,1,
DI08008itkt,2833429,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,"51,4",,142,,"10,68",,"73,6",,"95,1",,,,"111,7",,,,,,1,
Caphornitkt,2833423,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,"50,8",,137,,"11,28",,"74,6",,"98,8",,,,116,,,,,,1,
RE07038itkt,2833443,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48821,gnpis_pui:holding-921_taxon-4898_accession-48821,RE07038,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,"44,9",,140,,"10,88",,"73,9",,"95,8",,,,"112,6",,,,,,1,
Caphornitkfi,2833422,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,"41,8",,136,,"11,38",,70,,"97,2",,1,,"81,9",,1,,"3,5",,1,
DI08008itkfi,2833428,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,"39,8",,142,,"10,66",,67,,"101,4",,1,,"85,5",,1,,"2,5",,"1,5",
EM07219itkt,2833417,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,"40,4",,136,,"10,94",,"77,7",,"94,6",,,,"111,2",,,,,,1,
EM07219itkfi,2833416,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49294,gnpis_pui:holding-921_taxon-4898_accession-49294,EM07219,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,"36,2",,136,,"10,72",,"75,2",,"99,8",,1,,"84,1",,1,,3,,1,
RE07047itkfi,2833438,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49013,gnpis_pui:holding-921_taxon-4898_accession-49013,RE07047,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"43,1",,143,,"9,43",,"69,9",,"110,9",,1,,"93,4",,1,,1,,1,
RE07082itkt,2833451,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,"49,6",,134,,"10,92",,"76,8",,"98,8",,,,"116,1",,,,,,1,
RE07082itkfi,2833450,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,48501,gnpis_pui:holding-921_taxon-4898_accession-48501,RE07082,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,102,,"48,7",,134,,"10,42",,"76,2",,"124,7",,1,,105,,1,,"1,5",,1,
CF07098itkt,2833401,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,"55,1",,140,,11,,"77,4",,108,,,,"126,9",,,,,,1,
DI08014itkfi,2833392,BTH_Le_Moulon_2008_SetB2,BTH_Le_Moulon_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,36,,144,,"10,6",,"70,8",,"87,2",,1,,"73,4",,1,,"1,5",,1,
