observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM11537itkt,2879456,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,4",,42,,97,,NA,,52,,NA,,93,,NA,,242,,NA,,110,,"2,62",,174,,"89,5",,388,,NA,,"10,7",,NA,,1435,,NA,,NA,,"26,5",
AO13013itkt,2879505,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,59,,91,,NA,,69,,NA,,88,,NA,,248,,NA,,86,,"1,48",,185,,81,,408,,NA,,"10,2",,NA,,1395,,NA,,NA,,23,
AO13015itkt,2879507,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,94,,NA,,66,,NA,,80,,NA,,240,,NA,,77,,"1,35",,145,,"84,5",,423,,NA,,"10,7",,NA,,1515,,NA,,NA,,28,
AO13045itkt,2879529,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,7",,56,,NA,,100,,NA,,79,,NA,,"98,5",,NA,,"277,5",,96,,"1,69",,193,,86,,411,,"60,3",,"9,8",,"78,4",,NA,,1650,,"3,78",,NA,
CF09117itkt,2879522,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,"25,9",,136,,91,,NA,,19,,NA,,88,,NA,,198,,NA,,81,,"0,6",,349,,"76,5",,423,,NA,,15,,NA,,1590,,NA,,NA,,51,
RE12001itkt,2879468,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,6",,95,,NA,,100,,NA,,"78,7",,NA,,"91,13",,NA,,"269,83",,57,,"0,6",,176,,61,,354,,"51,8",,"9,7",,"76,7",,NA,,1593,,"3,02",,NA,
RE12040itkt,2879503,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,"24,3",,120,,NA,,100,,NA,,"74,2",,NA,,"90,38",,NA,,"264,58",,67,,"0,56",,209,,69,,404,,47,,"10,6",,"79,6",,NA,,1495,,"3,62",,NA,
RE12042itkt,2879501,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,2",,100,,NA,,100,,NA,,"60,6",,NA,,"88,13",,NA,,"248,73",,86,,"0,86",,265,,75,,358,,"51,7",,11,,"82,3",,NA,,1623,,"2,75",,NA,
RE12050itkt,2879499,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,8",,71,,NA,,100,,NA,,"72,1",,NA,,97,,NA,,"269,1",,87,,"1,22",,213,,70,,357,,"58,3",,"9,4",,"78,5",,NA,,1372,,"3,28",,NA,
RE12051itkt,2879500,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,1",,82,,NA,,100,,NA,,"81,4",,NA,,100,,NA,,"281,4",,82,,1,,236,,80,,375,,55,,"10,1",,"79,9",,NA,,1685,,"3,02",,NA,
RE12073itkt,2879497,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"26,3",,140,,NA,,100,,NA,,"56,7",,NA,,"91,13",,NA,,"247,83",,76,,"0,54",,305,,70,,392,,"53,8",,"11,1",,"78,9",,NA,,1640,,"4,07",,NA,
RE12100itkt,2879453,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,"27,4",,152,,NA,,100,,NA,,"65,55",,NA,,97,,NA,,"262,55",,52,,"0,34",,204,,64,,366,,45,,"10,8",,"80,7",,NA,,1710,,"2,68",,NA,
Apacheitkt,2879491,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,9",,89,,91,,NA,,65,,NA,,77,,NA,,233,,NA,,65,,"0,74",,170,,62,,372,,NA,,11,,NA,,1493,,NA,,NA,,"28,5",
Lyrikitkt,2879528,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,5",,37,,94,,NA,,73,,NA,,97,,NA,,264,,NA,,105,,"2,84",,156,,"63,5",,399,,NA,,"10,5",,NA,,1380,,NA,,NA,,"32,5",
Grapeliitkt,2879476,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,8",,44,,94,,NA,,32,,NA,,87,,NA,,213,,NA,,82,,"1,86",,142,,"39,5",,370,,NA,,"10,5",,NA,,1350,,NA,,NA,,21,
CF08027itkt,2879530,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,2",,53,,85,,NA,,57,,NA,,74,,NA,,216,,NA,,87,,"1,64",,160,,"63,5",,409,,NA,,"11,2",,NA,,1393,,NA,,NA,,"27,5",
Granamaxitkt,2879493,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,4",,55,,100,,NA,,76,,NA,,77,,NA,,253,,NA,,90,,"1,67",,174,,"65,5",,362,,NA,,"10,4",,NA,,1570,,NA,,NA,,29,
AO11011itkt,2879457,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,97,,NA,,70,,NA,,78,,NA,,245,,NA,,105,,"1,84",,207,,"66,5",,411,,NA,,"11,4",,NA,,1675,,NA,,NA,,"30,5",
Gotikitkt,2879511,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,4",,69,,91,,NA,,70,,NA,,80,,NA,,241,,NA,,85,,"1,25",,193,,70,,425,,NA,,"11,7",,NA,,1583,,NA,,NA,,37,
CF11029itkt,2879487,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,2",,53,,100,,NA,,69,,NA,,71,,NA,,240,,NA,,80,,"1,51",,150,,"80,5",,446,,NA,,"11,9",,NA,,1485,,NA,,NA,,"29,5",
CF11051itkt,2879460,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,7",,64,,100,,NA,,67,,NA,,86,,NA,,253,,NA,,114,,"1,81",,275,,85,,390,,NA,,"10,7",,NA,,1533,,NA,,NA,,32,
CF11177itkt,2879525,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,9",,80,,100,,NA,,74,,NA,,80,,NA,,254,,NA,,116,,"1,45",,363,,"87,5",,428,,NA,,"12,2",,NA,,1490,,NA,,NA,,44,
CF11291itkt,2879518,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,3",,47,,88,,NA,,9,,NA,,73,,NA,,170,,NA,,129,,"2,74",,251,,90,,404,,NA,,"12,4",,NA,,1210,,NA,,NA,,"36,5",
DI11013itkt,2879523,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,1",,59,,94,,NA,,65,,NA,,81,,NA,,240,,NA,,100,,"1,69",,215,,64,,436,,NA,,"10,4",,NA,,1523,,NA,,NA,,28,
DI12005itkt,2879481,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,8",,88,,94,,NA,,40,,NA,,61,,NA,,195,,NA,,53,,"0,61",,150,,"48,5",,374,,NA,,"11,1",,NA,,1358,,NA,,NA,,21,
EM11441itkt,2879486,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,6",,104,,85,,NA,,13,,NA,,46,,NA,,144,,NA,,50,,"0,49",,117,,87,,440,,NA,,"12,2",,NA,,1433,,NA,,NA,,26,
EM11604itkt,2879492,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,3",,84,,97,,NA,,54,,NA,,87,,NA,,238,,NA,,63,,"0,76",,163,,"91,5",,436,,NA,,"11,8",,NA,,1520,,NA,,NA,,"31,5",
RE10042itkt,2879504,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,1",,53,,100,,NA,,63,,NA,,79,,NA,,242,,NA,,87,,"1,67",,179,,75,,370,,NA,,"10,8",,NA,,1558,,NA,,NA,,26,
RE11058itkt,2879520,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,2",,60,,100,,NA,,73,,NA,,90,,NA,,263,,NA,,85,,"1,42",,203,,"87,5",,355,,NA,,"10,2",,NA,,1485,,NA,,NA,,"25,5",
RE11073itkt,2879466,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,5",,62,,100,,NA,,48,,NA,,77,,NA,,225,,NA,,86,,"1,39",,195,,"84,5",,397,,NA,,"10,6",,NA,,1299,,NA,,NA,,26,
RE11075itkt,2879515,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,7",,64,,91,,NA,,48,,NA,,87,,NA,,226,,NA,,83,,"1,32",,190,,85,,375,,NA,,"10,5",,NA,,1331,,NA,,NA,,27,
RE11087itkt,2879508,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,4",,76,,91,,NA,,33,,NA,,94,,NA,,218,,NA,,85,,"1,12",,230,,"83,5",,391,,NA,,"11,3",,NA,,1353,,NA,,NA,,30,
RE11113itkt,2879509,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,4",,93,,94,,NA,,72,,NA,,74,,NA,,240,,NA,,68,,"0,74",,204,,"81,5",,402,,NA,,"11,1",,NA,,1540,,NA,,NA,,"33,5",
RE11116itkt,2879512,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,4",,84,,94,,NA,,70,,NA,,60,,NA,,224,,NA,,61,,"0,73",,161,,"83,5",,351,,NA,,"10,4",,NA,,1488,,NA,,NA,,"24,5",
AO13027itkt,2879469,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,91,,NA,,72,,NA,,62,,NA,,225,,NA,,84,,"1,47",,158,,"88,5",,392,,NA,,"10,3",,NA,,1450,,NA,,NA,,26,
Gallixeitkt,2879470,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Croustyitkt,2879506,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Galibieritkt,2879495,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,"23,7",,114,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,93,,"0,82",,386,,77,,351,,NA,,"14,6",,NA,,NA,,NA,,NA,,54,
CF12108itkt,2879526,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,2",,100,,NA,,100,,NA,,"52,05",,NA,,94,,NA,,"246,05",,65,,"0,65",,191,,59,,406,,"51,8",,"10,2",,"77,5",,NA,,1560,,"2,72",,NA,
EM12096itkt,2879454,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,7",,87,,NA,,100,,NA,,"84,4",,NA,,86,,NA,,"270,4",,79,,"0,91",,221,,80,,401,,52,,11,,"78,1",,NA,,1680,,"2,4",,NA,
EM12205itkt,2879459,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,2",,91,,NA,,100,,NA,,"78,4",,NA,,"98,5",,NA,,"276,9",,80,,"0,88",,232,,64,,325,,"53,3",,"10,5",,"79,3",,NA,,1585,,"2,31",,NA,
EM12231itkt,2879488,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,8",,88,,NA,,100,,NA,,"54,75",,NA,,94,,NA,,"248,75",,66,,"0,74",,169,,76,,385,,"50,2",,"10,1",,"80,2",,NA,,1503,,"3,23",,NA,
EM12234itkt,2879485,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,4",,61,,NA,,100,,NA,,"59,55",,NA,,"86,63",,NA,,"246,18",,92,,"1,49",,205,,93,,407,,"54,5",,"10,5",,"80,9",,NA,,1512,,"2,59",,NA,
EM12340itkt,2879496,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,7",,56,,NA,,100,,NA,,"76,6",,NA,,97,,NA,,"273,6",,112,,"1,99",,240,,68,,405,,"52,1",,"10,6",,"78,5",,NA,,1425,,"3,85",,NA,
EM12359itkt,2879483,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,9",,97,,NA,,100,,NA,,"60,3",,NA,,80,,NA,,"240,3",,85,,"0,87",,283,,70,,373,,"48,6",,"10,5",,"79,2",,NA,,1610,,"2,63",,NA,
RE12002itkt,2879494,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,8",,96,,NA,,100,,NA,,70,,NA,,"92,63",,NA,,"262,63",,70,,"0,72",,210,,66,,374,,"44,7",,"9,9",,77,,NA,,1552,,"2,89",,NA,
RE12020itkt,2879452,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,23,,107,,NA,,100,,NA,,"55,2",,NA,,87,,NA,,"242,2",,111,,"1,04",,418,,71,,421,,"52,2",,"12,2",,"79,1",,NA,,1590,,"3,63",,NA,
EM12044itkt,2879516,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,1",,74,,NA,,100,,NA,,"55,65",,NA,,"77,75",,NA,,"233,4",,89,,"1,2",,240,,60,,325,,"47,1",,"9,6",,"77,4",,NA,,1537,,"3,48",,NA,
AO13016itkt,2879455,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,3",,92,,NA,,100,,NA,,79,,NA,,100,,NA,,279,,50,,"0,54",,126,,68,,390,,"55,6",,"8,5",,"80,3",,NA,,1602,,"2,78",,NA,
AO12021itkt,2879463,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,1",,74,,94,,NA,,69,,NA,,83,,NA,,246,,NA,,100,,"1,35",,265,,"73,5",,379,,NA,,"10,6",,NA,,1688,,NA,,NA,,"27,5",
AO13022itkt,2879472,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,"12,7",,33,,NA,,100,,NA,,"81,7",,NA,,"81,5",,NA,,"263,2",,146,,"4,45",,198,,66,,358,,"51,4",,"9,2",,"80,3",,NA,,1590,,"4,44",,NA,
EM11366itkt,2879514,BTH_Clermont-Ferrand_2013_TECH,BTH_Clermont-Ferrand_2013_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,9",,39,,100,,NA,,76,,NA,,79,,NA,,255,,NA,,120,,"3,08",,188,,82,,402,,NA,,"10,5",,NA,,1530,,NA,,NA,,23,
