observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE00143,2773475,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,3,
LM01001,2773490,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48669,gnpis_pui:holding-921_taxon-4898_accession-48669,LM01001,VIRTUAL_TRIAL,,,,,,,,2001,4,,2,,1,
RE00201,2773458,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49260,gnpis_pui:holding-921_taxon-4898_accession-49260,RE00201,VIRTUAL_TRIAL,,,,,,,,2001,"5,5",,2,,1,
RE00165,2773467,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
RE00153,2773497,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49355,gnpis_pui:holding-921_taxon-4898_accession-49355,RE00153,VIRTUAL_TRIAL,,,,,,,,2001,5,,2,,6,
RE01003,2773493,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49335,gnpis_pui:holding-921_taxon-4898_accession-49335,RE01003,VIRTUAL_TRIAL,,,,,,,,2001,3,,5,,6,
RE00152,2773496,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48513,gnpis_pui:holding-921_taxon-4898_accession-48513,RE00152,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,3,
EM00264,2773486,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,4,
EM00188,2773494,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49170,gnpis_pui:holding-921_taxon-4898_accession-49170,EM00188,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,3,,1,
RE00130,2773498,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49459,gnpis_pui:holding-921_taxon-4898_accession-49459,RE00130,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,2,,1,
EM00261,2773482,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49617,gnpis_pui:holding-921_taxon-4898_accession-49617,EM00261,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,2,,1,
RE01005,2773485,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49630,gnpis_pui:holding-921_taxon-4898_accession-49630,RE01005,VIRTUAL_TRIAL,,,,,,,,2001,4,,5,,4,
CF00156,2773483,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48365,gnpis_pui:holding-921_taxon-4898_accession-48365,CF00156,VIRTUAL_TRIAL,,,,,,,,2001,5,,2,,1,
RE00163,2773471,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,2001,5,,5,,1,
Charger,2773480,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
Tremie,2773459,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
CF01004,2773481,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48868,gnpis_pui:holding-921_taxon-4898_accession-48868,CF01004,VIRTUAL_TRIAL,,,,,,,,2001,4,,3,,1,
EM00133,2773479,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49517,gnpis_pui:holding-921_taxon-4898_accession-49517,EM00133,VIRTUAL_TRIAL,,,,,,,,2001,3,,5,,1,
RE01002,2773484,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,2001,7,,5,,1,
CF00108,2773457,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
RE00164,2773468,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,48472,gnpis_pui:holding-921_taxon-4898_accession-48472,RE00164,VIRTUAL_TRIAL,,,,,,,,2001,6,,5,,1,
Soissons,2773492,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
Isengrain,2773491,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,
RE00160,2773470,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,2,,1,
EM00105,2773464,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49073,gnpis_pui:holding-921_taxon-4898_accession-49073,EM00105,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
RE01006,2773488,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49217,gnpis_pui:holding-921_taxon-4898_accession-49217,RE01006,VIRTUAL_TRIAL,,,,,,,,2001,4,,5,,1,
EM00107,2773466,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
RE00145,2773477,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49380,gnpis_pui:holding-921_taxon-4898_accession-49380,RE00145,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
EM00103,2773463,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49383,gnpis_pui:holding-921_taxon-4898_accession-49383,EM00103,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
EM00252,2773465,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49681,gnpis_pui:holding-921_taxon-4898_accession-49681,EM00252,VIRTUAL_TRIAL,,,,,,,,2001,3,,2,,1,
RE00137,2773495,BTH_Rennes_2001_SetB2_PIETIN-VERSE,BTH_Rennes_2001_SetB2_PIETIN-VERSE,49686,gnpis_pui:holding-921_taxon-4898_accession-49686,RE00137,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,2,,1,
