observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO14041itkt,2976734,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.8,,88,,,,91,,,,,,8.88,,,,,,41.63,,,,,,141.51,,,,36,,0.41,,81,,56,,174,,55,,8.7,,73.3,,,,1050,,,,,
AO14005itkt,2976747,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61865,https://doi.org/10.15454/AJY3JA,AO14005,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,100,,,,,,57,,,,,,88.1,,,,,,245.1,,,,,,61,,0.71,,133,,35,,253,,,,10.6,,,,1505,,,,,,20,
CF13080itkt,2976727,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.7,,87,,,,100,,,,,,8.5,,,,,,30.88,,,,,,139.38,,,,32,,0.36,,66,,25,,221,,52,,9.5,,75.7,,,,1130,,,,,
AO13015itkt,2976728,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,traite,2014,17,,59,,91,,,,,,30.5,,,,,,65.3,,,,,,186.8,,,,,,99,,1.7,,190,,42,,309,,,,9.9,,,,1250,,,,,,24,
RE13003itkt,2976749,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.4,,54,,,,94,,,,,,33.5,,,,,,86.63,,,,,,214.13,,,,91,,1.67,,183,,78,,191,,49.8,,9.7,,81,,,,1252,,,,,
AO14008itkt,2976742,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.6,,50,,,,100,,,,,,62.5,,,,,,86.63,,,,,,249.13,,,,97,,1.96,,177,,72,,279,,53.9,,9.8,,79.9,,,,1140,,,,,
AO14028itkt,2976748,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.2,,54,,,,100,,,,,,42.38,,,,,,94,,,,,,236.38,,,,80,,1.5,,152,,66,,263,,54,,8.9,,77.5,,,,1130,,,,,
AO13045itkt,2976710,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,traite,2014,13,,34,,100,,,,,,35.9,,,,,,80.5,,,,,,216.4,,,,,,130,,3.8,,182,,39,,303,,,,9.4,,,,1331,,,,,,21,
RE13014itkt,2976721,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.6,,86,,,,100,,,,,,72.1,,,,,,88.5,,,,,,260.6,,,,72,,0.83,,178,,73,,224,,50.4,,9.3,,80.5,,,,1425,,,,,
RE13084itkt,2976738,BTH_Le_Moulon_2014_TECH,BTH_Le_Moulon_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2014,20.5,,85,,,,100,,,,,,32.9,,,,,,80.75,,,,,,213.65,,,,82,,0.96,,232,,62,,272,,51.9,,9.3,,80.3,,,,1335,,,,,
