observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
EM11537itkfi,2879930,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13013itkfi,2879979,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13015itkfi,2879981,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13045itkfi,2880003,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,2013,"16,8",,58,,100,,"80,5",,83,,"263,5",,106,,"1,84",,221,,74,,425,,"55,9",,"9,8",,"77,2",
CF09117itkfi,2879996,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE12001itkfi,2879942,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,2013,"19,1",,74,,100,,"71,2",,97,,"268,2",,75,,"1,01",,185,,71,,373,,51,,"9,5",,"82,8",
RE12040itkfi,2879977,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,2013,"15,8",,50,,100,,"66,1",,"88,13",,"254,23",,85,,"1,69",,148,,77,,412,,"48,3",,"9,4",,"84,9",
RE12042itkfi,2879975,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,2013,"18,5",,69,,100,,"77,5",,"88,13",,"265,63",,79,,"1,14",,195,,52,,365,,"53,8",,"9,2",,"80,1",
RE12050itkfi,2879973,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,2013,"15,5",,49,,100,,"81,7",,"81,5",,"263,2",,105,,"2,16",,205,,69,,413,,"59,3",,"9,8",,"79,8",
RE12051itkfi,2879974,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,2013,"18,1",,66,,100,,"77,2",,"89,63",,"266,83",,77,,"1,16",,195,,65,,382,,"53,3",,"9,8",,"80,7",
RE12073itkfi,2879971,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,2013,22,,98,,100,,"76,9",,"88,13",,"265,03",,76,,"0,77",,231,,56,,384,,"56,3",,"9,6",,"79,3",
RE12100itkfi,2879927,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,2013,"25,5",,132,,94,,"65,2",,"66,63",,"225,83",,39,,"0,29",,123,,63,,358,,"48,7",,"8,8",,"81,4",
Apacheitkfi,2879965,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,20,,81,,100,,"80,5",,97,,"277,5",,70,,"0,86",,165,,63,,396,,"49,3",,"9,7",,"81,8",
Lyrikitkfi,2880002,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Grapeliitkfi,2879950,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF08027itkfi,2880004,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Granamaxitkfi,2879967,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11011itkfi,2879931,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Gotikitkfi,2879985,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11029itkfi,2879961,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11051itkfi,2879934,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11177itkfi,2879999,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11291itkfi,2879992,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11013itkfi,2879997,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI12005itkfi,2879955,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11441itkfi,2879960,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11604itkfi,2879966,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10042itkfi,2879978,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11058itkfi,2879994,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11073itkfi,2879940,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11075itkfi,2879989,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11087itkfi,2879982,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11113itkfi,2879983,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11116itkfi,2879986,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13027itkfi,2879943,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Gallixeitkfi,2879944,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Croustyitkfi,2879980,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Galibieritkfi,2879969,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF12108itkfi,2880000,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,2013,"18,8",,71,,100,,"70,3",,"68,88",,"239,18",,62,,"0,87",,138,,73,,425,,"55,6",,"9,7",,"82,8",
EM12096itkfi,2879928,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,2013,"16,4",,54,,100,,"79,6",,"91,13",,"270,73",,94,,"1,72",,188,,78,,403,,56,,"10,5",,"84,5",
EM12205itkfi,2879933,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,2013,"20,6",,86,,100,,"84,1",,"91,13",,"275,23",,77,,"0,89",,221,,53,,391,,49,,"10,3",,"78,5",
EM12231itkfi,2879962,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,2013,"19,5",,77,,100,,"81,1",,100,,"281,1",,79,,"1,02",,195,,69,,406,,"51,1",,10,,"80,1",
EM12234itkfi,2879959,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,2013,"16,4",,54,,100,,"35,3",,"77,75",,"213,05",,101,,"1,85",,214,,74,,420,,"54,2",,"9,7",,"81,6",
EM12340itkfi,2879970,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,2013,"12,5",,32,,100,,"35,9",,"76,25",,"212,15",,147,,"4,64",,195,,64,,430,,"48,3",,"9,6",,"78,3",
EM12359itkfi,2879957,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,2013,20,,81,,100,,"60,6",,"79,25",,"239,85",,76,,"0,93",,223,,56,,412,,"48,6",,"9,6",,"79,3",
RE12002itkfi,2879968,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,2013,"16,8",,58,,97,,"57,23",,"98,5",,"252,73",,78,,"1,36",,167,,68,,326,,47,,"8,8",,82,
RE12020itkfi,2879926,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,2013,"15,9",,52,,100,,"75,1",,"82,88",,"257,98",,150,,"2,91",,305,,70,,452,,"51,5",,"11,3",,83,
EM12044itkfi,2879990,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49319,https://doi.org/10.15454/QHF1AL,EM12044,VIRTUAL_TRIAL,,,,,,,,2013,"12,7",,33,,91,,"10,75",,"80,75",,"182,5",,137,,"4,17",,189,,72,,381,,"48,7",,"9,1",,"83,7",
AO13016itkfi,2879929,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,2013,19,,73,,100,,"70,6",,"98,5",,"269,1",,56,,"0,76",,134,,53,,398,,"58,7",,"8,2",,"79,3",
AO12021itkfi,2879937,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13022itkfi,2879946,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,2013,"13,3",,36,,97,,"30,35",,"82,88",,"210,23",,137,,"3,84",,186,,70,,397,,"54,8",,9,,"79,5",
EM11366itkfi,2879988,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11400itkfi,2879976,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11014itkfi,2879998,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI12004itkfi,2879956,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Bermudeitkfi,2879941,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,15,,46,,100,,"59,55",,"88,13",,"247,68",,95,,"2,09",,166,,77,,379,,"58,8",,"8,6",,"82,9",
AO12014itkfi,2879995,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13030itkfi,2879984,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO13047itkfi,2879954,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF12053itkfi,2879935,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48635,https://doi.org/10.15454/EYGP9K,CF12053,VIRTUAL_TRIAL,,,,,,,,2013,"27,1",,149,,100,,"60,1",,"88,5",,"248,6",,53,,"0,36",,221,,72,,391,,"53,2",,"10,1",,"83,1",
CF12181itkfi,2879951,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,2013,"16,1",,52,,100,,"67,6",,97,,"264,6",,91,,"1,74",,166,,79,,414,,51,,"10,1",,"83,7",
CF12200itkfi,2879953,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,2013,"19,1",,74,,100,,"58,05",,"91,13",,"249,18",,67,,"0,91",,166,,49,,383,,45,,"9,7",,"79,7",
CF12202itkfi,2879987,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,2013,"15,8",,50,,94,,29,,"77,75",,"200,75",,88,,"1,74",,182,,56,,400,,"52,1",,"8,8",,"80,1",
CF12273itkfi,2879991,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,2013,"16,5",,56,,100,,"65,8",,97,,"262,8",,88,,"1,59",,168,,55,,356,,"50,4",,"8,7",,"78,8",
CF12376itkfi,2879963,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,2013,"16,7",,56,,100,,"67,3",,"98,5",,"265,8",,94,,"1,67",,182,,60,,408,,53,,"9,2",,"79,7",
DI13003itkfi,2879993,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,2013,"17,1",,60,,100,,"33,8",,"77,75",,"211,55",,74,,"1,24",,169,,49,,406,,"48,1",,"9,1",,"80,2",
DI13004itkfi,2879947,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,2013,18,,65,,100,,"54,3",,"86,63",,"240,93",,89,,"1,36",,225,,61,,413,,"48,3",,"9,4",,81,
DI13005itkfi,2879948,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,2013,"19,9",,80,,100,,"77,8",,"89,63",,"267,43",,71,,"0,88",,185,,64,,402,,"56,3",,"8,9",,"78,5",
DI13006itkfi,2879949,BTH_Rennes_2013_TECH,BTH_Rennes_2013_TECH,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,2013,"16,5",,56,,100,,"38,9",,80,,"218,9",,85,,"1,52",,183,,44,,383,,"52,1",,"8,6",,"80,5",
