observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date
RE12073itkfi,2879779,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"24,5",,122,,100,,,,"79,6",,,,"98,5",,,,"278,1",,,,71,,"0,58",,256,,67,,411,,"51,5",,"10,3",,"80,3",,1725,,,
RE12073itkt,2879780,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
RE12100itkfi,2879691,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"25,2",,129,,100,,,,"78,1",,,,"92,63",,,,"270,73",,,,44,,"0,34",,149,,68,,398,,48,,"10,3",,"81,8",,1670,,,
RE12100itkt,2879692,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
Apacheitkt,2879768,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,4",,102,,,,100,,,,82,,,,81,,,,263,,65,,"0,64",,205,,,,386,,,,"12,2",,"80,3",,,,1612,
Apacheitkfi,2879767,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"22,2",,100,,100,,,,"59,55",,,,"88,13",,,,"247,68",,,,70,,"0,7",,214,,58,,432,,41,,11,,"78,5",,1665,,,
Lyrikitkfi,2879841,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Lyrikitkt,2879842,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,59,,,,97,,,,79,,,,96,,,,271,,85,,"1,47",,185,,,,378,,,,"11,25",,81,,,,1590,
Grapeliitkfi,2879737,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Grapeliitkt,2879738,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,19,,73,,,,100,,,,76,,,,97,,,,273,,71,,"0,97",,178,,,,322,,,,"12,3",,"81,7",,,,1404,
CF08027itkfi,2879845,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF08027itkt,2879846,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,9",,89,,,,100,,,,58,,,,100,,,,258,,81,,"0,92",,233,,,,381,,,,"12,4",,"81,7",,,,1446,
Granamaxitkt,2879772,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,9",,45,,,,100,,,,78,,,,99,,,,276,,123,,"2,73",,218,,,,344,,,,"11,55",,"80,9",,,,1555,
Granamaxitkfi,2879771,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
AO11011itkt,2879700,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,9",,39,,,,100,,,,80,,,,96,,,,276,,133,,"3,41",,212,,,,352,,,,"11,55",,81,,,,1544,
AO11011itkfi,2879699,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Gotikitkfi,2879807,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
Gotikitkt,2879808,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,9",,65,,,,100,,,,83,,,,99,,,,281,,85,,"1,31",,195,,,,408,,,,"12,15",,82,,,,1640,
CF11029itkfi,2879759,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF11029itkt,2879760,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF11051itkfi,2879705,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF11051itkt,2879706,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF11177itkfi,2879835,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
CF11177itkt,2879836,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF11291itkt,2879822,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
CF11291itkfi,2879821,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI11013itkt,2879832,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,12,,29,,,,100,,,,78,,,,97,,,,275,,134,,"4,62",,173,,,,392,,,,"11,25",,"83,1",,,,1461,
DI11013itkfi,2879831,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI12005itkfi,2879747,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
DI12005itkt,2879748,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
EM11441itkfi,2879757,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,
EM11441itkt,2879758,BTH_Le_Moulon_2013_TECH,BTH_Le_Moulon_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,,,NA,,,,NA,,NA,,,,NA,
