observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13021itkfi,2878207,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60946,https://doi.org/10.15454/N0K6T3,AO13021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,146,,"80,2",,"92,2",,"2,5",,"72,6",,1,
DI13003itkfi,2878233,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49052,https://doi.org/10.15454/6DHCDH,DI13003,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,152,,"76,3",,95,,1,,"74,8",,1,
AO13019itkfi,2878231,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60913,https://doi.org/10.15454/GQZLI1,AO13019,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,144,,"77,7",,"95,4",,1,,"75,2",,1,
CF12271itkfi,2878227,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"76,7",,"97,5",,"2,5",,"76,8",,1,
EM12205itkfi,2878200,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,144,,"74,2",,"94,6",,1,,"74,5",,1,
EM12147itkfi,2878220,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,148,,"73,2",,"99,5",,1,,"78,4",,1,
CF12181itkfi,2878212,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,48978,https://doi.org/10.15454/5ZAP8G,CF12181,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,152,,"81,8",,"98,7",,"1,5",,"77,7",,1,
Altigoitkfi,2878222,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,142,,"77,5",,"101,8",,"2,5",,"80,2",,"2,5",
CF12202itkfi,2878232,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,49079,https://doi.org/10.15454/EYUOPH,CF12202,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,144,,75,,"99,6",,1,,"78,4",,1,
CF12232itkfi,2878234,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,144,,"74,6",,95,,1,,"74,8",,1,
AO13018itkfi,2878230,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,148,,"76,3",,103,,1,,"81,2",,1,
EM12231itkfi,2878216,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,149,,78,,102,,2,,"80,4",,1,
AO13024itkfi,2878205,BTH_Rennes_2013_SetB2,BTH_Rennes_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,150,,"77,8",,"92,2",,1,,"72,6",,1,
