observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM11537itkt,2879614,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,7",,64,,97,,NA,,NA,,53,,NA,,NA,,86,,NA,,NA,,236,,NA,,NA,,115,,"1,83",,269,,"94,5",,391,,NA,,"11,8",,NA,,1380,,NA,,NA,,NA,,33,
AO13013itkt,2879663,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,6",,70,,97,,NA,,NA,,52,,NA,,NA,,90,,NA,,NA,,239,,NA,,NA,,113,,"1,61",,272,,"98,5",,384,,NA,,"12,1",,NA,,1420,,NA,,NA,,NA,,39,
AO13015itkt,2879665,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60834,https://doi.org/10.15454/KQGENR,AO13015,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,7",,64,,100,,NA,,NA,,51,,NA,,NA,,78,,NA,,NA,,229,,NA,,NA,,91,,"1,44",,188,,"95,5",,411,,NA,,"11,4",,NA,,1550,,NA,,NA,,NA,,"34,5",
AO13045itkt,2879687,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,61318,https://doi.org/10.15454/WK73B3,AO13045,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,1",,60,,NA,,97,,NA,,NA,,"86,5",,NA,,NA,,83,,NA,,NA,,"266,5",,NA,,112,,"1,88",,258,,83,,401,,"54,3",,"11,1",,"80,4",,NA,,1800,,NA,,"3,38",,NA,
CF09117itkt,2879680,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,1",,99,,94,,NA,,NA,,20,,NA,,NA,,72,,NA,,NA,,186,,NA,,NA,,114,,"1,15",,430,,80,,420,,NA,,"15,4",,NA,,1455,,NA,,NA,,NA,,"63,5",
RE12001itkt,2879626,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49097,https://doi.org/10.15454/ANZWH3,RE12001,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,6",,86,,NA,,100,,NA,,NA,,"65,85",,NA,,NA,,100,,NA,,NA,,"265,85",,NA,,66,,"0,77",,195,,76,,315,,"47,8",,"10,9",,"82,2",,NA,,1720,,NA,,"2,44",,NA,
RE12040itkt,2879661,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,5",,103,,NA,,100,,NA,,NA,,"58,05",,NA,,NA,,100,,NA,,NA,,"258,05",,NA,,80,,"0,77",,228,,80,,453,,"45,8",,"12,2",,"84,2",,NA,,1615,,NA,,"3,05",,NA,
RE12042itkt,2879659,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,9",,97,,NA,,100,,NA,,NA,,"68,85",,NA,,NA,,"82,25",,NA,,NA,,"251,1",,NA,,81,,"0,83",,278,,78,,318,,"49,8",,13,,"81,6",,NA,,1820,,NA,,"2,32",,NA,
RE12050itkt,2879657,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,6",,78,,NA,,100,,NA,,NA,,"63,9",,NA,,NA,,"79,25",,NA,,NA,,"243,15",,NA,,118,,"1,51",,338,,83,,343,,54,,"12,6",,"81,5",,NA,,1730,,NA,,"2,46",,NA,
RE12051itkt,2879658,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48435,https://doi.org/10.15454/0FR6IX,RE12051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,1",,82,,NA,,100,,NA,,NA,,"61,35",,NA,,NA,,"77,75",,NA,,NA,,"239,1",,NA,,104,,"1,27",,322,,77,,363,,"42,4",,"12,8",,"81,3",,NA,,1725,,NA,,"2,2",,NA,
RE12073itkt,2879655,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"24,8",,125,,NA,,100,,NA,,NA,,"61,95",,NA,,NA,,"98,5",,NA,,NA,,"260,45",,NA,,82,,"0,65",,313,,69,,302,,"57,8",,"13,1",,"82,3",,NA,,1745,,NA,,"3,59",,NA,
RE12100itkt,2879611,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,"25,9",,136,,NA,,100,,NA,,NA,,"61,05",,NA,,NA,,"91,5",,NA,,NA,,"252,55",,NA,,62,,"0,45",,258,,90,,364,,"45,2",,"12,9",,"83,6",,NA,,1715,,NA,,"2,31",,NA,
Apacheitkt,2879649,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,6",,95,,100,,NA,,100,,66,,NA,,86,,85,,NA,,96,,251,,NA,,281,,72,,"0,77",,212,,58,,396,,NA,,12,,"79,6",,1553,,NA,,1828,,NA,,37,
Lyrikitkt,2879686,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,2",,60,,97,,NA,,100,,68,,NA,,80,,74,,NA,,90,,239,,NA,,270,,101,,"1,68",,226,,55,,"364,5",,NA,,"11,4",,"81,7",,1398,,NA,,1539,,NA,,36,
Grapeliitkt,2879634,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,8",,44,,88,,NA,,100,,44,,NA,,51,,81,,NA,,99,,213,,NA,,250,,78,,"1,77",,136,,"33,5",,"371,5",,NA,,"11,5",,"81,2",,1255,,NA,,1455,,NA,,"21,5",
CF08027itkt,2879688,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,1",,59,,88,,NA,,100,,67,,NA,,80,,93,,NA,,97,,248,,NA,,277,,105,,"1,78",,223,,"79,5",,333,,NA,,"12,1",,"81,9",,1400,,NA,,1546,,NA,,37,
Granamaxitkt,2879651,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,"13,5",,37,,97,,NA,,100,,79,,NA,,79,,94,,NA,,96,,270,,NA,,275,,134,,"3,62",,204,,78,,"330,5",,NA,,"11,6",,"81,6",,1550,,NA,,1518,,NA,,40,
AO11011itkt,2879615,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,"12,6",,32,,94,,NA,,100,,70,,NA,,81,,91,,NA,,97,,255,,NA,,278,,150,,"4,69",,205,,"78,5",,339,,NA,,"11,9",,"82,1",,1528,,NA,,1577,,NA,,40,
Gotikitkt,2879669,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,100,,NA,,100,,73,,NA,,77,,77,,NA,,84,,250,,NA,,260,,96,,"1,68",,192,,70,,386,,NA,,"11,8",,"81,2",,1498,,NA,,1529,,NA,,35,
CF11029itkt,2879645,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2013,"12,4",,31,,79,,NA,,NA,,8,,NA,,NA,,55,,NA,,NA,,142,,NA,,NA,,102,,"3,29",,136,,"79,5",,362,,NA,,"11,1",,NA,,1255,,NA,,NA,,NA,,"33,5",
CF11051itkt,2879618,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,6",,70,,97,,NA,,NA,,50,,NA,,NA,,81,,NA,,NA,,228,,NA,,NA,,118,,"1,69",,322,,"91,5",,399,,NA,,12,,NA,,1498,,NA,,NA,,NA,,"42,5",
CF11177itkt,2879683,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,"19,7",,79,,85,,NA,,NA,,28,,NA,,NA,,80,,NA,,NA,,193,,NA,,NA,,128,,"1,64",,391,,"91,5",,321,,NA,,13,,NA,,1353,,NA,,NA,,NA,,58,
CF11291itkt,2879676,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,5",,69,,88,,NA,,NA,,34,,NA,,NA,,81,,NA,,NA,,203,,NA,,NA,,109,,"1,58",,283,,"93,5",,386,,NA,,"13,2",,NA,,1385,,NA,,NA,,NA,,"43,5",
DI11013itkt,2879681,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,12,,29,,91,,NA,,100,,19,,NA,,71,,83,,NA,,96,,193,,NA,,267,,119,,"4,1",,148,,"73,5",,"374,5",,NA,,"10,7",,"83,3",,1245,,NA,,1346,,NA,,30,
DI12005itkt,2879639,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,"17,8",,64,,91,,NA,,NA,,19,,NA,,NA,,77,,NA,,NA,,187,,NA,,NA,,70,,"1,09",,179,,54,,371,,NA,,"11,6",,NA,,1340,,NA,,NA,,NA,,26,
EM11441itkt,2879644,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,21,,89,,88,,NA,,NA,,41,,NA,,NA,,60,,NA,,NA,,189,,NA,,NA,,50,,"0,56",,120,,"86,5",,416,,NA,,"12,8",,NA,,1583,,NA,,NA,,NA,,"29,5",
EM11604itkt,2879650,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,17,,59,,97,,NA,,NA,,76,,NA,,NA,,85,,NA,,NA,,258,,NA,,NA,,79,,"1,36",,182,,90,,438,,NA,,"12,3",,NA,,1613,,NA,,NA,,NA,,32,
RE10042itkt,2879662,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,2",,53,,94,,NA,,NA,,74,,NA,,NA,,87,,NA,,NA,,255,,NA,,NA,,89,,"1,68",,172,,88,,350,,NA,,"11,9",,NA,,1563,,NA,,NA,,NA,,30,
RE11058itkt,2879678,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2013,"14,6",,43,,100,,NA,,NA,,27,,NA,,NA,,74,,NA,,NA,,201,,NA,,NA,,115,,"2,67",,206,,100,,377,,NA,,"11,4",,NA,,1408,,NA,,NA,,NA,,35,
RE11073itkt,2879624,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,"16,8",,57,,91,,NA,,NA,,27,,NA,,NA,,86,,NA,,NA,,204,,NA,,NA,,100,,"1,75",,226,,91,,382,,NA,,"11,6",,NA,,1325,,NA,,NA,,NA,,32,
RE11075itkt,2879673,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,9",,51,,94,,NA,,NA,,40,,NA,,NA,,74,,NA,,NA,,208,,NA,,NA,,99,,"1,94",,194,,"89,5",,386,,NA,,11,,NA,,1265,,NA,,NA,,NA,,30,
RE11087itkt,2879666,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2013,"15,7",,50,,97,,NA,,NA,,69,,NA,,NA,,86,,NA,,NA,,252,,NA,,NA,,109,,"2,18",,213,,"89,5",,364,,NA,,"11,9",,NA,,1395,,NA,,NA,,NA,,33,
RE11113itkt,2879667,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,9",,89,,97,,NA,,NA,,79,,NA,,NA,,93,,NA,,NA,,269,,NA,,NA,,75,,"0,85",,217,,"88,5",,338,,NA,,"12,3",,NA,,1600,,NA,,NA,,NA,,"35,5",
RE11116itkt,2879670,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2013,"21,2",,91,,97,,NA,,NA,,75,,NA,,NA,,80,,NA,,NA,,252,,NA,,NA,,62,,"0,68",,167,,"84,5",,328,,NA,,"11,5",,NA,,1560,,NA,,NA,,NA,,29,
AO13027itkt,2879627,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,2",,67,,91,,NA,,NA,,51,,NA,,NA,,85,,NA,,NA,,227,,NA,,NA,,112,,"1,67",,256,,97,,371,,NA,,"12,3",,NA,,1603,,NA,,NA,,NA,,39,
Gallixeitkt,2879628,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Croustyitkt,2879664,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Galibieritkt,2879653,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,1",,99,,91,,NA,,NA,,56,,NA,,NA,,91,,NA,,NA,,238,,NA,,NA,,137,,"1,38",,537,,88,,376,,NA,,"16,6",,NA,,1788,,NA,,NA,,NA,,69,
CF12108itkt,2879684,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,treated,2013,22,,98,,NA,,100,,NA,,NA,,"65,55",,NA,,NA,,"89,63",,NA,,NA,,"255,18",,NA,,72,,"0,73",,221,,76,,407,,"53,8",,"12,1",,"82,1",,NA,,1862,,NA,,"1,99",,NA,
EM12096itkt,2879612,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,treated,2013,"20,4",,84,,NA,,100,,NA,,NA,,"82,6",,NA,,NA,,"88,5",,NA,,NA,,"271,1",,NA,,94,,"1,12",,279,,85,,429,,"53,6",,"12,7",,"83,8",,NA,,1725,,NA,,"2,17",,NA,
EM12205itkt,2879617,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49562,https://doi.org/10.15454/EJSRJK,EM12205,VIRTUAL_TRIAL,,,,,,,,treated,2013,"22,2",,100,,NA,,100,,NA,,NA,,"64,5",,NA,,NA,,90,,NA,,NA,,"254,5",,NA,,92,,"0,92",,310,,89,,422,,"52,7",,"13,7",,"82,1",,NA,,1752,,NA,,"2,15",,NA,
EM12231itkt,2879646,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48934,https://doi.org/10.15454/YCKTDL,EM12231,VIRTUAL_TRIAL,,,,,,,,treated,2013,21,,89,,NA,,100,,NA,,NA,,"53,85",,NA,,NA,,"89,63",,NA,,NA,,"243,48",,NA,,75,,"0,84",,192,,85,,393,,"47,8",,"12,5",,"83,1",,NA,,1620,,NA,,"3,03",,NA,
EM12234itkt,2879643,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,49090,https://doi.org/10.15454/1VGYYS,EM12234,VIRTUAL_TRIAL,,,,,,,,treated,2013,"18,9",,72,,NA,,100,,NA,,NA,,"65,1",,NA,,NA,,"79,25",,NA,,NA,,"244,35",,NA,,102,,"1,4",,270,,85,,435,,47,,"12,9",,"81,6",,NA,,1775,,NA,,"2,28",,NA,
EM12340itkt,2879654,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,treated,2013,15,,46,,NA,,100,,NA,,NA,,"62,7",,NA,,NA,,"80,75",,NA,,NA,,"243,45",,NA,,167,,"3,65",,311,,69,,442,,"47,2",,"13,2",,"81,4",,NA,,1690,,NA,,"2,99",,NA,
EM12359itkt,2879641,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,treated,2013,22,,98,,NA,,100,,NA,,NA,,"47,6",,NA,,NA,,"79,25",,NA,,NA,,"226,85",,NA,,94,,"0,96",,337,,69,,408,,"44,8",,"12,7",,"81,6",,NA,,1820,,NA,,"2,47",,NA,
RE12002itkt,2879652,BTH_Estrées-Mons_2013_TECH,BTH_Estrées-Mons_2013_TECH,48869,https://doi.org/10.15454/TN9KFO,RE12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,20,,81,,NA,,100,,NA,,NA,,"65,85",,NA,,NA,,"89,63",,NA,,NA,,"255,48",,NA,,81,,1,,235,,88,,345,,"40,8",,"11,5",,"80,2",,NA,,1722,,NA,,"2,3",,NA,
