observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE07093,2846421,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,NA,,2,,1,,1,
Hendrix,2846404,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,NA,,2,,1,,3,
Folklor,2846406,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2010,6,,NA,,2,,1,,1,
RE07040,2846435,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,2010,7,,3,,2,,1,,3,
Premio,2846405,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2010,"7,5",,NA,,5,,1,,1,
Apache,2846420,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,5,,3,,1,
CF07022,2846438,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27790,https://doi.org/10.15454/CEUVSR,CF07022,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,NA,,2,,1,,1,
Toisondor,2846416,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,5,,1,,9,
Flamenko,2846429,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,2,,3,,1,
AO10001,2846425,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,49021,https://doi.org/10.15454/JP7IQ2,AO10001,VIRTUAL_TRIAL,,,,,,,,2010,"5,5",,5,,5,,1,,4,
Lyrik,2846440,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2010,4,,2,,2,,1,,1,
Musik,2846412,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2010,7,,NA,,2,,3,,1,
Karillon,2846430,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2010,6,,NA,,2,,1,,1,
Ghayta,2846433,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2010,4,,NA,,2,,1,,6,
Granamax,2846434,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2010,7,,5,,NA,,2,,1,
Caphorn,2846426,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,5,,1,,4,
AO10004,2846427,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,2010,3,,5,,NA,,4,,1,
AO10005,2846428,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,5,,NA,,1,,1,
Strub061859-1,2846415,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,NA,,NA,,7,
RE07095,2846423,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27266,https://doi.org/10.15454/PYG05B,RE07095,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,NA,,2,,1,,1,
CF07143,2846431,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2010,5,,NA,,2,,2,,3,
EM07117,2846413,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,2010,7,,NA,,2,,1,,1,
Soissons,2846437,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2010,"4,5",,NA,,5,,3,,1,
Bermude,2846410,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2010,8,,NA,,2,,NA,,6,
CF07267,2846436,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,
EM06017,2846407,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2010,"6,5",,NA,,2,,3,,1,
AO10003,2846424,BTH_Rennes_2010_SetA1_PIETIN-VERSE,BTH_Rennes_2010_SetA1_PIETIN-VERSE,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,2010,4,,5,,NA,,2,,1,
