observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE04100itkfi,2809557,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"69,5",,145,,"9,79",,"64,8",,"104,5",,"84,7",,1,
DI05025itkt,2809548,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"53,7",,142,,"12,33",,"70,8",,"102,6",,"104,7",,"1,5",
RE04125itkt,2809544,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"59,8",,145,,"11,13",,"69,5",,"103,1",,"105,1",,1,
RE04100itkt,2809558,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49735,gnpis_pui:holding-921_taxon-4898_accession-49735,RE04100,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"64,4",,"145,5",,"10,88",,"69,2",,"101,4",,"103,4",,1,
CF04022itkfi,2809559,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,58,,143,,"9,88",,"67,6",,"108,4",,"87,9",,1,
CF04022itkt,2809560,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"56,5",,"142,5",,"10,88",,"68,4",,"104,1",,"106,2",,4,
CF04048itkt,2809584,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"55,2",,"142,5",,"8,88",,"70,2",,101,,103,,"4,5",
RE04094itkfi,2809575,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"59,9",,145,,"9,82",,"62,2",,"99,8",,"80,9",,1,
CF04052itkt,2809550,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"58,6",,"140,5",,"12,2",,"74,8",,"97,5",,"99,5",,"4,5",
CF04048itkfi,2809583,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,"57,5",,143,,"8,2",,"68,3",,"107,7",,"87,3",,3,
RE04098itkt,2809570,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"58,1",,"145,5",,"10,61",,"64,2",,"103,4",,"105,5",,1,
RE04098itkfi,2809569,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48437,gnpis_pui:holding-921_taxon-4898_accession-48437,RE04098,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,6",,"145,5",,"9,52",,"62,6",,"109,2",,"88,5",,1,
CF04052itkfi,2809549,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,63,,139,,"10,98",,"74,4",,"101,8",,"82,5",,"1,5",
RE04099itkt,2809568,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"52,4",,144,,"11,42",,"66,9",,"102,9",,105,,1,
RE04097itkt,2809578,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"55,1",,"145,5",,"10,21",,65,,"105,1",,"107,2",,"1,5",
RE04097itkfi,2809577,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48464,gnpis_pui:holding-921_taxon-4898_accession-48464,RE04097,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"53,3",,146,,"9,32",,"64,5",,"106,3",,"86,2",,1,
RE04099itkfi,2809567,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48855,gnpis_pui:holding-921_taxon-4898_accession-48855,RE04099,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"52,9",,145,,"9,28",,"67,7",,"105,1",,"85,2",,1,
EM03264itkt,2809566,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49705,gnpis_pui:holding-921_taxon-4898_accession-49705,EM03264,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"44,7",,"145,5",,"10,22",,"67,8",,"101,4",,"103,4",,"3,5",
CF04114itkfi,2809553,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"62,6",,141,,"9,32",,"66,6",,"100,8",,"81,7",,5,
RE04094itkt,2809576,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48721,gnpis_pui:holding-921_taxon-4898_accession-48721,RE04094,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"61,5",,145,,"10,79",,"60,3",,"102,7",,"104,8",,1,
CF04164itkt,2809572,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"56,2",,139,,"11,22",,"73,8",,"104,1",,"106,2",,3,
CF04164itkfi,2809571,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48363,gnpis_pui:holding-921_taxon-4898_accession-48363,CF04164,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"54,5",,138,,"9,75",,"72,8",,"92,7",,"75,1",,3,
CF04114itkt,2809554,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48527,https://doi.org/10.15454/5LEWVH,CF04114,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"64,4",,142,,"10,1",,"68,8",,"108,9",,"111,1",,"3,5",
RE04125itkfi,2809543,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48485,gnpis_pui:holding-921_taxon-4898_accession-48485,RE04125,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"59,2",,145,,"9,64",,"68,6",,"103,7",,"84,1",,"1,5",
CF04101itkt,2809592,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"60,3",,"138,5",,"12,4",,"72,2",,"97,3",,"99,2",,6,
CF04101itkfi,2809591,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49054,gnpis_pui:holding-921_taxon-4898_accession-49054,CF04101,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,62,,138,,"10,68",,NA,,NA,,NA,,"4,5",
RE04124itkt,2809546,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"51,6",,"143,5",,"10,58",,"71,6",,"99,4",,"101,4",,6,
Chargeritkfi,2809589,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"49,9",,144,,"8,63",,"67,3",,"99,3",,"80,5",,1,
RE04108itkfi,2809551,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"51,1",,"142,5",,"10,44",,"68,9",,"103,8",,"84,1",,1,
RE04124itkfi,2809545,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49453,gnpis_pui:holding-921_taxon-4898_accession-49453,RE04124,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"53,8",,144,,"9,9",,68,,"103,5",,"83,9",,"1,5",
Chargeritkt,2809590,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,"49,7",,144,,"9,48",,"68,7",,"101,4",,"103,5",,3,
RE04108itkt,2809552,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48339,gnpis_pui:holding-921_taxon-4898_accession-48339,RE04108,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"48,5",,"141,5",,"11,08",,"70,3",,"95,6",,"97,5",,1,
DI05026itkt,2809614,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"62,1",,"140,5",,"11,42",,75,,"95,8",,"97,8",,3,
DI05026itkfi,2809613,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48489,gnpis_pui:holding-921_taxon-4898_accession-48489,DI05026,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"62,9",,140,,"11,52",,"73,7",,"93,6",,"75,9",,2,
DI05029itkt,2809594,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"43,3",,"144,5",,"10,74",,"70,2",,"97,5",,"99,4",,"4,5",
EM03234itkt,2809600,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"58,6",,145,,"10,11",,"62,3",,"103,5",,"105,6",,3,
Caphornitkt,2809586,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"55,6",,139,,"10,91",,"71,6",,"98,3",,"100,3",,1,
Caphornitkfi,2809585,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"59,5",,"139,5",,"10,48",,"68,3",,"109,6",,"88,8",,2,
DI05027itkfi,2809611,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,1",,"140,5",,"10,36",,"74,6",,"114,7",,93,,1,
EM03234itkfi,2809599,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"60,7",,146,,"9,83",,"61,6",,"111,4",,"90,3",,"1,5",
RE04082itkt,2809616,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"48,1",,"141,5",,"10,54",,"67,4",,"95,1",,97,,1,
RE04082itkfi,2809615,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48348,gnpis_pui:holding-921_taxon-4898_accession-48348,RE04082,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"46,5",,143,,"10,26",,"69,3",,100,,"81,1",,1,
DI05027itkt,2809612,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48705,gnpis_pui:holding-921_taxon-4898_accession-48705,DI05027,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"54,7",,141,,"10,47",,"75,1",,"103,7",,"105,8",,"1,5",
DI05029itkfi,2809593,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,49554,gnpis_pui:holding-921_taxon-4898_accession-49554,DI05029,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,43,,145,,"9,54",,"66,5",,"102,2",,"82,8",,4,
RE04101itkfi,2809555,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"54,7",,138,,"11,54",,"74,2",,"94,4",,"76,5",,1,
CF04159itkfi,2809581,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"54,2",,"141,5",,"11,26",,"70,7",,"86,5",,"70,1",,1,
RE04096itkt,2809580,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,"54,6",,"146,5",,"10,66",,64,,"92,2",,"94,1",,1,
RE04096itkfi,2809579,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48421,gnpis_pui:holding-921_taxon-4898_accession-48421,RE04096,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"77,5",,"60,6",,"145,5",,"10,42",,"59,1",,"103,5",,"83,9",,1,
Farandoleitkfi,2809587,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"63,4",,"141,5",,"9,86",,"65,6",,"104,5",,"84,7",,1,
CF04159itkt,2809582,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48809,gnpis_pui:holding-921_taxon-4898_accession-48809,CF04159,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"55,3",,141,,"12,86",,"71,7",,"100,8",,"102,8",,2,
EM03271itkt,2809604,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"58,2",,"144,5",,"10,45",,"66,2",,"101,8",,"103,8",,4,
RE04101itkt,2809556,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,26834,https://doi.org/10.15454/NMELF4,RE04101,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"51,1",,"135,5",,"11,74",,"75,6",,"100,8",,"102,8",,4,
DI05023itkt,2809618,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48851,gnpis_pui:holding-921_taxon-4898_accession-48851,DI05023,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,62,,143,,"11,34",,"65,6",,"95,2",,"97,2",,"2,5",
Orvantisitkfi,2809597,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"54,1",,"140,5",,"9,35",,"71,1",,"90,9",,"73,6",,4,
EM03271itkfi,2809603,BTH_Le_Moulon_2005_SetB3,BTH_Le_Moulon_2005_SetB3,48565,gnpis_pui:holding-921_taxon-4898_accession-48565,EM03271,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,59,,144,,"9,64",,"67,3",,"98,9",,"80,2",,1,
