observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM06233itkfi,2836339,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,79,,139,,12,,"76,4",,78,,"5,5",,42,
RE06060itkt,2836326,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,138,,"12,41",,"76,3",,92,,,,"74,5",
Koreliitkt,2836288,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,83,,139,,"10,69",,"79,6",,"118,3",,,,"95,8",
CF05173itkfi,2836311,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,74,,138,,"9,14",,"75,6",,"112,4",,"7,5",,"60,6",
RE06060itkfi,2836325,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,138,,"11,26",,"75,9",,"95,7",,"3,5",,"51,6",
CF05173itkt,2836312,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2009,74,,138,,"10,68",,"77,1",,"112,6",,,,"91,2",
Flamenkoitkfi,2836305,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,134,,"10,8",,"75,3",,"90,8",,3,,"48,9",
EM06307itkt,2836282,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2009,74,,134,,"12,59",,"75,7",,"80,4",,,,"65,2",
EM06307itkfi,2836281,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,135,,"10,8",,"73,9",,"90,8",,4,,"48,9",
RE06127itkt,2836308,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,134,,"14,82",,"75,4",,"72,9",,,,59,
Lyrikitkfi,2836335,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,137,,"9,26",,76,,"110,4",,"6,5",,"59,5",
CF05079itkt,2836310,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2009,75,,136,,"11,99",,"79,4",,87,,,,"70,5",
CF05079itkfi,2836309,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,79,,138,,"12,07",,"78,4",,"83,4",,"3,5",,45,
RE06127itkfi,2836307,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,73,,134,,"15,36",,"74,7",,63,,"3,5",,"33,9",
Soissonsitkt,2836332,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2009,77,,133,,"13,72",,"77,8",,"79,6",,,,"64,5",
AO08112itkt,2836278,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,137,,"10,64",,"77,1",,"110,2",,,,"89,3",
AO08112itkfi,2836277,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,81,,138,,"9,22",,"75,8",,"117,5",,4,,"63,3",
Lyrikitkt,2836336,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,73,,136,,"10,4",,"77,9",,"114,2",,,,"92,6",
DI07001-2itkt,2836284,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,68,,134,,"11,12",,"75,1",,104,,,,"84,3",
AO07127itkt,2836302,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,135,,"12,43",,"77,5",,"92,6",,,,75,
EM06094itkt,2836314,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,135,,"11,4",,"75,1",,"105,8",,,,"85,7",
Premioitkt,2836280,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,74,,134,,"11,56",,"76,7",,"103,3",,,,"83,7",
CF06136itkt,2836338,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2009,79,,134,,"11,07",,"73,6",,"97,6",,,,79,
Premioitkfi,2836279,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,135,,"11,57",,"76,2",,111,,3,,"59,8",
CF06136itkfi,2836337,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,84,,134,,"9,79",,"72,5",,"99,3",,"3,5",,"53,5",
Musikitkt,2836274,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,64,,134,,"11,36",,"76,5",,101,,,,"81,8",
Musikitkfi,2836273,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,64,,134,,"11,22",,75,,"92,3",,"4,5",,"49,7",
CF05162itkfi,2836285,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,134,,"11,18",,"76,7",,"66,3",,9,,"35,7",
DI08019-3itkfi,2836269,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,136,,"9,5",,77,,"117,9",,6,,"63,5",
AO07127itkfi,2836301,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,74,,135,,"11,72",,"76,6",,"83,8",,"4,5",,"45,2",
CF05162itkt,2836286,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,134,,"11,86",,"77,2",,"90,4",,,,"73,2",
RE06048itkt,2836324,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2009,76,,134,,"14,33",,75,,"68,3",,,,"55,3",
DI08019-3itkt,2836270,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,treated,2009,74,,136,,"11,2",,"77,9",,"107,1",,,,"86,8",
CF03201itkt,2836304,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2009,76,,134,,"13,48",,"77,7",,"85,1",,,,"68,9",
CF03201itkfi,2836303,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,134,,"15,16",,"76,4",,58,,3,,"31,3",
RE06048itkfi,2836323,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,79,,134,,"14,3",,"73,7",,"61,3",,"4,5",,33,
EM06110itkt,2836334,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2009,76,,133,,"12,26",,"77,1",,83,,,,"67,3",
Karillonitkt,2836330,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,138,,"10,47",,"77,6",,"110,7",,,,"89,7",
Apacheitkt,2836292,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,134,,"12,36",,"76,8",,"93,8",,,,76,
AO07210itkt,2836328,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,134,,"12,34",,"73,8",,"101,6",,,,"82,3",
EM06233itkt,2836340,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,138,,"12,74",,"76,8",,"84,5",,,,"68,5",
Karillonitkfi,2836329,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,77,,138,,"8,68",,76,,"123,6",,"3,5",,"66,6",
AO07210itkfi,2836327,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,134,,"10,19",,"74,1",,"108,5",,7,,"58,5",
Apacheitkfi,2836291,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,135,,"11,72",,"76,1",,"81,1",,7,,"43,7",
EM06110itkfi,2836333,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,76,,134,,"14,65",,75,,"56,5",,"4,5",,"30,4",
AO07302itkt,2836322,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,134,,"11,68",,"76,3",,"90,1",,,,73,
DI02001itkfi,2836297,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,138,,"9,48",,"77,9",,"116,4",,6,,"62,7",
DI02001itkt,2836298,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,138,,"10,32",,"79,2",,"111,9",,,,"90,6",
Skerzzoitkt,2836320,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,136,,"13,18",,"78,9",,"96,8",,,,"78,4",
Ghaytaitkt,2836318,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2009,78,,136,,"14,72",,77,,"92,1",,,,"74,7",
AO07302itkfi,2836321,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,136,,"10,95",,"75,3",,"86,8",,"4,5",,"46,8",
AO08107itkt,2836316,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,136,,"10,74",,"74,2",,"107,4",,,,"87,1",
AO08107itkfi,2836315,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,136,,"9,98",,74,,"119,7",,2,,"64,5",
EM06017itkt,2836268,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2009,71,,133,,"12,8",,"79,3",,92,,,,"74,6",
Skerzzoitkfi,2836319,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,138,,"11,89",,"78,2",,"94,7",,3,,51,
Sankaraitkfi,2836295,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,69,,138,,"10,46",,"75,3",,"104,5",,"5,5",,"56,3",
Ghaytaitkfi,2836317,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,77,,137,,"11,95",,"74,7",,"74,8",,"6,5",,"40,3",
RE06134itkfi,2836275,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,134,,"12,8",,75,,"81,4",,5,,"43,9",
RE06134itkt,2836276,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,134,,"13,24",,"76,1",,"85,2",,,,"69,1",
EM06017itkfi,2836267,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,83,,134,,"12,76",,"78,4",,"79,1",,"6,5",,"42,6",
EM06229itkfi,2836289,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,134,,"12,4",,"74,5",,73,,"6,5",,"39,3",
EM06094itkfi,2836313,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,135,,"10,4",,"74,3",,"107,1",,"4,5",,"57,7",
Sankaraitkt,2836296,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,70,,137,,"12,03",,"75,9",,"104,1",,,,"84,3",
Hendrixitkt,2836262,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2009,84,,136,,"12,88",,"80,2",,"96,7",,,,"78,4",
Hendrixitkfi,2836261,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,136,,"10,3",,"79,5",,"108,6",,"4,5",,"58,5",
DI07001-2itkfi,2836283,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,72,,134,,"12,54",,"74,4",,"77,6",,5,,"41,8",
