observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO07302,2837811,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2009,3,,2,,1,
AO08107,2837808,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,2009,8,,2,,3,
RE06134,2837788,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,2009,8,,2,,2,
Hendrix,2837781,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,3,
Folklor,2837783,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,1,
RE06060,2837813,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,NA,,3,
RE06127,2837804,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,3,,3,
Premio,2837790,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2009,5,,NA,,3,
DI08019-3,2837785,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,3,,1,
Apache,2837796,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,1,
Skerzzo,2837810,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2009,3,,NA,,1,
Sankara,2837798,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,NA,,5,
Toisondor,2837782,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,NA,,6,
Flamenko,2837803,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,2009,6,,NA,,1,
Lyrik,2837818,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2009,4,,3,,1,
Musik,2837787,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,2009,6,,NA,,1,
Karillon,2837815,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,NA,,1,
Ghayta,2837809,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2009,4,,2,,5,
Caphorn,2837800,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2009,7,,NA,,6,
EM06307,2837791,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,2009,"6,5",,NA,,3,
RE06048,2837812,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,2,
DI02001,2837799,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,2009,2,,NA,,6,
Soissons,2837816,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2009,"3,5",,NA,,1,
AO07127,2837801,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,2009,"7,5",,2,,1,
EM06017,2837784,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,NA,,1,
EM06233,2837820,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,2009,3,,NA,,1,
EM06229,2837795,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,2009,6,,NA,,1,
EM06110,2837817,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2009,6,,3,,1,
EM06094,2837807,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,NA,,1,
DI07001-2,2837792,BTH_Rennes_2009_SetA1_PIETIN-VERSE,BTH_Rennes_2009_SetA1_PIETIN-VERSE,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,2009,2,,5,,5,
