observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF09182itkt,2852869,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,4",,130,,100,,74,,99,,273,,63,,"0,48",,238,,78,,NA,,12,,"80,1",,1833,,NA,
CF09117itkt,2852905,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,4",,152,,100,,78,,87,,265,,79,,"0,52",,369,,67,,NA,,13,,"80,8",,1860,,NA,
CF09225itkt,2852899,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,25,,126,,91,,65,,93,,249,,58,,"0,46",,230,,82,,NA,,12,,"81,7",,1715,,NA,
CF09227itkt,2852911,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,6",,103,,100,,84,,91,,275,,80,,"0,78",,272,,80,,NA,,"11,8",,"81,3",,1808,,NA,
CF09176itkt,2852889,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,1",,148,,91,,73,,88,,252,,56,,"0,38",,223,,78,,NA,,"12,3",,"79,7",,1775,,NA,
CF09276itkt,2852868,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,3",,119,,97,,80,,82,,259,,89,,"0,75",,347,,82,,NA,,13,,"81,2",,1968,,NA,
EM08231itkt,2852855,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,8",,134,,88,,29,,42,,159,,45,,"0,34",,147,,21,,NA,,"11,6",,"78,7",,1563,,NA,
DI09006itkt,2852875,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,2",,109,,88,,41,,45,,174,,42,,"0,39",,124,,"16,5",,373,,"11,6",,NA,,1655,,"17,5",
RE07019itkt,2852858,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,4",,55,,94,,30,,80,,204,,86,,"1,59",,188,,69,,399,,"12,2",,NA,,1395,,"34,5",
Folkloritkt,2852854,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,91,,"51,2",,84,,"226,2",,87,,"1,13",,251,,74,,411,,"11,8",,NA,,1475,,43,
RE09063itkt,2852870,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,2",,149,,88,,84,,86,,258,,48,,"0,32",,192,,82,,NA,,"12,3",,"78,1",,1815,,NA,
RE09079itkt,2852851,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,1",,137,,88,,37,,66,,191,,54,,"0,39",,173,,80,,NA,,"13,1",,"76,2",,1593,,NA,
RE09009itkt,2852881,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,4",,120,,91,,55,,91,,237,,61,,"0,51",,215,,25,,NA,,"12,5",,77,,1648,,NA,
EM09003itkt,2852853,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,7",,133,,88,,40,,64,,192,,63,,"0,47",,205,,76,,NA,,"11,5",,"82,3",,1495,,NA,
RE09073itkt,2852878,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,4",,141,,88,,74,,94,,256,,59,,"0,42",,242,,51,,NA,,"12,9",,"76,9",,1883,,NA,
EM08019itkt,2852892,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,6",,49,,91,,67,,77,,235,,89,,"1,82",,158,,67,,372,,"11,8",,NA,,1553,,26,
DI10001itkt,2852887,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,4",,61,,91,,32,,58,,181,,108,,"1,77",,268,,75,,NA,,"12,2",,"80,7",,1380,,NA,
Apacheitkt,2852872,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,8",,125,,94,,"47,4",,67,,"208,4",,61,,"0,49",,194,,58,,392,,12,,NA,,1603,,38,
Toisondoritkt,2852864,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,4",,42,,82,,9,,60,,151,,84,,2,,158,,68,,410,,"11,8",,NA,,1135,,"34,5",
Flamenkoitkt,2852885,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,2",,83,,94,,"74,4",,87,,"255,4",,90,,"1,1",,238,,"70,5",,356,,"11,7",,NA,,1648,,"41,5",
Lyrikitkt,2852909,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,94,,"81,2",,84,,"259,2",,117,,"1,83",,292,,61,,430,,"12,5",,NA,,1730,,53,
Musikitkt,2852860,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,4",,84,,94,,"56,1",,87,,"237,1",,100,,"1,19",,274,,56,,428,,"12,4",,NA,,1580,,43,
Karillonitkt,2852902,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,8",,88,,94,,"31,3",,87,,"212,3",,80,,"0,92",,209,,"79,5",,423,,"12,2",,NA,,1445,,35,
Ghaytaitkt,2852898,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,6",,104,,88,,"12,8",,86,,"186,8",,105,,"1,02",,344,,78,,482,,"15,5",,NA,,1373,,63,
CF08027itkt,2852912,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,3",,84,,91,,28,,87,,206,,77,,"0,93",,220,,73,,370,,"12,1",,NA,,1508,,"34,5",
Granamaxitkt,2852894,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,1",,59,,94,,52,,86,,232,,117,,"1,98",,260,,"85,5",,400,,12,,NA,,1595,,41,
Gallixeitkt,2852901,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,"28,8",,167,,85,,32,,73,,190,,33,,"0,2",,111,,8,,NA,,"11,9",,"78,1",,1555,,NA,
Caphornitkt,2852879,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,2",,83,,97,,"62,9",,81,,"240,9",,107,,"1,3",,309,,72,,442,,"12,9",,NA,,1655,,64,
AO10005itkt,2852880,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49146,https://doi.org/10.15454/H6MB7G,AO10005,VIRTUAL_TRIAL,,,,,,,,treated,2010,17,,59,,94,,82,,86,,262,,121,,"2,09",,261,,71,,412,,"12,2",,NA,,1805,,39,
AO10008itkt,2852882,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,"12,4",,31,,82,,8,,50,,140,,141,,"4,55",,197,,"74,5",,424,,"12,6",,NA,,1025,,"52,5",
AO10011itkt,2852847,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49125,https://doi.org/10.15454/CTNPK9,AO10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,9",,72,,97,,69,,97,,263,,104,,"1,44",,251,,"74,5",,406,,"12,1",,NA,,1813,,40,
AO10013itkt,2852849,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48839,https://doi.org/10.15454/PBJK68,AO10013,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,8",,80,,91,,47,,88,,226,,95,,"1,2",,254,,"56,5",,414,,"12,6",,NA,,1643,,41,
EM08024itkt,2852867,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27822,https://doi.org/10.15454/KNNDVP,EM08024,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,6",,95,,91,,64,,85,,240,,82,,"0,87",,246,,"70,5",,384,,"12,5",,NA,,1690,,"41,5",
CF09027itkt,2852895,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48507,https://doi.org/10.15454/YFD4LO,CF09027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,94,,53,,76,,223,,117,,"1,83",,258,,88,,NA,,12,,"81,7",,1483,,NA,
EM09080itkt,2852896,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49303,https://doi.org/10.15454/WSDK5P,EM09080,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,9",,106,,100,,69,,83,,252,,62,,"0,58",,174,,69,,NA,,"11,5",,"79,8",,1760,,NA,
EM09189itkt,2852906,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49252,https://doi.org/10.15454/LVMRPV,EM09189,VIRTUAL_TRIAL,,,,,,,,treated,2010,"22,9",,106,,91,,44,,66,,201,,47,,"0,44",,128,,30,,NA,,"11,6",,80,,1683,,NA,
EM09320itkt,2852852,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2010,20,,81,,91,,74,,80,,245,,95,,"1,17",,272,,70,,NA,,"12,2",,"80,1",,1733,,NA,
Hadm01601-07itkt,2852866,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,88,,52,,85,,225,,97,,"1,56",,224,,68,,451,,"12,5",,NA,,1558,,"47,5",
HadmF11671itkt,2852890,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,5",,37,,88,,"23,5",,75,,"186,5",,124,,"3,35",,190,,88,,396,,"12,7",,NA,,1490,,38,
HadmF11326itkt,2852871,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,1",,53,,88,,58,,77,,223,,94,,"1,81",,200,,"77,5",,403,,"12,5",,NA,,1515,,39,
Strub061859-1itkt,2852863,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,8",,57,,91,,"49,4",,76,,"216,4",,87,,"1,53",,198,,58,,363,,"11,6",,NA,,1480,,43,
CF07143itkt,2852893,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,9",,136,,85,,39,,72,,196,,59,,"0,44",,206,,"74,5",,337,,"12,3",,NA,,1590,,37,
EM08223itkt,2852865,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,19,,73,,88,,17,,43,,148,,50,,"0,68",,98,,43,,398,,14,,NA,,1250,,"19,5",
CF08049itkt,2852907,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,8",,96,,91,,51,,93,,235,,97,,"1,01",,290,,78,,417,,"12,4",,NA,,1738,,"44,5",
CF08084itkt,2852904,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,1",,108,,91,,27,,64,,182,,63,,"0,58",,190,,67,,405,,"12,3",,NA,,1503,,35,
EM07117itkt,2852908,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,3",,76,,88,,"43,9",,87,,"218,9",,59,,"0,79",,156,,33,,379,,"11,8",,NA,,1515,,29,
CF09169itkt,2852846,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,27,,147,,94,,78,,91,,263,,63,,"0,43",,261,,89,,NA,,"12,7",,"81,2",,1800,,NA,
DI10011itkt,2852850,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,5",,93,,100,,74,,86,,260,,95,,"1,02",,283,,88,,NA,,"11,7",,"80,2",,1853,,NA,
AO10006itkt,2852859,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,6",,43,,88,,7,,66,,161,,121,,"2,81",,220,,"80,5",,332,,"11,5",,NA,,1270,,39,
EM09318itkt,2852873,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,27,,147,,85,,37,,71,,193,,34,,"0,23",,120,,7,,NA,,"11,8",,"78,9",,1623,,NA,
Soissonsitkt,2852903,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,23,,107,,91,,78,,87,,256,,103,,"0,96",,384,,79,,373,,13,,NA,,1748,,47,
DI09018itkt,2852861,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,"12,8",,33,,85,,6,,61,,152,,135,,"4,09",,196,,72,,427,,"11,8",,NA,,1188,,"41,5",
EM08221itkt,2852888,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,9",,89,,85,,16,,49,,150,,34,,"0,39",,88,,18,,306,,"11,7",,NA,,1360,,18,
AO10003itkt,2852876,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,8",,96,,94,,"46,6",,97,,"237,6",,74,,"0,77",,208,,76,,382,,"11,8",,NA,,1435,,36,
AO10015itkt,2852845,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,4",,76,,94,,79,,84,,257,,104,,"1,37",,285,,"55,5",,417,,"13,3",,NA,,1700,,46,
AO10026itkt,2852891,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,1",,74,,79,,33,,74,,186,,73,,"0,99",,158,,24,,418,,"12,4",,NA,,1338,,28,
AO10028itkt,2852884,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,1",,53,,94,,76,,91,,261,,110,,"2,12",,218,,64,,422,,"12,7",,NA,,1633,,40,
EM09221itkt,2852897,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"27,9",,157,,85,,33,,65,,183,,35,,"0,22",,128,,11,,NA,,12,,"78,1",,1550,,NA,
EM09222itkt,2852900,BTH_Le_Moulon_2010_TECH,BTH_Le_Moulon_2010_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,3",,110,,91,,73,,77,,241,,56,,"0,51",,214,,30,,NA,,"12,1",,"79,5",,1663,,NA,
