observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Apacheitkt,2876495,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,154,,11,,"75,3",,"96,2",,"99,1",,,
CF12042itkt,2876481,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,154,,"11,4",,"75,2",,"97,2",,"100,2",,,
EM12096itkfi,2876450,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,48739,https://doi.org/10.15454/CEPFO5,EM12096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,153,,"10,8",,"75,8",,"104,4",,"83,3",,"3,2",
CF12042itkfi,2876480,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61367,https://doi.org/10.15454/TFKRVB,CF12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"10,6",,73,,"100,4",,"80,1",,5,
DI13002itkfi,2876484,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,155,,"10,3",,"72,8",,"113,6",,"90,7",,"4,2",
DI13002itkt,2876485,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61791,https://doi.org/10.15454/GW5VMO,DI13002,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,156,,"11,3",,"76,2",,"110,3",,"113,7",,,
Attlassitkt,2876515,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"11,7",,"77,7",,"108,2",,"111,5",,,
RE12020itkt,2876479,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,treated,2013,92,,156,,"13,4",,"74,7",,89,,"91,7",,,
CF12062itkfi,2876482,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"10,4",,"68,3",,101,,"80,6",,"6,8",
CF12062itkt,2876483,BTH_Le_Moulon_2013_SetB1,BTH_Le_Moulon_2013_SetB1,61428,https://doi.org/10.15454/F7YNUM,CF12062,VIRTUAL_TRIAL,,,,,,,,treated,2013,83,,156,,"11,2",,"72,7",,"99,4",,"102,4",,,
