observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volL(CO_321:1000245),volL(CO_321:1000245).date
AO14017itkfi,2976761,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.9,,72,,100,,72.4,,89.63,,262.03,,74,,1.02,,185,,54,,441,,44.8,,9.2,,75.1,,1385,
AO14020itkfi,2976777,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.6,,70,,100,,75.1,,83,,258.1,,84,,1.2,,217,,43,,368,,39,,9.7,,71.6,,1575,
EM13147itkfi,2976779,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,14.8,,45,,94,,8.13,,52.75,,154.88,,106,,2.37,,202,,68,,369,,52.6,,8.6,,72.3,,735,
CF13158itkfi,2976781,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.3,,120,,100,,69.1,,97,,266.1,,43,,0.36,,129,,54,,361,,48,,8.5,,74.7,,1420,
RE13116itkfi,2976751,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.7,,105,,100,,69.7,,87,,256.7,,56,,0.53,,182,,34,,277,,56,,8.7,,73.3,,1390,
EM12040itkfi,2976768,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.6,,104,,100,,61.35,,91.13,,252.48,,63,,0.61,,208,,68,,426,,52.6,,10.1,,77.2,,1570,
AO14041itkfi,2976770,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,25.5,,132,,100,,70.6,,95.5,,266.1,,36,,0.27,,124,,57,,363,,50.2,,9.8,,71.5,,1575,
CF13080itkfi,2976766,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.7,,105,,94,,17.9,,36.01,,147.91,,25,,0.24,,58,,7,,345,,47.2,,9.8,,71.9,,1230,
RE13003itkfi,2976784,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.8,,96,,100,,55.8,,91.13,,246.93,,62,,0.65,,190,,68,,206,,44,,9.5,,76.8,,1465,
AO14008itkfi,2976778,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,16.1,,52,,100,,50.03,,77.75,,227.78,,92,,1.75,,191,,70,,348,,48.4,,9,,77.8,,1230,
AO14028itkfi,2976783,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.8,,71,,100,,55.2,,89.63,,244.83,,70,,0.98,,176,,58,,342,,45.4,,9.5,,73,,1445,
RE13014itkfi,2976763,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.8,,96,,100,,72.7,,89.63,,262.33,,58,,0.6,,178,,61,,264,,46.2,,8.8,,75.4,,1440,
RE13084itkfi,2976774,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.5,,69,,100,,33.35,,80.75,,214.1,,83,,1.2,,219,,50,,393,,50.4,,8.8,,75.4,,1370,
RE13086itkfi,2976769,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,17.7,,63,,100,,50.93,,80.75,,231.68,,94,,1.49,,235,,50,,379,,51.1,,9.2,,76.5,,1410,
RE13106itkfi,2976775,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,49524,https://doi.org/10.15454/FSEIOR,RE13106,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.1,,90,,100,,62.5,,82.5,,245,,65,,0.72,,172,,42,,319,,48.4,,8.6,,71.7,,1350,
RE13005itkfi,2976771,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,48484,https://doi.org/10.15454/L7ZWCU,RE13005,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,17.5,,62,,100,,54,,88.5,,242.5,,81,,1.29,,182,,68,,276,,50.6,,8.8,,75.9,,1400,
RE13004itkfi,2976782,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,49568,https://doi.org/10.15454/LO7ZR2,RE13004,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,20.7,,87,,100,,58.2,,91.13,,249.33,,55,,0.64,,148,,59,,236,,48.6,,8.8,,75.5,,1545,
APACHEitkfi,2976762,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,25.5,,132,,100,,52.8,,89.63,,242.43,,54,,0.41,,203,,40,,363,,38.7,,10.2,,72.9,,1515,
Bermudeitkfi,2976755,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,75270,https://doi.org/10.15454/AIOH4U,Bermude,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.2,,91,,100,,49.65,,79.25,,228.9,,73,,0.8,,217,,58,,347,,39.1,,9.5,,74.7,,1485,
AO14035itkfi,2976765,BTH_Lusignan_2014_TECH,BTH_Lusignan_2014_TECH,60801,https://doi.org/10.15454/XJIDYV,AO14035,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.1,,99,,100,,65.5,,88.13,,253.63,,52,,0.52,,153,,52,,385,,43.8,,7.9,,75,,1405,
