observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Sankaraitkt,2820263,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,,,"132,5",,"12,84",,"68,5",,"97,9",,,,"87,8",,,,1,
Sankaraitknt,2820262,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,1,,132,,,,"59,8",,"86,6",,"7,5",,"42,9",,2,,"3,5",
RE05074itknt,2820280,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,"2,5",,124,,,,67,,"152,5",,1,,"75,5",,"1,5",,7,
Koreliitkt,2820247,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,,,"132,5",,"11,73",,"75,4",,"113,4",,,,"101,6",,,,1,
Koreliitknt,2820246,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,"1,5",,131,,,,"68,1",,117,,"2,5",,"57,9",,"4,5",,"3,5",
CF04214itknt,2820296,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,80,,"1,5",,133,,,,"58,2",,"63,9",,"8,5",,"31,6",,"3,5",,"1,5",
Soissonsitkt,2820295,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,,,121,,"11,34",,"67,4",,"100,2",,,,"89,8",,,,"2,5",
Barokitkt,2820231,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,,,"130,5",,"12,3",,"71,2",,"105,6",,,,"94,7",,,,1,
Toisondoritknt,2820236,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"72,5",,"1,5",,"127,5",,,,"63,4",,"95,3",,5,,"47,2",,6,,1,
Soissonsitknt,2820294,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,80,,1,,120,,,,58,,"90,2",,9,,"44,6",,1,,3,
Barokitknt,2820230,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,1,,"127,5",,,,"64,1",,"120,4",,"3,5",,"59,6",,2,,"3,5",
Toisondoritkt,2820237,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,traité,2007,70,,,,129,,"11,12",,"68,4",,"106,9",,,,"95,8",,,,1,
Mendelitkt,2820259,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,,,"124,5",,"12,18",,"69,2",,"100,9",,,,"90,4",,,,1,
EM03332itknt,2820292,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,"1,5",,"133,5",,,,"60,6",,"103,5",,"6,5",,"51,2",,2,,"2,5",
EM03193itkt,2820255,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,,,132,,"11,08",,"70,4",,"103,6",,,,"92,9",,,,1,
CF04214itkt,2820297,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,,,"132,5",,"11,2",,"67,9",,101,,,,"90,5",,,,1,
Flamenkoitknt,2820272,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,80,,"3,5",,122,,,,"61,8",,"128,2",,6,,"63,4",,1,,2,
Flamenkoitkt,2820273,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,,,"123,5",,"11,38",,"68,2",,103,,,,"92,4",,,,1,
EM03332itkt,2820293,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,,,"134,5",,"12,71",,70,,"93,9",,,,"84,2",,,,1,
DI05014itkt,2820245,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,,,134,,"11,9",,"71,4",,"105,7",,,,"94,8",,,,1,
EM04181itkt,2820277,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,traité,2007,80,,,,129,,"11,73",,69,,"97,2",,,,"87,1",,,,1,
Mendelitknt,2820258,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,1,,124,,,,"56,4",,"94,8",,"4,5",,"46,9",,"4,5",,"1,5",
DI05014itknt,2820244,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,"1,5",,"133,5",,,,"61,2",,"122,8",,4,,"60,8",,1,,2,
AO05001itkt,2820243,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,,,119,,"11,8",,"71,8",,"114,2",,,,"102,4",,,,"5,5",
EM03193itknt,2820254,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,1,,"130,5",,,,"63,1",,"96,9",,4,,48,,"3,5",,"1,5",
CF03201itkt,2820267,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,,,"130,5",,"12,19",,"73,3",,"105,2",,,,"94,3",,,,"3,5",
AO05004itkt,2820241,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,traité,2007,"92,5",,,,129,,"12,3",,"70,8",,104,,,,"93,3",,,,1,
CF03201itknt,2820266,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"92,5",,1,,"128,5",,,,"68,8",,"148,9",,"4,5",,"73,7",,"3,5",,5,
EM04241itkt,2820283,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,,,131,,"12,06",,"71,7",,"110,4",,,,99,,,,"1,5",
AO05004itknt,2820240,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,"4,5",,"128,5",,,,"60,8",,"95,3",,1,,"47,2",,"6,5",,"2,5",
EM04181itknt,2820276,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,1,,"130,5",,,,"58,3",,"97,2",,6,,"48,1",,"4,5",,"1,5",
RE05108itkt,2820285,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,traité,2007,85,,,,"129,5",,"12,45",,"71,6",,"98,8",,,,"88,6",,,,"2,5",
AO06313itkt,2820239,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,,,"122,5",,"11,23",,"73,4",,"108,6",,,,"97,4",,,,"1,5",
AO06313itknt,2820238,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"72,5",,"1,5",,122,,,,"59,6",,"93,9",,"8,5",,"46,5",,"2,5",,"1,5",
AO05001itknt,2820242,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,"1,5",,120,,,,"59,8",,"122,8",,"7,5",,"60,8",,"2,5",,"2,5",
DI04017itknt,2820260,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,1,,131,,,,"59,4",,"94,7",,"7,5",,"46,9",,1,,4,
RE05108itknt,2820284,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,1,,129,,,,"68,2",,"142,6",,4,,"70,6",,1,,7,
CF04043itknt,2820268,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,95,,1,,"126,5",,,,"61,6",,"120,3",,3,,"59,6",,3,,"7,5",
Croustyitknt,2820274,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,90,,5,,"125,5",,,,"64,3",,"86,7",,5,,"42,9",,"6,5",,"2,5",
CF04043itkt,2820269,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,traité,2007,95,,,,"128,5",,"11,74",,"69,7",,"104,9",,,,94,,,,"3,5",
Croustyitkt,2820275,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,traité,2007,90,,,,126,,"12,4",,"72,2",,"102,8",,,,"92,2",,,,1,
EM04241itknt,2820282,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,1,,"129,5",,,,"65,1",,"121,5",,"4,5",,"60,2",,1,,"3,5",
CF04076itknt,2820234,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,85,,1,,131,,,,NA,,"67,3",,"6,5",,"33,3",,"4,5",,"1,5",
RE03111itkt,2820287,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,,,"129,5",,"11,88",,"63,6",,"94,8",,,,85,,,,1,
RE03111itknt,2820286,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,75,,1,,129,,,,NA,,"85,5",,8,,"42,3",,1,,1,
Hendrixitknt,2820232,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"87,5",,1,,"130,5",,,,"71,2",,"135,3",,2,,67,,1,,4,
Hendrixitkt,2820233,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,,,132,,"12,21",,"73,8",,"93,4",,,,"83,7",,,,"1,5",
Caphornitkt,2820265,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,traité,2007,"72,5",,,,"124,5",,"12,67",,"68,6",,"95,1",,,,"85,2",,,,1,
Caphornitknt,2820264,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"72,5",,1,,124,,,,"61,2",,"119,7",,"5,5",,"59,2",,1,,2,
DI04018itknt,2820248,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,1,,"130,5",,,,"58,8",,"86,9",,"4,5",,43,,4,,"8,5",
DI04017itkt,2820261,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,,,131,,"11,68",,"69,4",,"104,9",,,,94,,,,1,
EM04145itkt,2820251,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,traité,2007,"77,5",,,,131,,"11,96",,"71,2",,"106,7",,,,"95,7",,,,1,
EM04145itknt,2820250,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"77,5",,1,,"128,5",,,,"58,6",,"93,1",,6,,"46,1",,"4,5",,1,
RE05091itkt,2820253,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,traité,2007,"82,5",,,,"126,5",,"12,12",,69,,"103,6",,,,"92,9",,,,1,
RE05091itknt,2820252,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,"82,5",,2,,126,,,,"60,8",,"108,3",,7,,"53,6",,1,,"2,5",
Apacheitknt,2820256,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,non traité au fongicides,2007,75,,2,,123,,,,"62,1",,"98,9",,8,,49,,1,,2,
DI04018itkt,2820249,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,,,131,,"13,02",,"66,4",,98,,,,"87,9",,,,1,
CF04076itkt,2820235,BTH_Orgeval_2007_SetA1,BTH_Orgeval_2007_SetA1,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,traité,2007,"87,5",,,,131,,"12,4",,"70,1",,"100,6",,,,"90,2",,,,1,
