observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
AO13010itkfi,2875765,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,"52,8",,151,,"11,8",,"80,9",,"101,6",,1,,"74,8",,1,,,
CF11051itkt,2875698,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,"56,3",,152,,"10,2",,"80,4",,"89,1",,,,"80,3",,,,,
Barokitknt,2875754,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,92,,,,149,,,,"78,8",,"105,3",,"1,5",,"89,1",,1,,2,
CF11051itkfi,2875696,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,"52,5",,151,,"11,3",,"80,6",,"105,4",,1,,"77,6",,1,,,
EM11579itkt,2875800,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"53,5",,150,,"9,8",,"78,2",,"97,1",,,,"87,5",,,,,
Barokitkfi,2875753,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,"50,8",,150,,"10,6",,"79,1",,"106,8",,1,,"78,6",,1,,,
EM11579itknt,2875799,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,85,,,,148,,,,"74,9",,"99,9",,2,,"84,5",,1,,2,
RE11035itknt,2875727,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,90,,,,150,,,,"80,2",,"97,4",,1,,"82,4",,1,,3,
RE11035itkfi,2875726,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,"49,7",,152,,"11,4",,"79,8",,"91,6",,1,,"67,5",,1,,,
CF11177itkt,2875797,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,56,,154,,"11,3",,"74,7",,"93,8",,,,"84,6",,,,,
RE11035itkt,2875728,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2013,85,,"53,6",,152,,"10,7",,"80,6",,"92,3",,,,"83,3",,,,,
CF11177itkfi,2875795,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,"48,5",,152,,"10,8",,"76,2",,"98,4",,1,,"72,5",,1,,,
EM11604itkfi,2875750,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,"49,5",,148,,"11,3",,79,,"94,4",,1,,"69,5",,1,,,
AO13010itknt,2875766,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,,,148,,,,"80,2",,"102,5",,"1,5",,"86,7",,1,,2,
EM11604itkt,2875752,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,"50,4",,148,,"9,9",,"78,2",,"91,5",,,,"82,5",,,,,
Bermudeitknt,2875706,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,95,,,,150,,,,"79,5",,"101,4",,1,,"85,8",,1,,7,
CF11177itknt,2875796,BTH_Rennes_2013_SetA2,BTH_Rennes_2013_SetA2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,88,,,,150,,,,"75,3",,"92,6",,1,,"78,3",,1,,9,
