observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Gallixeitknt,2873268,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,78,,,,,,,,"72,9",,"105,8",,1,,84,,6,,1,
CF10185itknt,2873282,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,92,,,,,,,,"76,5",,"102,4",,1,,"81,3",,5,,1,
EM09222itkt,2873261,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"48,5",,154,,"10,8",,"74,9",,"105,6",,,,"94,1",,,,1,
Gallixeitkt,2873269,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,70,,"47,6",,154,,"9,9",,"65,2",,"98,3",,,,"87,5",,,,1,
Granamaxitknt,2873240,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,88,,,,,,,,"74,8",,"114,6",,1,,"91,1",,4,,1,
CF10185itkt,2873283,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"51,5",,158,,"10,4",,"75,8",,"98,4",,,,"87,6",,,,1,
AO13007itknt,2873214,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,80,,,,,,,,"76,7",,"108,7",,1,,"86,4",,"4,5",,1,
AO13009itkt,2873221,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,51,,156,,11,,"71,1",,"100,8",,,,"89,7",,,,1,
Altigoitkt,2873247,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"60,3",,152,,"10,5",,"75,2",,"98,9",,,,"88,1",,,,1,
AO13007itkt,2873215,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,"52,5",,156,,"10,7",,72,,"103,1",,,,"91,8",,,,1,
Altigoitknt,2873246,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,88,,,,,,,,"76,8",,"99,4",,1,,79,,8,,1,
Granamaxitkt,2873241,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"52,2",,154,,"10,1",,"71,5",,"108,5",,,,"96,6",,,,1,
AO11011itkt,2873245,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,"52,6",,158,,"10,6",,"76,5",,99,,,,"88,2",,,,1,
Croustyitknt,2873252,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,100,,,,,,,,"77,1",,"90,8",,1,,"72,1",,7,,1,
AO13001itkt,2873211,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,"55,2",,156,,"10,8",,"73,4",,"93,7",,,,"83,5",,,,1,
Bermudeitkt,2873219,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"53,9",,158,,"10,4",,"71,3",,"102,3",,,,"91,1",,,,1,
AO11011itknt,2873244,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,82,,,,,,,,"76,8",,"106,7",,1,,"84,8",,3,,1,
AO13001itknt,2873210,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,85,,,,,,,,"76,4",,"98,6",,1,,"78,4",,"5,5",,1,
CF10064itkt,2873217,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,90,,"51,8",,157,,"11,5",,"69,1",,102,,,,"90,8",,,,1,
EM09320itkt,2873207,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,"47,8",,154,,"9,7",,"69,4",,"101,8",,,,"90,7",,,,1,
EM09320itknt,2873206,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,80,,,,,,,,"72,8",,"105,5",,1,,"83,8",,"5,5",,1,
CF10064itknt,2873216,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,95,,,,,,,,"76,8",,"106,9",,"1,5",,"84,9",,3,,1,
Croustyitkt,2873253,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,95,,"50,2",,158,,"10,1",,"78,5",,"95,8",,,,"85,3",,,,1,
Gotikitkt,2873257,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,90,,"53,4",,158,,"10,6",,"67,4",,"110,2",,,,"98,2",,,,1,
CF09169itknt,2873230,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,90,,,,,,,,"78,7",,106,,2,,"84,2",,3,,1,
AO12006itknt,2873234,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,88,,,,,,,,"76,3",,"110,8",,1,,88,,4,,1,
Gotikitknt,2873256,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,100,,,,,,,,"76,6",,"120,2",,"1,5",,"95,5",,"2,5",,1,
AO12006itkt,2873235,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,44,,156,,"11,1",,"66,2",,"107,7",,,,"95,9",,,,1,
AO12033itknt,2873254,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,88,,,,,,,,"78,5",,"103,4",,1,,"82,2",,"7,5",,1,
Galibieritkt,2873227,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,95,,"49,5",,150,,"10,8",,"65,3",,77,,,,"68,6",,,,"3,5",
AO12016itknt,2873266,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,90,,,,,,,,"74,4",,"93,7",,"1,5",,"74,4",,4,,"1,5",
AO12016itkt,2873267,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"44,6",,157,,"9,8",,"74,6",,"101,9",,,,"90,7",,,,1,
AO12035itknt,2873248,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,88,,,,,,,,"79,1",,"104,7",,1,,"83,2",,"7,5",,1,
Galibieritknt,2873226,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,98,,,,,,,,"74,1",,"76,5",,1,,"60,8",,"8,5",,"3,5",
AO12011itknt,2873264,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,98,,,,,,,,"73,7",,"106,8",,3,,"84,9",,2,,2,
EM09222itknt,2873260,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,90,,,,,,,,"76,8",,"109,6",,1,,"87,1",,4,,1,
AO12011itkt,2873265,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,92,,"50,9",,158,,"10,6",,"65,9",,105,,,,"93,5",,,,1,
CF09117itkt,2873271,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,"50,8",,154,,"12,7",,"74,5",,"96,8",,,,"86,2",,,,1,
AO12035itkt,2873249,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"52,6",,156,,"10,2",,"71,3",,"108,9",,,,"96,9",,,,1,
CF09169itkt,2873231,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"46,3",,154,,"11,1",,"73,5",,"95,9",,,,"85,4",,,,1,
CF09117itknt,2873270,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,88,,,,,,,,"77,2",,"103,1",,1,,"81,9",,4,,1,
AO12033itkt,2873255,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,"49,7",,156,,"11,1",,"67,4",,"102,8",,,,"91,5",,,,1,
AO12013itkt,2873263,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,"54,5",,158,,"10,8",,"67,7",,"98,8",,,,88,,,,1,
EM08231itkt,2873259,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,72,,"45,3",,156,,"10,6",,"62,8",,"97,7",,,,87,,,,1,
Pakitoitkt,2873233,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,"51,7",,156,,10,,"72,2",,"101,6",,,,"90,5",,,,1,
AO12013itknt,2873262,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,98,,,,,,,,76,,"94,5",,1,,"75,1",,8,,1,
DI11014itkt,2873277,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"49,8",,157,,"10,6",,"71,8",,"108,6",,,,"96,7",,,,1,
EM08231itknt,2873258,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"3,5",,80,,,,,,,,"69,6",,"100,6",,1,,"79,9",,"2,5",,1,
Bermudeitknt,2873218,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,88,,,,,,,,"74,7",,"103,3",,1,,"82,1",,7,,1,
Folkloritkt,2873209,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,"51,7",,156,,"10,4",,"67,3",,"110,2",,,,"98,2",,,,1,
Folkloritknt,2873208,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,95,,,,,,,,"73,3",,"116,9",,1,,"92,9",,3,,1,
DI11012itkt,2873275,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,"50,8",,158,,"10,1",,"78,3",,"113,9",,,,"101,5",,,,1,
Pakitoitknt,2873232,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,82,,,,,,,,"76,2",,"103,6",,1,,"82,3",,8,,1,
AO12014itkt,2873223,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,51,,156,,"9,5",,"74,3",,"112,5",,,,"100,2",,,,1,
RE10039itknt,2873224,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,90,,,,,,,,"71,4",,"107,3",,1,,"85,2",,3,,1,
DI11012itknt,2873274,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,90,,,,,,,,"75,2",,"113,6",,1,,"90,3",,"4,5",,1,
AO11013itknt,2873204,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,88,,,,,,,,"73,8",,"109,6",,1,,"87,1",,4,,1,
RE10039itkt,2873225,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"48,5",,156,,"10,7",,63,,"98,1",,,,"87,3",,,,1,
DI11013itknt,2873272,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,90,,,,,,,,79,,"100,3",,1,,"79,7",,5,,1,
DI11002itknt,2873242,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,92,,,,,,,,"71,8",,"109,9",,1,,"87,3",,"3,5",,1,
DI11013itkt,2873273,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,"49,5",,158,,"9,6",,"71,8",,"111,2",,,,99,,,,1,
DI11002itkt,2873243,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"52,6",,158,,"10,4",,"69,1",,"107,7",,,,"95,9",,,,1,
Apacheitknt,2873236,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,82,,,,,,,,"73,8",,"93,6",,1,,"74,4",,"8,5",,1,
AO11013itkt,2873205,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,"57,3",,154,,"10,4",,"61,5",,"105,2",,,,"93,6",,,,1,
Apacheitkt,2873237,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,47,,154,,"9,5",,"70,8",,"97,2",,,,"86,5",,,,1,
AO12014itknt,2873222,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,90,,,,,,,,"76,3",,"109,7",,4,,"87,2",,"2,5",,"2,5",
RE10042itkt,2873251,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,"49,4",,158,,"10,8",,67,,"99,7",,,,"88,8",,,,1,
RE10042itknt,2873250,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,90,,,,,,,,"76,1",,"104,7",,"2,5",,"83,2",,2,,1,
DI11014itknt,2873276,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,85,,,,,,,,"74,2",,"106,5",,1,,"84,6",,"3,5",,1,
Lyrikitkt,2873281,BTH_Orgeval_2013_SetA1,BTH_Orgeval_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,"50,8",,156,,"10,3",,"66,1",,"113,1",,,,"100,8",,,,1,
