observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,volS(CO_321:1000250),volS(CO_321:1000250).date
RE11094itkt,2871123,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11095itkt,2871122,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11096itkt,2871121,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11098itkt,2871120,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Premioitkt,2871110,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2012,"17,4",,61,,100,,56,,90,,246,,76,,"1,25",,182,,408,,"11,8",,1552,
Apacheitkt,2871135,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2012,"26,1",,138,,97,,59,,90,,245,,63,,"0,46",,237,,350,,"12,3",,1633,
Lyrikitkt,2871163,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2012,"21,5",,94,,94,,64,,99,,257,,77,,"0,83",,243,,349,,"10,6",,1661,
Grapeliitkt,2871127,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2012,"20,9",,89,,94,,8,,59,,161,,49,,"0,56",,134,,322,,11,,1239,
CF08027itkt,2871162,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2012,"22,5",,103,,85,,16,,68,,169,,62,,"0,61",,191,,335,,"11,6",,1420,
Granamaxitkt,2871137,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2012,"21,8",,96,,91,,32,,57,,180,,79,,"0,82",,237,,315,,"10,9",,1454,
AO11011itkt,2871113,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Gotikitkt,2871146,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2012,"23,5",,112,,88,,32,,90,,211,,69,,"0,62",,222,,354,,"11,4",,1410,
AO12011itkt,2871153,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO12013itkt,2871151,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11029itkt,2871134,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11051itkt,2871114,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11177itkt,2871160,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11215itkt,2871107,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF11291itkt,2871152,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11012itkt,2871158,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11013itkt,2871157,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI12005itkt,2871164,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11389itkt,2871108,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11441itkt,2871133,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11579itkt,2871161,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11604itkt,2871144,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE10042itkt,2871141,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11058itkt,2871142,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11073itkt,2871119,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11075itkt,2871116,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11087itkt,2871143,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11113itkt,2871145,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE11116itkt,2871147,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO11013itkt,2871112,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09320itkt,2871139,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11002itkt,2871138,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO12021itkt,2871117,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11366itkt,2871148,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM11400itkt,2871140,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF09169itkt,2871131,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI11014itkt,2871159,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI12004itkt,2871109,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09222itkt,2871150,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO12014itkt,2871155,BTH_Orgeval_2012_TECH,BTH_Orgeval_2012_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,2012,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
