observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
2,2830699,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,4",,"63,74",,"5,2",,1,
2,2830779,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,63",,"61,99",,4,,5,
1,2830778,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,45",,"61,54",,3,,"3,5",
2,2830781,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,11",,"75,61",,,,"6,5",
1,2830780,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27785,https://doi.org/10.15454/BZGBHW,CF06210,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,87",,"73,99",,,,"6,5",
2,2830657,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,97",,"71,33",,,,"5,5",
1,2830656,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,39",,"77,51",,,,1,
2,2830655,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,24",,"52,61",,8,,1,
1,2830654,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27802,https://doi.org/10.15454/5XXKDL,DI07001,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,84",,"51,27",,"5,5",,1,
2,2830723,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,39",,"60,02",,5,,1,
1,2830722,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,14,,"61,71",,3,,1,
2,2830725,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,45",,"69,97",,,,3,
1,2830724,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27803,https://doi.org/10.15454/GVABT5,DI07013,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"14,28",,"75,32",,,,1,
1,2830646,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,91",,"88,83",,2,,1,
2,2830647,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,2",,"86,95",,2,,1,
2,2830649,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,91",,"92,22",,,,7,
1,2830648,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27814,https://doi.org/10.15454/ZBYAJC,EM06017,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,73",,"93,37",,,,4,
1,2830680,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,99",,"75,86",,,,"3,5",
2,2830679,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,74",,"66,9",,"4,8",,1,
2,2830681,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,69",,"75,06",,,,5,
1,2830678,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27815,https://doi.org/10.15454/UZYTX5,EM06089,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,92",,"62,54",,3,,1,
1,2830796,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,36",,"89,62",,,,3,
2,2830797,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"14,17",,"81,27",,,,7,
2,2830795,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,42",,"67,12",,"5,2",,"1,5",
1,2830794,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27819,https://doi.org/10.15454/SA4R8B,EM06233,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,25",,"73,38",,3,,1,
2,2830693,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,96",,"92,25",,,,"4,5",
1,2830690,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,89",,"81,76",,3,,1,
1,2830692,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,69",,"89,59",,,,1,
2,2830691,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27818,https://doi.org/10.15454/VSKKHS,EM06229,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,72",,"81,18",,4,,1,
1,2830784,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"10,93",,"92,42",,,,1,
2,2830785,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,51",,"85,39",,,,2,
2,2830783,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,13",,"72,24",,"4,2",,1,
1,2830782,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27817,https://doi.org/10.15454/KG1VPB,EM06110,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,71",,"69,87",,3,,1,
2,2830753,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,31",,"81,34",,,,"6,5",
1,2830752,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"14,25",,"80,61",,,,3,
2,2830751,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,82",,"80,96",,"3,2",,1,
1,2830750,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,52",,"84,02",,2,,1,
2,2830685,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,03",,"78,03",,,,"3,5",
1,2830684,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,86",,"83,93",,,,"1,5",
2,2830683,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,45",,"64,23",,"3,8",,1,
1,2830682,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27830,https://doi.org/10.15454/V4CPNJ,RE06058,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,57",,"63,56",,"2,5",,1,
1,2830640,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,08",,"70,67",,,,"5,5",
2,2830641,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,91",,"80,08",,,,"8,5",
2,2830639,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,24",,"57,58",,"5,5",,"2,5",
1,2830638,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27832,https://doi.org/10.15454/X0FSJ6,RE06097,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,05",,"54,63",,"3,5",,1,
2,2830653,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,44",,"82,74",,,,"7,5",
2,2830651,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,09",,"63,99",,"6,5",,1,
1,2830652,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,95",,"87,74",,,,"1,5",
1,2830650,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27833,https://doi.org/10.15454/QCSBFW,RE06130,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,78",,"66,57",,"3,5",,1,
2,2830731,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,25",,"60,84",,5,,1,
1,2830732,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,3",,"73,9",,,,"2,5",
2,2830733,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,21",,"82,42",,,,"7,5",
1,2830730,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,61759,https://doi.org/10.15454/SFPRAV,DI07019,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,36",,"56,43",,3,,1,
1,2830704,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,4",,"93,02",,,,"1,5",
2,2830705,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,63",,"83,52",,,,"7,5",
1,2830702,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,53",,"80,68",,3,,"1,5",
2,2830703,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,74",,"78,06",,"5,8",,"1,5",
1,2830776,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,59",,"84,7",,,,"5,5",
2,2830777,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,67",,"69,49",,,,"5,5",
2,2830775,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,69",,"73,59",,3,,1,
1,2830774,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27831,https://doi.org/10.15454/BPSJCE,RE06061,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,68",,"72,41",,"2,5",,1,
1,2830728,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,42",,"75,46",,,,1,
1,2830726,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"13,12",,"59,31",,3,,1,
2,2830729,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,98",,"81,24",,,,1,
2,2830727,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27829,https://doi.org/10.15454/NLT35T,RE06055,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,27",,"63,86",,"3,8",,1,
1,2830736,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,63",,"76,1",,,,"5,5",
1,2830734,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,07",,"68,24",,2,,1,
2,2830737,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,35",,"79,43",,,,6,
2,2830735,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27827,https://doi.org/10.15454/B5PA3I,RE06023,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,78",,"67,12",,3,,"1,5",
2,2830765,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"11,92",,"100,08",,,,"6,5",
1,2830764,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,2",,"79,33",,,,"3,5",
1,2830762,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,04",,"72,63",,3,,1,
2,2830763,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27828,https://doi.org/10.15454/PRTXZC,RE06050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,21",,"74,34",,4,,1,
2,2830741,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,39",,"71,84",,,,7,
2,2830739,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,78",,"70,46",,"3,5",,4,
1,2830740,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"13,74",,"72,79",,,,6,
1,2830738,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27834,https://doi.org/10.15454/YQFE3M,RE06140,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,71",,"67,28",,"2,5",,1,
1,2830706,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,83",,"57,53",,"2,5",,1,
2,2830709,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"13,96",,"69,28",,,,1,
1,2830708,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,92",,82,,,,1,
2,2830707,BTH_Lusignan_2008_SetA2,BTH_Lusignan_2008_SetA2,27804,https://doi.org/10.15454/0DEDAU,DI07016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,23",,"55,92",,4,,1,
