,study_unique_id,study_title,study_description,description_of_the_experimental_design,start_date_of_study,end_date_of_study,contact_institution,geographic_location_country,experimental_site_name,geographic_location_lattitude,geographic_location_longitude,geographic_location_altitude,observatin_unit_description,description_of_growth_facilty
94,BTH_Rennes_2006_SetA2_PIETIN-VERSE,BTH_Rennes_2006_SetA2_PIETIN-VERSE,,,2005-10-20,2006-07-31,NA,,Rennes,48.106,-1.791,,NA,field
95,BTH_Clermont-Ferrand_2014_SetA2,BTH_Clermont-Ferrand_2014_SetA2,,,2013-10-20,2014-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
96,BTH_Estrées-Mons_2012_SetB2,BTH_Estrées-Mons_2012_SetB2,,,2011-10-20,2012-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
97,BTH_Orgeval_2014_SetA1,BTH_Orgeval_2014_SetA1,,,2013-10-20,2014-07-31,NA,,Orgeval,48.838,1.953,,NA,field
98,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,,,2012-10-20,2013-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
99,BTH_Estrées-Mons_2010_TECH,BTH_Estrées-Mons_2010_TECH,,,2009-10-20,2010-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
100,BTH_Estrées-Mons_2014_SetB2,BTH_Estrées-Mons_2014_SetB2,,,2013-10-20,2014-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
101,BTH_Clermont-Ferrand_2008_SetB3,BTH_Clermont-Ferrand_2008_SetB3,,,2007-10-20,2008-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
102,BTH_Rennes_2011_SetA2,BTH_Rennes_2011_SetA2,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
103,BTH_Estrées-Mons_2013_SetB1,BTH_Estrées-Mons_2013_SetB1,,,2012-10-20,2013-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
104,BTH_Rennes_2012_SetB3,BTH_Rennes_2012_SetB3,,,2011-10-20,2012-07-31,NA,,Rennes,48.106,-1.791,,NA,field
105,BTH_Dijon_2008_SetB3,BTH_Dijon_2008_SetB3,,,2007-10-20,2008-07-31,NA,,Dijon,47.277,5.094,,NA,field
106,BTH_Chaux_des_Prés_2007_SetB2,BTH_Chaux_des_Prés_2007_SetB2,,,2006-10-20,2007-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
107,BTH_Le_Moulon_2005_SetB1,BTH_Le_Moulon_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
108,BTH_Orgeval_2007_SetA2,BTH_Orgeval_2007_SetA2,,,2006-10-20,2007-07-31,NA,,Orgeval,48.838,1.953,,NA,field
109,BTH_Rennes_2015_SetB3,BTH_Rennes_2015_SetB3,,,2014-10-20,2015-07-31,NA,,Rennes,48.106,-1.791,,NA,field
110,BTH_Clermont-Ferrand_2014_SetB3,BTH_Clermont-Ferrand_2014_SetB3,,,2013-10-20,2014-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
111,BTH_Estrées-Mons_2010_SetA1,BTH_Estrées-Mons_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
112,BTH_Rennes_2013_SetA1,BTH_Rennes_2013_SetA1,,,2012-10-20,2013-07-31,NA,,Rennes,48.106,-1.791,,NA,field
113,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,,,2004-10-20,2005-07-31,NA,,Dijon,47.277,5.094,,NA,field
114,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
115,BTH_Lusignan_2005_SetB3,BTH_Lusignan_2005_SetB3,,,2004-10-20,2005-07-31,NA,,Lusignan,46.4,0.07,,NA,field
116,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,,,2011-10-20,2012-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
117,BTH_Dijon_2014_SetB1,BTH_Dijon_2014_SetB1,,,2013-10-20,2014-07-31,NA,,Dijon,47.277,5.094,,NA,field
118,BTH_Clermont-Ferrand_2004_SetA2,BTH_Clermont-Ferrand_2004_SetA2,,,2003-10-20,2004-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
119,BTH_Rennes_2009_SetA2,BTH_Rennes_2009_SetA2,,,2008-10-20,2009-07-31,NA,,Rennes,48.106,-1.791,,NA,field
120,BTH_Chaux_des_Prés_2004_SetB3,BTH_Chaux_des_Prés_2004_SetB3,,,2003-10-20,2004-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
121,BTH_Dijon_2002_SetB3,BTH_Dijon_2002_SetB3,,,2001-10-20,2002-07-31,NA,,Dijon,47.277,5.094,,NA,field
122,BTH_Orgeval_2012_SetA1,BTH_Orgeval_2012_SetA1,,,2011-10-20,2012-07-31,NA,,Orgeval,48.838,1.953,,NA,field
123,BTH_Colmar_2000_SetB1,BTH_Colmar_2000_SetB1,,,1999-10-20,2000-07-31,NA,,Colmar,48.064,7.33,,NA,field
124,BTH_Rennes_2010_SetB3_PIETIN-VERSE,BTH_Rennes_2010_SetB3_PIETIN-VERSE,,,2009-10-20,2010-07-31,NA,,Rennes,48.106,-1.791,,NA,field
125,BTH_Clermont-Ferrand_2001_SetB3,BTH_Clermont-Ferrand_2001_SetB3,,,2000-10-20,2001-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
126,BTH_Clermont-Ferrand_2005_SetA1,BTH_Clermont-Ferrand_2005_SetA1,,,2004-10-20,2005-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
127,BTH_Colmar_2005_SetB3,BTH_Colmar_2005_SetB3,,,2004-10-20,2005-07-31,NA,,Colmar,48.064,7.33,,NA,field
128,BTH_Orgeval_2009_SetB1,BTH_Orgeval_2009_SetB1,,,2008-10-20,2009-07-31,NA,,Orgeval,48.838,1.953,,NA,field
129,BTH_Dijon_2014_TECH,BTH_Dijon_2014_TECH,,,2013-10-20,2014-07-31,NA,,Dijon,47.277,5.094,,NA,field
130,BTH_Rennes_2003_SetB3,BTH_Rennes_2003_SetB3,,,2002-10-20,2003-07-31,NA,,Rennes,48.106,-1.791,,NA,field
131,BTH_Dijon_2006_SetB3,BTH_Dijon_2006_SetB3,,,2005-10-20,2006-07-31,NA,,Dijon,47.277,5.094,,NA,field
132,BTH_Le_Moulon_2012_SetB2,BTH_Le_Moulon_2012_SetB2,,,2011-10-20,2012-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
133,BTH_Lusignan_2014_SetB1,BTH_Lusignan_2014_SetB1,,,2013-10-20,2014-07-31,NA,,Lusignan,46.4,0.07,,NA,field
134,BTH_Clermont-Ferrand_2004_SetB2,BTH_Clermont-Ferrand_2004_SetB2,,,2003-10-20,2004-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
135,BTH_Dijon_2015_SetB1,BTH_Dijon_2015_SetB1,,,2014-10-20,2015-07-31,NA,,Dijon,47.277,5.094,,NA,field
136,BTH_Orgeval_2001_SetA2,BTH_Orgeval_2001_SetA2,,,2000-10-20,2001-07-31,NA,,Orgeval,48.838,1.953,,NA,field
137,BTH_Dijon_2004_SetB1,BTH_Dijon_2004_SetB1,,,2003-10-20,2004-07-31,NA,,Dijon,47.277,5.094,,NA,field
138,BTH_Orgeval_2012_SetB2,BTH_Orgeval_2012_SetB2,,,2011-10-20,2012-07-31,NA,,Orgeval,48.838,1.953,,NA,field
139,BTH_Dijon_2010_SetB1,BTH_Dijon_2010_SetB1,,,2009-10-20,2010-07-31,NA,,Dijon,47.277,5.094,,NA,field
140,BTH_Rennes_2008_SetB1,BTH_Rennes_2008_SetB1,,,2007-10-20,2008-07-31,NA,,Rennes,48.106,-1.791,,NA,field
141,BTH_Chaux_des_Prés_2005_SetB1,BTH_Chaux_des_Prés_2005_SetB1,,,2004-10-20,2005-07-31,NA,,Chaux des Prés,46.512,5.865,,NA,field
142,BTH_Rennes_2001_SetB1_PIETIN-VERSE,BTH_Rennes_2001_SetB1_PIETIN-VERSE,,,2000-10-20,2001-07-31,NA,,Rennes,48.106,-1.791,,NA,field
143,BTH_Lusignan_2011_SetB1,BTH_Lusignan_2011_SetB1,,,2010-10-20,2011-07-31,NA,,Lusignan,46.4,0.07,,NA,field
144,BTH_Dijon_2011_SetB2,BTH_Dijon_2011_SetB2,,,2010-10-20,2011-07-31,NA,,Dijon,47.277,5.094,,NA,field
145,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,,,2012-10-20,2013-07-31,NA,France,Epi-centre,47.029,2.331,,NA,field
146,BTH_Dijon_2010_SetB3,BTH_Dijon_2010_SetB3,,,2009-10-20,2010-07-31,NA,,Dijon,47.277,5.094,,NA,field
147,BTH_Rennes_2004_SetA2_PIETIN-VERSE,BTH_Rennes_2004_SetA2_PIETIN-VERSE,,,2003-10-20,2004-07-31,NA,,Rennes,48.106,-1.791,,NA,field
148,BTH_Dijon_2012_SetB1,BTH_Dijon_2012_SetB1,,,2011-10-20,2012-07-31,NA,,Dijon,47.277,5.094,,NA,field
149,BTH_Clermont-Ferrand_2002_SetB3,BTH_Clermont-Ferrand_2002_SetB3,,,2001-10-20,2002-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
150,BTH_Rennes_2015_SetA1,BTH_Rennes_2015_SetA1,,,2014-10-20,2015-07-31,NA,,Rennes,48.106,-1.791,,NA,field
151,BTH_Orgeval_2010_SetA1,BTH_Orgeval_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Orgeval,48.838,1.953,,NA,field
152,BTH_Estrées-Mons_2013_SetA2,BTH_Estrées-Mons_2013_SetA2,,,2012-10-20,2013-07-31,NA,,Estrées-Mons,49.87857,3.007548,85.0,NA,field
153,BTH_Rennes_2014_SetB3,BTH_Rennes_2014_SetB3,,,2013-10-20,2014-07-31,NA,,Rennes,48.106,-1.791,,NA,field
154,BTH_Lusignan_2015_SetA1,BTH_Lusignan_2015_SetA1,,,2014-10-20,2015-07-31,NA,,Lusignan,46.4,0.07,,NA,field
155,BTH_Rennes_2011_TECH,BTH_Rennes_2011_TECH,,,2010-10-20,2011-07-31,NA,,Rennes,48.106,-1.791,,NA,field
156,BTH_Dijon_2006_SetA1,BTH_Dijon_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Dijon,47.277,5.094,,NA,field
157,BTH_Clermont-Ferrand_2013_SetA1,BTH_Clermont-Ferrand_2013_SetA1,,,2012-10-20,2013-07-31,NA,,Clermont-Ferrand,45.773,3.144,,NA,field
158,BTH_Rennes_2010_SetA1,BTH_Rennes_2010_SetA1,,,2009-10-20,2010-07-31,NA,,Rennes,48.106,-1.791,,NA,field
159,BTH_Rennes_2000_SetA,BTH_Rennes_2000_SetA,,,1999-10-20,2000-07-31,NA,,Rennes,48.106,-1.791,,NA,field
160,BTH_Rennes_2001_SetB2,BTH_Rennes_2001_SetB2,,,2000-10-20,2001-07-31,NA,,Rennes,48.106,-1.791,,NA,field
161,BTH_Orgeval_2007_SetB3,BTH_Orgeval_2007_SetB3,,,2006-10-20,2007-07-31,NA,,Orgeval,48.838,1.953,,NA,field
162,BTH_Le_Moulon_2006_SetA1,BTH_Le_Moulon_2006_SetA1,,,2005-10-20,2006-07-31,NA,,Le Moulon,48.711,2.16,,NA,field
163,BTH_Dijon_2007_SetB2,BTH_Dijon_2007_SetB2,,,2006-10-20,2007-07-31,NA,,Dijon,47.277,5.094,,NA,field
