observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2821727,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,83",,77,,,,"80,32",
1,2821724,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,96",,"66,2",,"6,2",,"35,13",
1,2821726,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,62",,"76,7",,,,"78,75",
2,2821725,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,25",,"66,4",,"7,2",,"35,84",
2,2821797,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,08",,"66,3",,"5,5",,"40,97",
2,2821799,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,94",,"74,1",,,,"71,39",
1,2821796,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"14,32",,"65,2",,"2,5",,"43,88",
1,2821798,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,54",,"74,8",,,,"74,24",
2,2821693,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,2",,"69,1",,1,,"50,45",
1,2821692,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,67",,"67,9",,1,,"53,31",
2,2821695,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,35",,"70,8",,,,"69,89",
1,2821694,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,57",,"71,4",,,,72,
1,2821782,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,14",,"75,1",,,,"78,55",
2,2821783,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,62",,"75,9",,,,"80,22",
2,2821781,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,25",,"70,3",,3,,"59,03",
1,2821780,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26902,https://doi.org/10.15454/JZRTIK,RE05038,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,37",,"70,2",,"1,8",,"59,41",
1,2821734,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,88",,"75,1",,,,"78,15",
2,2821735,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,41",,"75,6",,,,"80,43",
2,2821733,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,05",,"70,9",,"5,2",,"54,49",
1,2821732,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26901,https://doi.org/10.15454/WC63BJ,RE05037,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,31",,"70,3",,"4,5",,"56,86",
2,2821789,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,91",,"70,2",,3,,"55,21",
1,2821788,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,71",,"68,2",,1,,"48,99",
2,2821791,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,01",,"75,5",,,,"76,13",
1,2821790,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26899,https://doi.org/10.15454/3NYQAY,RE05011,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,1",,"75,8",,,,"76,35",
2,2821815,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,35",,77,,,,"79,02",
2,2821813,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,45",,"72,3",,"3,5",,"57,18",
1,2821814,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,02",,"77,1",,,,"77,1",
1,2821812,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26900,https://doi.org/10.15454/YMFJQC,RE05016,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,82",,"70,4",,"1,5",,"53,3",
2,2821775,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,96",,"75,3",,,,"75,87",
2,2821773,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,55",,"66,3",,"5,8",,"49,86",
1,2821772,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,73",,"66,2",,"3,2",,"44,37",
1,2821774,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26904,https://doi.org/10.15454/8AMC4Z,RE05050,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,36",,"75,1",,,,"70,49",
1,2821720,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,18",,"73,9",,"2,2",,"57,27",
2,2821723,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,3",,"77,1",,,,"78,42",
1,2821722,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,05",,"77,4",,,,"75,02",
2,2821721,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26903,https://doi.org/10.15454/QRI3MM,RE05047,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,36",,"75,3",,"3,2",,"59,08",
2,2821795,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,48",,"74,8",,,,"70,99",
1,2821794,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,93",,"75,7",,,,"73,36",
2,2821793,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,87",,"68,4",,"4,8",,"44,68",
1,2821792,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26983,https://doi.org/10.15454/Z7JXFB,CF04046,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,16",,"64,4",,"2,5",,"38,02",
2,2821759,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,26",,"74,1",,,,"73,98",
1,2821756,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,14",,"64,8",,3,,"42,45",
2,2821757,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,7",,"67,3",,6,,"45,19",
1,2821758,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26120,https://doi.org/10.15454/TNI3IW,MENDEL,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,14",,"74,7",,,,"77,65",
1,2821750,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,42",,"72,9",,,,"78,82",
2,2821751,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,76",,73,,,,"74,62",
2,2821749,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27825,https://doi.org/10.15454/FYAJT8,RE05039,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,3",,"68,1",,"3,5",,"57,94",
2,2821821,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,17",,"73,7",,"1,5",,"64,43",
2,2821823,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,77",,76,,,,"78,85",
1,2821742,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,23",,"79,3",,,,"76,53",
1,2821740,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,52",,"74,1",,"2,2",,"53,24",
2,2821743,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,97",,80,,,,"83,35",
2,2821741,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,87",,"75,9",,4,,"53,54",
2,2821787,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,23",,"74,7",,,,"77,76",
2,2821785,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,83",,"69,6",,"4,8",,"52,59",
1,2821784,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,99",,"68,2",,3,,"45,72",
1,2821786,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26970,https://doi.org/10.15454/ASLJXK,EM05055,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,85",,"75,6",,,,"80,81",
1,2821806,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,37",,"76,1",,,,"75,47",
2,2821805,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,27",,"68,7",,"5,5",,"48,19",
2,2821807,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,16",,"76,6",,,,"76,35",
1,2821804,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,92",,"69,2",,"3,5",,"46,64",
1,2821800,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,49",,"73,6",,1,,"53,01",
2,2821803,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,87",,"79,3",,,,"77,64",
1,2821802,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,76",,"79,2",,,,"82,96",
2,2821801,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"13,24",,"75,6",,"3,5",,"55,37",
2,2821777,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,83",,"65,6",,"6,5",,"44,02",
1,2821776,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,24",,"65,1",,"4,8",,"44,32",
2,2821779,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"12,06",,74,,,,"67,47",
1,2821778,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26973,https://doi.org/10.15454/GWNEQR,CF05091,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"12,59",,"73,8",,,,"73,33",
2,2821697,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,38",,"68,5",,1,,"61,31",
1,2821696,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"13,26",,"67,9",,1,,"56,31",
1,2821698,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,6",,"71,1",,,,"75,93",
2,2821699,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26981,https://doi.org/10.15454/SU2MGF,RE05007,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,33",,"69,9",,,,"70,88",
2,2821737,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,32",,"69,3",,"6,2",,"51,75",
1,2821736,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,53",,"68,1",,"4,8",,"51,9",
1,2821738,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,46",,"76,9",,,,"82,75",
2,2821739,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,98",,"76,3",,,,"84,41",
1,2821716,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,25",,"68,6",,3,,"40,85",
2,2821719,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"10,96",,"76,1",,,,"76,16",
1,2821718,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,02",,76,,,,"70,66",
2,2821717,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,65",,"69,4",,"4,8",,"43,28",
1,2821702,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"10,52",,"78,5",,,,"89,63",
2,2821703,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,02",,"78,7",,,,"94,23",
2,2821701,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"12,09",,"72,7",,"8,5",,"53,81",
1,2821700,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,26971,https://doi.org/10.15454/IAEYHC,EM05162,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"12,67",,"72,5",,"6,5",,"49,63",
2,2821709,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"11,37",,"71,3",,"3,2",,"63,09",
1,2821708,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"11,4",,"70,1",,"1,5",,"63,68",
2,2821711,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"11,12",,"75,6",,,,"90,66",
1,2821710,BTH_Lusignan_2007_SetA2,BTH_Lusignan_2007_SetA2,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"11,25",,"75,8",,,,"83,93",
