observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Folkloritknt,2862418,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,2,,,,1,,,
Folkloritkfi,2862417,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,140,,"8,9",,"79,5",,"104,7",,,,"94,6",,,,,
Gallixeitkfi,2862492,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,140,,"8,93",,82,,"101,4",,,,"91,6",,,,,
EM09221itkt,2862485,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,134,,"10,44",,"79,1",,"103,4",,,,"102,1",,,,1,
EM09222itkfi,2862480,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,138,,"9,25",,76,,"106,2",,,,96,,,,,
CF09169itkt,2862437,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,"9,85",,"79,9",,"97,7",,,,"96,5",,,,3,
Gallixeitkt,2862494,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"9,87",,"79,5",,"100,4",,,,"99,2",,,,1,
RE09055-2itkfi,2862411,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,144,,"8,89",,"73,5",,"98,3",,,,"88,9",,,,,
RE09055-2itkt,2862413,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,"9,78",,"74,8",,95,,,,"93,8",,,,1,
RE09055-2itknt,2862412,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49670,https://doi.org/10.15454/FDCSIL,RE09055-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,1,,,,1,,,
RE09063itkt,2862458,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,145,,"10,9",,"76,8",,"88,1",,,,87,,,,"1,5",
RE09063itkfi,2862456,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,147,,"9,71",,75,,"91,8",,,,"82,9",,,,,
Gallixeitknt,2862493,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,,,6,,,,1,,,
CF09169itknt,2862436,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,2,,,,1,,,
Bermudeitknt,2862424,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,,,5,,,,1,,,
RE09063itknt,2862457,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,4,,,,,,,,,,1,,,,3,,,
Bermudeitkt,2862425,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"10,79",,"78,1",,"98,2",,,,97,,,,2,
DI10011itkfi,2862399,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,136,,"9,68",,78,,"102,3",,,,"92,4",,,,,
RE09079itknt,2862394,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,,,1,,,,1,,,
RE09079itkfi,2862393,BTH_Clermont-Ferrand_2012_SetA1,BTH_Clermont-Ferrand_2012_SetA1,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,,,147,,"10,54",,"76,5",,"92,5",,,,"83,6",,,,,
