observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Altigoitkt,2873895,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,139,,"10,8",,"79,5",,"100,2",,,,108,,,,1,
RE11095itkfi,2873862,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,148,,"9,9",,76,,"87,8",,1,,"93,5",,1,,1,
RE11095itkt,2873863,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"11,6",,80,,"94,2",,,,"101,6",,,,1,
CF11291itkt,2873923,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,137,,"11,5",,"83,5",,"92,3",,,,"99,4",,,,1,
AO13012itkfi,2873900,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,60784,https://doi.org/10.15454/3K0RWB,AO13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,153,,"10,6",,"80,5",,"90,7",,1,,"96,6",,1,,1,
DI12005itkfi,2873874,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,152,,"10,8",,"77,5",,"94,1",,1,,"100,2",,1,,1,
RE11073itkt,2873857,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"10,6",,"83,5",,97,,,,"104,5",,,,1,
RE11096itkfi,2873860,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,151,,"10,6",,80,,"80,5",,3,,"85,7",,1,,1,
RE11096itkt,2873861,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,5",,"78,5",,"86,2",,,,"92,8",,,,1,
Soissonsitkt,2873917,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,136,,"10,4",,"82,5",,"89,3",,,,"96,2",,,,1,
RE11073itkfi,2873856,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,2",,81,,100,,1,,"106,5",,1,,1,
DI12005itkt,2873875,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,149,,"10,8",,82,,"99,1",,,,"106,8",,,,1,
EM11400itkt,2873897,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,140,,"11,6",,75,,"91,5",,,,"98,6",,,,1,
DI12011-2itkt,2873893,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,139,,"11,2",,"74,5",,"87,4",,,,"94,1",,,,1,
Pakitoitkfi,2873878,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,142,,"9,6",,82,,"114,4",,3,,"121,9",,1,,1,
RE11098itkfi,2873850,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"10,9",,83,,"76,2",,1,,"81,2",,1,,1,
RE11098itkt,2873851,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,146,,"11,9",,"80,5",,"77,5",,,,"83,5",,,,1,
DI12011-2itkfi,2873892,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,141,,"10,3",,"74,5",,"80,9",,1,,"86,2",,1,,1,
Bermudeitkt,2873859,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,143,,"10,4",,"81,5",,"94,5",,,,"101,8",,,,1,
Apacheitkt,2873887,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,140,,"10,6",,83,,"98,2",,,,"105,9",,,,1,
Apacheitkfi,2873886,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,141,,"9,6",,78,,"98,8",,1,,"105,3",,1,,1,
RE11075itkfi,2873854,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,148,,"9,7",,"80,5",,"87,8",,1,,"93,5",,1,,1,
Pakitoitkt,2873879,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,140,,"10,1",,83,,107,,,,"115,3",,,,1,
EM11389itkt,2873847,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"10,7",,"80,5",,"91,5",,,,"98,6",,,,1,
DI12004itkt,2873877,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,148,,"10,7",,82,,"94,2",,,,"101,6",,,,1,
Attlassitkfi,2873912,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,144,,"10,1",,79,,"93,4",,1,,"99,5",,1,,1,
EM11389itkfi,2873846,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,147,,"9,5",,"80,5",,"89,6",,1,,"95,4",,1,,1,
EM11366itkt,2873911,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,2",,80,,"98,3",,,,"105,9",,,,1,
Attlassitkt,2873913,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,142,,"10,4",,"78,5",,"96,4",,,,"103,9",,,,1,
RE11075itkt,2873855,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,144,,"10,4",,83,,"96,7",,,,"104,2",,,,1,
Soissonsitkfi,2873916,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,138,,"9,6",,82,,"85,2",,2,,"90,8",,1,,1,
Grapeliitkt,2873903,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,147,,"10,9",,80,,"95,5",,,,103,,,,1,
RE11087itkfi,2873906,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,4",,"79,5",,"98,1",,1,,"104,5",,1,,1,
AO13010itkfi,2873898,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,60751,https://doi.org/10.15454/JYOJ35,AO13010,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,149,,"10,2",,81,,"93,7",,1,,"99,8",,1,,1,
Grapeliitkfi,2873902,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,150,,"9,9",,77,,"94,8",,1,,"100,9",,1,,1,
EM11441itkt,2873883,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,145,,"11,2",,77,,"89,7",,,,"96,6",,,,1,
EM11441itkfi,2873882,BTH_Clermont-Ferrand_2013_SetA2,BTH_Clermont-Ferrand_2013_SetA2,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,146,,"10,2",,73,,"77,1",,1,,"82,1",,2,,1,
