observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO14020itkt,2886180,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,136,,"10,6",,104,,100,,,,,,1,
EM12595itkfi,2886115,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61370,https://doi.org/10.15454/IO8K98,EM12595,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,139,,"9,2",,"107,1",,"69,8",,1,,5,,,
EM12595itkt,2886116,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61370,https://doi.org/10.15454/IO8K98,EM12595,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,138,,"8,9",,"106,8",,"102,7",,,,,,2,
AO14012itkt,2886144,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61987,https://doi.org/10.15454/FDBTWR,AO14012,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,134,,"10,9",,"100,7",,"96,7",,,,,,1,
RE13093itkfi,2886129,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,139,,"9,7",,"129,8",,"84,5",,2,,"3,5",,,
RE13093itkt,2886130,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,139,,"9,4",,114,,"109,6",,,,,,1,
AO14020itkfi,2886179,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,85,,136,,11,,101,,"65,8",,1,,6,,,
Rubiskoitkt,2886184,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,132,,"10,1",,101,,"97,1",,,,,,1,
EM12375itkfi,2886165,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61352,https://doi.org/10.15454/0JONWQ,EM12375,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,132,,"10,9",,"99,8",,65,,2,,6,,,
Bermudeitkfi,2886123,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,139,,"9,9",,"100,9",,"65,8",,1,,6,,,
Koreliitkfi,2886135,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,140,,"10,6",,"98,6",,"64,3",,2,,5,,,
EM12375itkt,2886166,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61352,https://doi.org/10.15454/0JONWQ,EM12375,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,133,,"10,8",,"103,1",,"99,1",,,,,,1,
RE13094itkfi,2886133,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,130,,"10,1",,130,,"84,7",,1,,"5,2",,,
RE13094itkt,2886134,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,130,,"9,9",,"105,1",,101,,,,,,"1,5",
Apacheitkfi,2886153,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,130,,"11,6",,83,,"54,1",,"1,5",,9,,,
Arezzoitkt,2886190,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,130,,"10,5",,"98,4",,"94,5",,,,,,"5,5",
Koreliitkt,2886136,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,139,,"10,2",,"88,9",,"85,4",,,,,,"4,5",
RE13095itkfi,2886131,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,99,,138,,"10,1",,"115,2",,75,,2,,"4,5",,,
CF13012itkfi,2886121,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60977,https://doi.org/10.15454/Q94XV8,CF13012,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,98,,134,,"10,1",,"101,9",,"66,4",,1,,"4,8",,,
CF13012itkt,2886122,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60977,https://doi.org/10.15454/Q94XV8,CF13012,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,134,,"9,6",,"104,6",,"100,5",,,,,,"1,5",
RE13095itkt,2886132,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,treated,2014,105,,137,,"10,1",,"103,6",,"99,5",,,,,,"1,5",
Bermudeitkt,2886124,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2014,98,,137,,"9,9",,"106,5",,"102,3",,,,,,"3,5",
Arezzoitkfi,2886189,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27030,https://doi.org/10.15454/SFNXCW,AREZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,82,,130,,"10,4",,"97,6",,"63,6",,1,,"8,5",,,
AO14010itkfi,2886139,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,87,,140,,"10,2",,"99,7",,"64,9",,"2,2",,"5,8",,,
RE13084itkfi,2886171,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,92,,138,,"10,3",,"129,3",,"84,2",,"1,5",,"3,2",,,
AO14016itkt,2886152,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62080,https://doi.org/10.15454/ZHXGRT,AO14016,VIRTUAL_TRIAL,,,,,,,,treated,2014,86,,136,,"10,3",,"98,3",,"94,4",,,,,,"1,5",
AO14010itkt,2886140,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,treated,2014,92,,138,,"9,7",,"110,9",,"106,5",,,,,,"1,5",
AO14013itkfi,2886141,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,94,,139,,"10,2",,"96,6",,"62,9",,"3,5",,"6,5",,,
AO14013itkt,2886142,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,treated,2014,102,,138,,"10,1",,"106,7",,"102,5",,,,,,"1,5",
AO14012itkfi,2886143,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61987,https://doi.org/10.15454/FDBTWR,AO14012,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,89,,134,,"11,2",,"117,4",,"76,5",,1,,6,,,
RE13084itkt,2886172,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,treated,2014,97,,136,,"10,2",,107,,"102,8",,,,,,"1,5",
Apacheitkt,2886154,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,129,,"10,4",,"94,2",,"90,5",,,,,,3,
AO14016itkfi,2886151,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62080,https://doi.org/10.15454/ZHXGRT,AO14016,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,79,,139,,"10,2",,"103,8",,"67,6",,"1,5",,6,,,
RE13091itkfi,2886127,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61648,https://doi.org/10.15454/RB7AM4,RE13091,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,138,,"10,1",,"124,8",,"81,3",,"1,5",,"4,8",,,
AO14021itkt,2886182,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60871,https://doi.org/10.15454/OYOSWH,AO14021,VIRTUAL_TRIAL,,,,,,,,treated,2014,94,,136,,"9,6",,"101,8",,"97,8",,,,,,2,
RE13091itkt,2886128,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61648,https://doi.org/10.15454/RB7AM4,RE13091,VIRTUAL_TRIAL,,,,,,,,treated,2014,108,,136,,"9,8",,"111,3",,"106,9",,,,,,2,
RE13086itkfi,2886167,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,99,,136,,"10,4",,"125,4",,"81,7",,"1,5",,3,,,
AO14014itkfi,2886147,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,139,,"9,8",,"121,8",,"79,4",,"1,5",,5,,,
AO14014itkt,2886148,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,136,,"9,9",,"109,5",,"105,3",,,,,,"2,5",
AO14018itkfi,2886155,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62112,https://doi.org/10.15454/CYS1KY,AO14018,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,139,,"10,3",,"116,9",,"76,1",,"1,5",,"6,2",,,
AO14021itkfi,2886181,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,60871,https://doi.org/10.15454/OYOSWH,AO14021,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,136,,"10,4",,"101,7",,"66,2",,"2,5",,"5,5",,,
Lyrikitkfi,2886187,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,89,,140,,"9,8",,"124,1",,"80,8",,2,,4,,,
AO14022itkt,2886174,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,61039,https://doi.org/10.15454/T1DLTW,AO14022,VIRTUAL_TRIAL,,,,,,,,treated,2014,94,,142,,"9,2",,"115,2",,"110,7",,,,,,"1,5",
RE13086itkt,2886168,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,treated,2014,104,,136,,"10,3",,106,,"101,9",,,,,,"1,5",
AO14018itkt,2886156,BTH_Le_Moulon_2014_SetB2,BTH_Le_Moulon_2014_SetB2,62112,https://doi.org/10.15454/CYS1KY,AO14018,VIRTUAL_TRIAL,,,,,,,,treated,2014,91,,138,,"10,2",,"100,5",,"96,5",,,,,,1,
