observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI04018itknt,2805359,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,"70,2",,"111,4",,"93,2",,1,
Orvantisitkt,2805408,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"55,1",,"140,5",,"9,46",,"68,9",,102,,"105,5",,1,
DI9714itkt,2805339,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2005,NA,,NA,,NA,,"10,34",,"74,1",,"87,9",,"90,9",,NA,
DI9714itknt,2805338,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,NA,,,,,,,,"72,7",,"83,1",,"69,5",,NA,
Farandoleitkt,2805375,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,55,,142,,"10,32",,66,,"97,9",,"101,3",,1,
DI04018itkt,2805360,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"53,7",,"142,5",,"9,99",,"65,4",,"105,7",,"109,3",,1,
DI9714itkfi,2805337,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,NA,,NA,,NA,,"10,05",,"69,6",,"79,3",,"64,6",,NA,
Orvantisitkfi,2805406,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"48,3",,"140,5",,"8,93",,"72,3",,"98,3",,"80,1",,1,
EM01068itknt,2805365,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,70,,"101,1",,"84,6",,1,
DI05030itknt,2805335,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,72,,"113,5",,95,,1,
EM03206itkt,2805420,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,44,,"146,5",,"9,73",,"72,8",,93,,"96,3",,1,
EM03206itknt,2805419,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,"76,4",,111,,"92,9",,1,
DI04019itknt,2805356,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"71,1",,"106,7",,"89,3",,1,
EM03206itkfi,2805418,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,49,,"145,5",,"9,64",,"73,2",,"108,4",,"88,4",,1,
DI05030itkt,2805336,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"48,5",,143,,"10,04",,"70,8",,"103,2",,"106,8",,5,
DI05030itkfi,2805334,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"53,9",,144,,"8,7",,"64,1",,"112,7",,"91,8",,1,
DI04024itkt,2805414,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"48,5",,144,,"8,88",,"69,8",,101,,"104,5",,1,
EM03149itknt,2805350,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"72,3",,107,,"89,5",,2,
EM01343itkt,2805381,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"44,3",,147,,"9,67",,"70,2",,"91,1",,"94,2",,"1,5",
EM01343itknt,2805380,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"68,5",,"95,5",,80,,1,
DI04024itknt,2805413,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,71,,"112,7",,"94,3",,3,
EM01343itkfi,2805379,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"52,7",,145,,"9,48",,"65,3",,96,,"78,2",,"2,5",
EM01068itkfi,2805364,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"51,9",,146,,"8,4",,"64,5",,104,,"84,8",,2,
EM03149itkt,2805351,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"45,7",,142,,"9,14",,"71,1",,"105,9",,"109,6",,2,
EM03149itkfi,2805349,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"46,4",,"142,5",,"8,53",,"70,6",,"103,2",,"84,1",,2,
LM03017itkt,2805396,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"46,4",,140,,"9,96",,"70,2",,"99,4",,"102,9",,"2,5",
LM03017itknt,2805395,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,74,,"86,4",,"72,3",,1,
LM03017itkfi,2805394,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"45,9",,"141,5",,"9,01",,"70,4",,"92,4",,"75,3",,1,
EM01068itkt,2805366,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"47,4",,"146,5",,"9,96",,"69,3",,"98,9",,"102,4",,1,
DI04019itkfi,2805355,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"53,1",,"144,5",,"8,6",,"65,4",,"108,3",,"88,2",,1,
LM03051itkt,2805369,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,"44,2",,148,,"9,96",,"65,6",,"96,9",,"100,3",,2,
CF03287itkfi,2805391,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"50,3",,"142,5",,"9,75",,"72,7",,"107,9",,"87,9",,1,
Farandoleitknt,2805374,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"71,6",,"106,7",,"89,3",,1,
CF03287itkt,2805393,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"50,6",,142,,"10,88",,"69,8",,"98,5",,"101,9",,"1,5",
EM00264itknt,2805404,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"69,6",,"92,7",,"77,6",,1,
EM00264itkfi,2805403,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,45,,144,,"8,97",,"68,4",,"101,5",,"82,7",,1,
CF03287itknt,2805392,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,"75,8",,"110,3",,"92,3",,1,
EM03028itkt,2805327,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"52,3",,"146,5",,"10,43",,"72,7",,93,,"96,2",,3,
CF03226itknt,2805353,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,"72,9",,"103,3",,"86,5",,"7,5",
EM03028itknt,2805326,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,73,,"111,5",,"93,3",,1,
DI04019itkt,2805357,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"49,1",,"142,5",,"9,15",,"70,6",,"102,7",,"106,2",,1,
EM00264itkt,2805405,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"40,3",,"144,5",,"9,18",,"68,9",,"96,5",,"99,9",,1,
CF03226itkt,2805354,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,50,,"143,5",,"9,52",,"72,6",,"94,8",,"98,1",,"2,5",
EM03028itkfi,2805325,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"56,3",,146,,"9,41",,"71,2",,"105,1",,"85,7",,1,
EM00107itkt,2805342,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"42,6",,146,,"9,47",,"74,6",,"103,9",,"107,5",,2,
CF03226itkfi,2805352,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"54,4",,"144,5",,"9,07",,"70,3",,"106,3",,"86,6",,"2,5",
CF03342itknt,2805386,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,"71,8",,"106,2",,"88,9",,1,
DI04024itkfi,2805412,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,52,,"143,5",,"8,21",,"68,6",,"116,1",,"94,6",,1,
LM03001itkt,2805330,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"39,4",,147,,"10,44",,"64,7",,"93,3",,"96,5",,4,
LM03001itknt,2805329,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,95,,,,,,,,"66,5",,"95,7",,80,,2,
LM03001itkfi,2805328,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"47,3",,147,,"9,63",,"65,2",,"91,6",,"74,6",,1,
CF03341itkt,2805384,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"45,9",,147,,"9,82",,"69,4",,"98,3",,"101,7",,2,
CF03341itkfi,2805382,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"52,1",,147,,"9,12",,"68,6",,"112,3",,"91,5",,1,
Apacheitkfi,2805388,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,48,,139,,"9,36",,"72,8",,"95,8",,78,,1,
Farandoleitkfi,2805373,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"59,1",,"141,5",,"9,46",,"67,4",,"101,5",,"82,7",,1,
CF03342itkfi,2805385,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"49,1",,"145,5",,"9,06",,"65,4",,"97,9",,"79,7",,1,
Apacheitknt,2805389,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,"73,8",,"96,2",,"80,5",,1,
CF03341itknt,2805383,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"87,5",,,,,,,,"72,6",,104,,87,,1,
Apacheitkt,2805390,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"45,9",,"139,5",,"10,26",,75,,"101,9",,"105,4",,1,
Barokitknt,2805320,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"82,5",,,,,,,,"73,6",,"121,5",,"101,7",,1,
EM03041itkt,2805324,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,"49,3",,146,,"10,21",,"69,8",,"92,6",,"95,8",,1,
LM03022itknt,2805332,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"69,3",,"99,3",,"83,1",,2,
EM03041itkfi,2805322,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"77,5",,64,,146,,"9,68",,"63,8",,"99,4",,81,,1,
EM00107itkfi,2805340,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"45,5",,"144,5",,"8,6",,"71,8",,111,,"90,4",,1,
LM03022itkfi,2805331,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,49,,"144,5",,"9,68",,"63,4",,"99,1",,"80,8",,1,
DI04015itkt,2805348,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"47,8",,"140,5",,"9,9",,"67,5",,"100,3",,"103,8",,8,
LM03022itkt,2805333,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"45,3",,145,,"11,33",,"64,8",,"90,8",,"93,9",,4,
EM03041itknt,2805323,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,"77,5",,,,,,,,"68,4",,"103,1",,"86,3",,1,
EM03193itknt,2805362,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"72,8",,"116,6",,"97,6",,1,
EM03193itkfi,2805361,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"46,2",,145,,"8,71",,"71,3",,"108,7",,"88,6",,2,
CF03342itkt,2805387,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"48,8",,145,,"9,28",,"73,3",,"101,3",,"104,8",,1,
Skerzzoitkfi,2805409,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"51,5",,144,,"10,46",,"75,7",,"100,8",,"82,1",,1,
LM03015itkfi,2805400,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,1",,"144,5",,"9,5",,"66,4",,"99,7",,"81,2",,5,
DI04015itkfi,2805346,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"52,3",,"141,5",,"9,33",,"70,4",,"100,7",,82,,"3,5",
Skerzzoitknt,2805410,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,100,,,,,,,,"79,4",,"108,9",,"91,1",,1,
DI04015itknt,2805347,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"71,9",,"104,8",,"87,7",,7,
DI04017itknt,2805344,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,90,,,,,,,,"74,6",,"111,4",,"93,2",,"1,5",
Skerzzoitkt,2805411,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2005,"92,5",,"49,9",,142,,"10,98",,"74,1",,"95,4",,"98,8",,2,
DI04022itknt,2805416,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2005,85,,,,,,,,"72,4",,"104,4",,"87,4",,2,
Chargeritkt,2805378,BTH_Le_Moulon_2005_SetA2,BTH_Le_Moulon_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"42,7",,"144,5",,"9,61",,"70,8",,"99,2",,"102,7",,"2,5",
