observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
HadmF11671,2855405,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,2011,4,,4,,NA,,3,,3,,1,
HadmF11326,2855398,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",,4,,2,,2,,3,,1,
Strub061859-1,2855404,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,2011,3,,1,,NA,,5,,3,,6,
CF07143,2855408,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,2011,3,,4,,NA,,2,,2,,4,
EM08223,2855389,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,2011,"6,5",,4,,NA,,5,,3,,1,
CF08049,2855415,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,2011,"1,5",,1,,NA,,2,,6,,1,
CF08084,2855406,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,2011,4,,4,,NA,,5,,6,,4,
EM07117,2855384,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",,4,,NA,,2,,4,,1,
Fr759/08,2855402,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48456,gnpis_pui:holding-921_taxon-4898_accession-48456,Fr759/08,VIRTUAL_TRIAL,,,,,,,,2011,6,,4,,5,,5,,6,,1,
Soissons,2855414,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2011,2,,4,,5,,5,,9,,1,
Altigo,2855400,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",,1,,NA,,5,,5,,6,
Bermude,2855382,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2011,6,,4,,NA,,2,,6,,4,
DI09018,2855413,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,2011,3,,6,,NA,,5,,6,,1,
EM08221,2855387,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,2011,"8,5",,6,,NA,,5,,2,,4,
AO10003,2855399,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,2011,2,,1,,NA,,5,,6,,1,
AO10015,2855378,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",,1,,2,,3,,4,,6,
AO10026,2855394,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",,4,,2,,3,,6,,3,
AO10028,2855401,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,2011,4,,4,,2,,2,,6,,1,
JDBE42,2855390,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48905,https://doi.org/10.15454/XS84TO,JDBE42,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,4,,5,,5,,9,,1,
JDBH22,2855403,BTH_Rennes_2011_SetA1_PIETIN-VERSE,BTH_Rennes_2011_SetA1_PIETIN-VERSE,48908,https://doi.org/10.15454/JJNR8O,JDBH22,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",,1,,NA,,5,,9,,1,
