observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI09005itkt,2847549,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27809,https://doi.org/10.15454/VX6AQV,DI09005,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,154,,"10,55",,"77,2",,"98,2",,100,
AO10007itkfi,2847556,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,147,,"11,44",,"83,1",,"93,8",,"70,2",
CF08049itkt,2847603,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,68,,156,,"10,5",,"79,8",,"95,7",,"97,4",
RE08030itkfi,2847559,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27308,https://doi.org/10.15454/4AWT90,RE08030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,154,,"11,78",,"84,3",,"95,8",,"71,7",
EM08221itkt,2847528,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,72,,158,,"9,68",,"72,4",,"96,5",,"98,3",
AO10007itkt,2847558,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,147,,"10,39",,"79,2",,"99,1",,"100,9",
AO10007itknt,2847557,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49608,https://doi.org/10.15454/ZH8TXM,AO10007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,146,,,,,,"94,4",,"80,6",
DI09016itkt,2847615,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,156,,"10,17",,"79,9",,"95,2",,"96,9",
Premioitkt,2847513,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,152,,"10,07",,"79,8",,"97,4",,"99,2",
Premioitkfi,2847511,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,70,,150,,"11,48",,"82,2",,"97,7",,"73,1",
DI09016itknt,2847614,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,72,,156,,,,,,"95,1",,"81,1",
CF08109itkfi,2847598,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,150,,"11,44",,"83,2",,"97,4",,"72,9",
AO10008itkt,2847564,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,145,,"9,9",,"80,6",,"104,1",,106,
Premioitknt,2847512,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2010,68,,152,,,,,,"99,1",,"84,6",
DI09016itkfi,2847613,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,27313,https://doi.org/10.15454/SGNING,DI09016,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,156,,"11,04",,81,,"96,1",,"71,9",
AO10008itkfi,2847562,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49349,https://doi.org/10.15454/7PE32Q,AO10008,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,146,,"11,38",,"83,1",,"94,5",,"70,7",
EM08019itkt,2847579,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,152,,"9,39",,"73,1",,"107,7",,"109,6",
Bermudeitkt,2847522,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,75,,155,,"9,49",,"79,5",,"106,7",,"108,6",
EM08019itkfi,2847577,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,150,,"9,9",,"77,2",,"105,1",,"78,7",
Bermudeitkfi,2847520,BTH_Estrées-Mons_2010_SetA2,BTH_Estrées-Mons_2010_SetA2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,75,,152,,"10,74",,"82,3",,"106,5",,"79,7",
