observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Caphorn,2822119,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,4,,6,
DI06004,2822133,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,2007,3,,5,,4,,1,
CF05070,2822129,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,8,,1,
CF05086,2822108,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,49341,https://doi.org/10.15454/RKQK2G,CF05086,VIRTUAL_TRIAL,,,,,,,,2007,3,,2,,8,,1,
CF05138,2822126,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,6,,1,
RE05005,2822100,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,1,,1,
RE05038,2822122,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26902,https://doi.org/10.15454/JZRTIK,RE05038,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,4,,1,
RE05037,2822110,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26901,https://doi.org/10.15454/WC63BJ,RE05037,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,4,,1,
RE05011,2822124,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26899,https://doi.org/10.15454/3NYQAY,RE05011,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,4,,1,
RE05016,2822130,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26900,https://doi.org/10.15454/YMFJQC,RE05016,VIRTUAL_TRIAL,,,,,,,,2007,4,,5,,4,,4,
RE05050,2822120,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26904,https://doi.org/10.15454/8AMC4Z,RE05050,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,6,,2,
RE05047,2822107,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,4,,2,
CF04046,2822125,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,7,,1,
Mendel,2822116,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,6,,1,
RE05039,2822114,BTH_Rennes_2007_SetA2_PIETIN-VERSE,BTH_Rennes_2007_SetA2_PIETIN-VERSE,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,4,,1,
