observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI05003-2itkt,2813520,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"46,7",,148,,"11,98",,"72,8",,"96,9",,"97,9",,,
DI05003-2itkfi,2813518,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49014,https://doi.org/10.15454/UKELLG,DI05003-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"49,2",,147,,"10,32",,"73,3",,"102,7",,"88,4",,1,
DI05001-2itkt,2813514,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"46,6",,148,,"11,62",,"73,1",,"101,8",,"102,9",,,
DI05001-2itknt,2813513,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,,,148,,,,"70,9",,"106,3",,93,,2,
DI05001-2itkfi,2813512,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48759,https://doi.org/10.15454/YRTCHQ,DI05001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"45,4",,148,,"9,96",,"67,2",,"107,7",,"92,7",,2,
DI05021itkfi,2813560,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"49,3",,"143,5",,"10,14",,"70,7",,"112,7",,97,,4,
DI05021itkt,2813562,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"49,8",,"142,5",,"11,86",,"73,9",,"106,8",,108,,,
DI05021itknt,2813561,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,141,,,,"73,8",,"120,7",,"105,6",,5,
DI05020itknt,2813564,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,,,"140,5",,,,"75,4",,"112,3",,"98,3",,4,
DI05020itkt,2813565,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"51,6",,"141,5",,"11,92",,"74,6",,"107,2",,"108,4",,,
DI05020itkfi,2813563,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"49,8",,143,,"9,96",,"74,2",,"115,6",,"99,5",,3,
EM03332itknt,2813522,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,95,,,,147,,,,"74,2",,"117,1",,"102,4",,1,
EM03332itkt,2813523,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,"56,2",,148,,"11,73",,"73,9",,"105,5",,"106,7",,,
EM03332itkfi,2813521,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,60,,148,,"10,23",,"71,1",,"108,7",,"93,6",,1,
DI05014itknt,2813501,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,,,147,,,,"70,4",,"120,5",,"105,4",,1,
DI05014itkfi,2813500,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,"38,7",,"147,5",,"10,88",,"70,4",,"112,2",,"96,5",,1,
DI05014itkt,2813502,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2006,88,,44,,148,,"11,74",,"71,5",,"104,3",,"105,4",,,
CF04043itkfi,2813506,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"48,1",,141,,"9,47",,"71,8",,"102,6",,"88,3",,5,
CF04043itkt,2813508,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"46,2",,"140,5",,"11,09",,"73,5",,"104,5",,"105,7",,,
CF04043itknt,2813507,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,88,,,,"139,5",,,,"71,6",,110,,"96,2",,5,
Hendrixitkt,2813493,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,"44,2",,147,,"13,26",,"76,9",,"94,5",,"95,5",,,
Hendrixitknt,2813492,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,,,146,,,,"76,6",,"105,8",,"92,5",,1,
Hendrixitkfi,2813491,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"48,7",,"146,5",,"10,98",,"77,1",,"106,2",,"91,3",,1,
RE04022itknt,2813495,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,,,"144,5",,,,"72,1",,"113,5",,"99,3",,4,
RE04022itkt,2813496,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,85,,48,,146,,"10,77",,"74,8",,"106,3",,"107,5",,,
RE04022itkfi,2813494,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,"49,6",,"144,5",,"9,41",,72,,"104,6",,90,,4,
CF04022itkt,2813550,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"47,6",,145,,"11,6",,"71,6",,"98,8",,"99,9",,,
CF04022itknt,2813549,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,144,,,,"70,2",,"109,7",,"95,9",,8,
CF04022itkfi,2813548,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"49,9",,"144,5",,"10,38",,"69,4",,"102,4",,"88,1",,6,
CF04184itknt,2813555,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,142,,,,74,,"110,7",,"96,9",,1,
CF04184itkt,2813556,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"48,2",,144,,"13,58",,"71,1",,"97,2",,"98,3",,,
CF04184itkfi,2813554,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"50,2",,"143,5",,"11,74",,"73,1",,"101,6",,"87,4",,2,
Apacheitknt,2813510,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,,,141,,,,"72,1",,"90,1",,"78,8",,9,
Apacheitkfi,2813509,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,42,,"141,5",,"9,77",,"72,2",,"94,3",,"81,1",,8,
Apacheitkt,2813511,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,"41,7",,"143,5",,"11,77",,75,,"94,5",,"95,6",,,
Chargeritknt,2813534,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,78,,,,"144,5",,,,"69,8",,"98,4",,"86,1",,8,
Chargeritkfi,2813533,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"42,3",,"145,5",,"9,52",,"69,2",,"99,9",,"85,9",,7,
Chargeritkt,2813535,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"45,2",,145,,"11,28",,"71,8",,"99,2",,"100,3",,,
Caphornitkt,2813529,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"46,4",,142,,"11,73",,72,,"100,5",,"101,6",,,
Caphornitknt,2813528,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,"141,5",,,,"70,2",,"109,1",,"95,4",,5,
Caphornitkfi,2813527,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"46,2",,143,,"10,37",,"72,2",,"101,2",,"87,1",,4,
EM04181itkfi,2813542,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"44,4",,147,,"10,34",,"69,3",,"101,4",,"87,2",,2,
EM04181itkt,2813544,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"39,8",,"146,5",,"11,56",,"71,8",,"102,7",,"103,8",,,
EM04181itknt,2813543,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,144,,,,"72,1",,107,,"93,6",,4,
DI05001itkt,2813574,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,"45,3",,148,,"12,02",,"73,2",,"103,7",,"104,8",,,
DI05001itkfi,2813572,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"46,6",,148,,"10,56",,"71,8",,"106,9",,92,,1,
DI05001itknt,2813573,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,,,"147,5",,,,"71,4",,"104,1",,91,,3,
RE03019itkt,2813559,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,"48,3",,148,,"13,34",,"74,4",,"99,6",,"100,7",,,
RE03019itkfi,2813557,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"50,6",,"146,5",,"11,6",,"74,8",,"101,8",,"87,6",,3,
RE03019itknt,2813558,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26829,https://doi.org/10.15454/NMOYD6,RE03019,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,95,,,,147,,,,"75,8",,"103,6",,"90,6",,3,
DI05020-2itkt,2813538,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"51,8",,141,,"11,38",,"73,5",,110,,"111,2",,,
RE04009itkfi,2813488,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"50,8",,146,,"10,75",,"72,7",,"98,6",,"84,8",,4,
RE04009itknt,2813489,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26830,https://doi.org/10.15454/6V5ULG,RE04009,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,90,,,,"145,5",,,,"71,3",,"103,4",,"90,5",,4,
RE04043itkt,2813499,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"46,8",,146,,"12,09",,"74,2",,"95,5",,"96,6",,,
RE04043itkfi,2813497,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"48,2",,146,,"11,42",,"70,8",,"99,6",,"85,7",,3,
RE04043itknt,2813498,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,145,,,,"70,2",,"100,7",,"88,1",,5,
Orvantisitkt,2813553,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"48,4",,"143,5",,"11,57",,"74,2",,"105,8",,"106,9",,,
Orvantisitkfi,2813551,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"44,3",,143,,"10,8",,71,,"104,6",,90,,9,
Orvantisitknt,2813552,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,88,,,,"142,5",,,,"71,4",,"102,4",,"89,6",,9,
DI05025itknt,2813486,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,"144,5",,,,"71,8",,"105,4",,"92,2",,5,
DI05025itkt,2813487,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,treated,2006,78,,"44,6",,"145,5",,"12,4",,"74,2",,"98,3",,"99,4",,,
DI05025itkfi,2813485,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49613,https://doi.org/10.15454/VCOHOG,DI05025,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"47,8",,145,,"11,14",,"72,7",,"103,3",,"88,8",,4,
CF04048itkfi,2813524,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"48,2",,"145,5",,"10,25",,"71,4",,"104,3",,"89,8",,4,
CF04048itkt,2813526,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,"47,2",,"144,5",,"11,52",,"74,4",,"103,2",,"104,4",,,
CF04048itknt,2813525,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48884,https://doi.org/10.15454/NK9ZXF,CF04048,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,92,,,,145,,,,70,,108,,"94,5",,5,
EM03234itknt,2813540,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,148,,,,"65,4",,"103,9",,"90,9",,4,
EM03234itkt,2813541,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,46,,"148,5",,"11,4",,"67,5",,"99,5",,"100,6",,,
EM03234itkfi,2813539,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48522,https://doi.org/10.15454/KJPPWH,EM03234,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"46,4",,149,,"10,08",,68,,"101,1",,87,,2,
EM04081itkfi,2813515,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,"43,3",,150,,"11,1",,"73,6",,"109,5",,"94,2",,1,
EM04081itkt,2813517,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,treated,2006,90,,"40,1",,"150,5",,"11,59",,"76,5",,"101,8",,"102,9",,,
EM04081itknt,2813516,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,48571,https://doi.org/10.15454/RRGUYW,EM04081,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,92,,,,"148,5",,,,"72,2",,"114,6",,"100,3",,3,
CF04076itkt,2813484,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"47,3",,146,,"11,59",,"71,1",,"98,9",,100,,,
CF04076itknt,2813483,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,82,,,,"144,5",,,,"70,1",,"109,5",,"95,8",,3,
CF04076itkfi,2813482,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"48,7",,"145,5",,"10,48",,"70,1",,"101,3",,"87,2",,1,
EM04241itkt,2813547,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,49,,148,,"13,08",,"73,4",,"98,2",,"99,3",,,
EM04241itknt,2813546,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,78,,,,148,,,,"70,9",,"103,7",,"90,7",,4,
EM04241itkfi,2813545,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"47,4",,"147,5",,"10,87",,"69,3",,"100,8",,"86,7",,3,
DI05003itkt,2813571,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,treated,2006,75,,"47,6",,147,,"11,78",,72,,"100,2",,"101,3",,,
DI05003itknt,2813570,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,78,,,,146,,,,"71,7",,"101,7",,89,,4,
DI05003itkfi,2813569,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,49683,gnpis_pui:holding-921_taxon-4898_accession-49683,DI05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,"49,1",,"147,5",,"10,62",,"68,4",,"101,6",,"87,4",,2,
Farandoleitknt,2813531,BTH_Le_Moulon_2006_SetA2,BTH_Le_Moulon_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,,,143,,,,"69,4",,109,,"95,3",,6,
