observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI05018itkfi,2808275,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"58,6",,"140,5",,"9,95",,"70,1",,"94,1",,"79,6",,"7,5",
DI05018itkt,2808276,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"53,6",,"139,5",,"11,08",,69,,"99,9",,"103,7",,7,
EM04343itkt,2808300,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"47,2",,"144,5",,"10,87",,"72,1",,"99,5",,"103,3",,1,
EM04343itkfi,2808299,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"51,4",,144,,"9,41",,"69,7",,"103,2",,"87,3",,1,
DI05012itkt,2808294,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"42,2",,143,,"10,24",,"73,1",,"97,3",,"101,1",,"2,5",
DI05012itkfi,2808293,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"44,7",,"143,5",,"8,77",,"70,2",,"97,5",,"82,4",,3,
EM04334itkt,2808260,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,54,,147,,"10,8",,"70,2",,"93,9",,"97,6",,3,
EM04334itkfi,2808259,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"58,2",,147,,"9,05",,"69,2",,"88,7",,75,,4,
DI05015itkfi,2808285,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"62,5",,142,,"9,8",,"65,2",,"99,3",,"83,9",,"2,5",
DI05015itkt,2808286,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"54,2",,142,,"10,72",,"68,4",,"102,2",,"106,2",,1,
RE04020itkt,2808264,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"51,3",,146,,"10,27",,"65,6",,"93,1",,"96,7",,3,
RE04020itkfi,2808263,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,4",,"145,5",,"9,9",,"60,5",,"96,4",,"81,5",,6,
RE04071itkt,2808310,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"50,3",,"146,5",,"10,19",,"73,2",,"95,3",,99,,4,
RE04071itkfi,2808309,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"57,8",,146,,"8,72",,"69,4",,"105,8",,"89,4",,2,
DI05017itkt,2808290,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"46,2",,145,,"11,01",,"75,8",,"93,7",,"97,3",,1,
DI05017itkfi,2808289,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"52,4",,"144,5",,"10,2",,"73,8",,"98,2",,"83,1",,3,
AO05003itkfi,2808281,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"54,2",,139,,"9,15",,"69,5",,"101,2",,"85,6",,4,
AO05003itkt,2808282,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"49,5",,"139,5",,"10,2",,73,,"100,5",,"104,4",,3,
CF03058itkfi,2808269,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48359,gnpis_pui:holding-921_taxon-4898_accession-48359,CF03058,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"60,1",,143,,"8,9",,"64,4",,"104,4",,"88,3",,2,
CF03058itkt,2808270,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48359,gnpis_pui:holding-921_taxon-4898_accession-48359,CF03058,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"54,8",,142,,"10,55",,"69,1",,"106,5",,"110,6",,7,
DI05019itkt,2808278,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49356,gnpis_pui:holding-921_taxon-4898_accession-49356,DI05019,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,52,,"140,5",,"10,52",,"70,3",,"94,9",,"98,6",,"2,5",
DI05019itkfi,2808277,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49356,gnpis_pui:holding-921_taxon-4898_accession-49356,DI05019,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"57,8",,141,,"10,48",,"69,9",,"93,6",,"79,2",,4,
EM04329itkfi,2808315,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49271,gnpis_pui:holding-921_taxon-4898_accession-49271,EM04329,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"50,4",,"145,5",,"9,46",,"67,4",,100,,"84,6",,1,
EM04329itkt,2808316,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49271,gnpis_pui:holding-921_taxon-4898_accession-49271,EM04329,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,"43,4",,"145,5",,"9,36",,"69,8",,"97,9",,"101,7",,1,
DI05016itkfi,2808287,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48795,gnpis_pui:holding-921_taxon-4898_accession-48795,DI05016,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,48,,146,,"8,98",,"72,1",,"95,8",,81,,"1,5",
DI05016itkt,2808288,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48795,gnpis_pui:holding-921_taxon-4898_accession-48795,DI05016,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"45,5",,"146,5",,"10,09",,73,,"96,2",,"99,9",,1,
RE04044itkt,2808312,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49479,gnpis_pui:holding-921_taxon-4898_accession-49479,RE04044,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"53,9",,"138,5",,"10,76",,"72,8",,"92,6",,"96,2",,4,
RE04044itkfi,2808311,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49479,gnpis_pui:holding-921_taxon-4898_accession-49479,RE04044,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,"60,4",,"138,5",,"10,61",,"69,2",,"87,3",,"73,8",,8,
DI05020itkfi,2808325,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"58,8",,"141,5",,"9,97",,"72,2",,"101,2",,"85,5",,5,
Apacheitkfi,2808297,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"53,6",,139,,"9,82",,"71,9",,"97,2",,"82,2",,2,
AO05002itkt,2808280,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"52,8",,138,,"12,47",,"73,2",,"91,5",,"95,1",,"3,5",
AO05002itkfi,2808279,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"92,5",,"59,4",,"138,5",,"11,97",,"73,9",,"86,6",,"73,3",,2,
AO05004itkfi,2808273,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"97,5",,"53,6",,141,,"10,32",,72,,"100,6",,"85,1",,1,
AO05004itkt,2808274,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"48,7",,142,,"10,46",,"72,4",,"97,5",,"101,3",,"1,5",
Chargeritkt,2808306,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"44,6",,144,,"9,25",,72,,"97,7",,"101,5",,3,
Chargeritkfi,2808305,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,52,,144,,"8,37",,"66,5",,"99,7",,"84,3",,1,
Caphornitkt,2808302,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,"53,3",,139,,"11,26",,73,,"98,9",,"102,8",,1,
Caphornitkfi,2808301,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,59,,139,,"10,27",,"69,2",,"103,3",,"87,4",,1,
RE04043itkfi,2808271,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"60,2",,"143,5",,"9,73",,"65,9",,"109,1",,"92,3",,1,
RE04043itkt,2808272,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,26832,https://doi.org/10.15454/05HCVU,RE04043,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,"54,6",,144,,"10,16",,"65,8",,"101,4",,"105,3",,1,
DI05011itkt,2808292,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"42,3",,"144,5",,"9,66",,66,,"93,1",,"96,7",,2,
DI05011itkfi,2808291,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"82,5",,"48,5",,144,,"9,3",,"65,9",,"92,4",,"78,1",,"1,5",
Orvantisitkt,2808322,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"53,7",,141,,"10,52",,"73,8",,"105,8",,"109,9",,1,
Orvantisitkfi,2808321,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,1",,"140,5",,"8,82",,"69,3",,"99,8",,"84,4",,4,
RE04039itkt,2808308,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,treated,2005,"72,5",,"47,5",,145,,"10,19",,"70,8",,"96,5",,"100,3",,1,
RE04039itkfi,2808307,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"77,5",,"51,9",,"145,5",,"9,41",,"68,8",,"104,5",,"88,4",,1,
EM04294itkt,2808256,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"53,5",,"143,5",,"10,09",,"65,3",,"106,5",,"110,6",,2,
EM04294itkfi,2808255,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"60,5",,144,,9,,"60,3",,"105,9",,"89,6",,2,
CF04076itkt,2808254,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,"52,3",,"142,5",,"10,28",,"71,6",,"103,1",,"107,1",,"2,5",
CF04076itkfi,2808253,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"53,9",,144,,"8,74",,"67,8",,"111,1",,"93,9",,1,
EM04241itkfi,2808313,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"57,3",,144,,"10,3",,"68,5",,"108,8",,92,,"1,5",
EM04241itkt,2808314,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"56,6",,145,,"11,35",,64,,"101,4",,"105,4",,7,
AO05001itkt,2808320,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"61,3",,"136,5",,"10,65",,"72,1",,"107,7",,"111,9",,"2,5",
AO05001itkfi,2808319,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,95,,"69,7",,136,,"9,94",,"68,8",,"105,6",,"89,3",,1,
RE04060itkt,2808262,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,49,,144,,"11,22",,"63,8",,"99,8",,"103,7",,3,
RE04060itkfi,2808261,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,52,,144,,"9,26",,"61,6",,96,,"81,2",,"2,5",
RE04066itkt,2808258,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"56,3",,144,,"11,06",,"69,6",,"96,4",,"100,1",,4,
RE04066itkfi,2808257,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,80,,"55,7",,"143,5",,"9,32",,"68,1",,"97,8",,"82,7",,5,
CF04012itkt,2808268,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,treated,2005,90,,"55,8",,"144,5",,"9,98",,"75,5",,"101,1",,105,,5,
CF04012itkfi,2808267,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,90,,"66,1",,"144,5",,"9,56",,"68,8",,100,,"84,5",,"7,5",
Farandoleitkt,2808304,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"58,1",,"141,5",,"10,32",,"69,2",,"105,2",,"109,3",,3,
Farandoleitkfi,2808303,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,64,,141,,"9,5",,"65,6",,"103,8",,"87,8",,1,
RE04035itkfi,2808317,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,"87,5",,"58,3",,"145,5",,"9,5",,"71,9",,"94,7",,80,,1,
RE04035itkt,2808318,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"53,4",,146,,"10,26",,"71,4",,"93,4",,97,,1,
DI05013itkfi,2808295,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,low inputs,2005,85,,"47,3",,"143,5",,"8,8",,"68,7",,"97,5",,"82,5",,"6,5",
DI05013itkt,2808296,BTH_Le_Moulon_2005_SetB2,BTH_Le_Moulon_2005_SetB2,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,"43,6",,143,,"10,62",,"71,6",,"99,3",,"103,2",,4,
