observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
HadmF276itkt,2836014,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,32",,"75,4",,"103,8",,,,"103,3",
Koreliitkfi,2836007,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,146,,"10,29",,82,,"94,4",,2,,"93,3",
Caphornitkfi,2836019,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"11,45",,"75,2",,"98,1",,1,,97,
EM06110itkfi,2836053,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,138,,"10,72",,"75,6",,96,,1,,"94,9",
EM06307itkfi,2836001,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,1",,"71,1",,"88,7",,1,,"87,7",
Koreliitkt,2836008,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,147,,"10,19",,"80,3",,"105,8",,,,"105,3",
RE06060itkfi,2836045,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,143,,"11,37",,"74,8",,"98,5",,2,,"97,4",
Soissonsitkt,2836052,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2009,141,,"11,93",,"81,3",,"95,2",,,,"94,7",
Flamenkoitkt,2836026,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"10,44",,"77,1",,"105,9",,,,"105,4",
CF05173itkt,2836032,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"10,68",,"80,9",,"97,4",,,,"96,9",
CF05173itkfi,2836031,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"9,86",,"79,8",,"92,8",,1,,"91,7",
RE06060itkt,2836046,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,7",,"75,1",,"101,8",,,,"101,3",
Flamenkoitkfi,2836025,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"10,14",,"76,1",,"103,4",,1,,"102,2",
EM06233itkt,2836060,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"11,88",,"78,9",,"101,9",,,,"101,4",
Lyrikitkt,2836056,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"9,06",,"78,1",,"113,9",,,,"113,4",
CF05079itkt,2836030,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"10,49",,"80,7",,"98,1",,,,"97,6",
RE06127itkfi,2836027,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"12,42",,"74,9",,"84,4",,1,,"83,4",
CF05079itkfi,2836029,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"10,5",,"78,6",,"93,4",,1,,"92,3",
Lyrikitkfi,2836055,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"9,93",,"77,4",,"104,7",,2,,"103,5",
RE06127itkt,2836028,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2009,141,,"12,04",,77,,"81,6",,,,"81,3",
AO08112itkt,2835998,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"9,52",,"76,5",,"96,8",,,,"96,4",
EM06307itkt,2836002,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,11,,"71,3",,"97,6",,,,"97,2",
EM06233itkfi,2836059,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"11,87",,"78,2",,"103,9",,2,,"102,7",
AO08112itkfi,2835997,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,143,,"9,12",,"74,7",,"95,5",,1,,"94,4",
Premioitkt,2836000,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"11,06",,"78,2",,"101,3",,,,"100,8",
EM06094itkfi,2836033,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,143,,"12,43",,"76,2",,"103,6",,2,,"102,4",
Premioitkfi,2835999,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"11,12",,"77,7",,"104,3",,2,,"103,1",
CF06136itkt,2836058,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,55",,"77,4",,"93,9",,,,"93,4",
CF06136itkfi,2836057,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,06",,"75,1",,"91,2",,1,,"90,1",
Musikitkfi,2835993,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"10,36",,"76,1",,"92,3",,1,,"91,2",
RE06048itkt,2836044,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,92",,"76,6",,"90,6",,,,"90,2",
CF05162itkt,2836006,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"11,09",,"79,1",,"111,8",,,,"111,2",
CF05162itkfi,2836005,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,42",,"76,6",,105,,2,,"103,8",
DI08019-3itkfi,2835989,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"9,52",,"76,3",,"96,1",,1,,95,
RE06048itkfi,2836043,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,11,,"76,8",,"87,2",,1,,"86,2",
DI07001-2itkfi,2836003,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,136,,"11,1",,"76,2",,"97,4",,1,,"96,3",
DI08019-3itkt,2835990,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,49439,gnpis_pui:holding-921_taxon-4898_accession-49439,DI08019-3,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"9,86",,"78,6",,111,,,,"110,5",
CF03201itkt,2836024,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"11,29",,"82,2",,"100,7",,,,"100,2",
Musikitkt,2835994,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,56",,"77,3",,"93,8",,,,"93,4",
CF03201itkfi,2836023,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,143,,"11,3",,"80,6",,"96,5",,1,,"95,4",
DI07001-2itkt,2836004,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,139,,"10,82",,"76,9",,"103,3",,,,"102,8",
AO07127itkt,2836022,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"11,77",,"78,2",,"93,1",,,,"92,7",
Karillonitkt,2836050,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"9,22",,"73,8",,"95,5",,,,"95,1",
Apacheitkt,2836012,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"10,4",,"79,7",,"102,6",,,,"102,1",
AO07210itkt,2836048,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2009,141,,"11,51",,"73,1",,97,,,,"96,5",
AO07127itkfi,2836021,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,67",,"76,8",,"83,5",,1,,"82,6",
Karillonitkfi,2836049,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"9,9",,"74,6",,"95,8",,1,,"94,7",
Apacheitkfi,2836011,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"10,9",,79,,"99,6",,1,,"98,5",
AO07210itkfi,2836047,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"11,77",,"71,1",,"92,4",,1,,"91,3",
DI02001itkt,2836018,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"9,88",,"80,6",,"108,2",,,,"107,6",
AO07302itkt,2836042,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"10,33",,"78,3",,"104,6",,,,"104,1",
EM06017itkt,2835988,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"11,82",,"83,9",,"103,6",,,,"103,1",
Skerzzoitkt,2836040,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"12,38",,"81,5",,"105,8",,,,"105,3",
AO07302itkfi,2836041,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"9,6",,78,,"101,8",,2,,"100,7",
DI02001itkfi,2836017,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26984,https://doi.org/10.15454/GR0LP3,DI02001,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"9,72",,"79,8",,"101,4",,2,,"100,3",
AO08107itkt,2836036,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"9,44",,"74,3",,"101,7",,,,"101,2",
Skerzzoitkfi,2836039,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,144,,"11,8",,"79,8",,"91,4",,1,,"90,3",
AO08107itkfi,2836035,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"9,53",,"73,3",,"92,7",,1,,"91,7",
EM06229itkt,2836010,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"11,07",,"78,3",,"95,4",,,,"94,9",
Sankaraitkfi,2836015,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"11,48",,"71,8",,98,,1,,"96,9",
EM06229itkfi,2836009,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,141,,"11,48",,"77,3",,"97,1",,1,,96,
Ghaytaitkfi,2836037,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,145,,"11,94",,"75,5",,"101,6",,2,,"100,5",
RE06134itkt,2835996,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"10,76",,"74,6",,"94,1",,,,"93,6",
Sankaraitkt,2836016,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"11,08",,"72,9",,"96,6",,,,"96,2",
RE06134itkfi,2835995,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"11,58",,"73,1",,"95,2",,1,,"94,1",
Ghaytaitkt,2836038,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"12,54",,"77,2",,"103,6",,,,"103,1",
EM06017itkfi,2835987,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27814,https://doi.org/10.15454/ZBYAJC,EM06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"11,74",,"83,5",,"99,9",,3,,"98,8",
Toisondoritkfi,2835983,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,143,,"10,98",,"75,1",,"92,2",,1,,"91,2",
EM06094itkt,2836034,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,12,,78,,"101,3",,,,"100,8",
Hendrixitkt,2835982,BTH_Clermont-Ferrand_2009_SetA1,BTH_Clermont-Ferrand_2009_SetA1,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2009,144,,"12,1",,"82,3",,"97,2",,,,"96,7",
