observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
EM04181,2820321,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,48531,https://doi.org/10.15454/5QJOWB,EM04181,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,7,,1,
RE05108,2820325,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,5,,1,
RE03111,2820326,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,8,,1,
Soissons,2820330,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,7,,1,
Mendel,2820312,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,6,,1,
DI04017,2820313,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,6,,2,
DI04024,2820327,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,6,,1,
EM03193,2820310,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,4,,1,
CF04076,2820300,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,6,,1,
EM04241,2820324,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,2007,6,,NA,,6,,1,
AO05001,2820304,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,2007,4,,NA,,7,,1,
RE05074,2820323,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,2007,6,,5,,1,,1,
EM04145,2820308,BTH_Rennes_2007_SetA1_PIETIN-VERSE,BTH_Rennes_2007_SetA1_PIETIN-VERSE,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,2007,3,,NA,,6,,4,
