observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
EM11441itkt,2870779,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2012,"22,6",,104,,NA,,100,,NA,,"12,25",,NA,,56,,NA,,"168,25",,59,,"0,56",,146,,93,,477,,"38,64",,"12,2",,"77,5",,NA,,1300,,"1,8",,NA,
EM11579itkt,2870807,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,4",,111,,NA,,100,,NA,,"55,35",,NA,,"75,5",,NA,,"230,85",,62,,"0,55",,184,,99,,415,,"37,15",,"11,7",,"79,1",,NA,,1520,,"1,44",,NA,
EM11604itkt,2870790,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,2",,109,,NA,,100,,NA,,"85,6",,NA,,"87,38",,NA,,"272,98",,78,,"0,72",,253,,93,,462,,"38,82",,"12,4",,82,,NA,,1720,,"1,89",,NA,
RE10042itkt,2870787,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,5",,37,,94,,NA,,70,,NA,,73,,NA,,237,,NA,,88,,"2,38",,136,,"59,5",,311,,NA,,"10,8",,NA,,1650,,NA,,NA,,24,
RE11058itkt,2870788,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,"16,8",,58,,NA,,100,,NA,,"27,5",,NA,,"79,25",,NA,,"206,75",,127,,"2,22",,287,,95,,385,,"44,09",,"10,2",,"82,2",,NA,,1200,,"2,25",,NA,
RE11073itkt,2870765,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,7",,63,,NA,,100,,NA,,"51,75",,NA,,"88,13",,NA,,"239,88",,103,,"1,62",,242,,96,,400,,"41,95",,"10,7",,"83,8",,NA,,1400,,"1,87",,NA,
RE11075itkt,2870762,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,1",,66,,NA,,100,,NA,,"56,4",,NA,,"88,13",,NA,,"244,53",,95,,"1,43",,236,,91,,395,,"43,55",,"10,6",,"83,7",,NA,,1480,,"1,93",,NA,
RE11087itkt,2870789,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,19,,73,,NA,,100,,NA,,57,,NA,,"86,63",,NA,,"243,63",,93,,"1,27",,245,,100,,370,,"43,33",,"10,7",,"83,9",,NA,,1500,,"1,78",,NA,
RE11113itkt,2870791,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,treated,2012,"23,2",,109,,NA,,100,,NA,,"79,9",,NA,,"98,5",,NA,,"278,4",,67,,"0,62",,210,,57,,280,,"41,53",,"11,5",,"81,4",,NA,,1630,,"1,91",,NA,
RE11116itkt,2870793,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2012,"26,4",,141,,NA,,91,,NA,,"54,3",,NA,,87,,NA,,"232,3",,49,,"0,35",,189,,80,,247,,"38,34",,"10,7",,"79,3",,NA,,1560,,"1,33",,NA,
AO11013itkt,2870758,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,treated,2012,"14,8",,44,,94,,NA,,61,,NA,,81,,NA,,236,,NA,,114,,"2,59",,206,,82,,368,,NA,,"10,4",,NA,,1498,,NA,,NA,,"28,5",
EM09320itkt,2870785,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2012,"12,4",,31,,88,,NA,,20,,NA,,46,,NA,,154,,NA,,138,,"4,45",,183,,"68,5",,374,,NA,,"11,1",,NA,,1133,,NA,,NA,,"34,5",
DI11002itkt,2870784,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,6",,70,,82,,NA,,19,,NA,,71,,NA,,172,,NA,,82,,"1,17",,207,,"42,5",,359,,NA,,"11,7",,NA,,1320,,NA,,NA,,"24,5",
AO12021itkt,2870763,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2012,"13,4",,36,,85,,NA,,42,,NA,,78,,NA,,205,,NA,,118,,"3,28",,184,,"91,5",,349,,NA,,11,,NA,,1335,,NA,,NA,,30,
EM11366itkt,2870794,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,8",,71,,NA,,100,,NA,,"61,65",,NA,,"88,13",,NA,,"249,78",,132,,"1,84",,335,,81,,398,,"41,74",,"11,7",,"81,2",,NA,,1580,,"2,34",,NA,
EM11400itkt,2870786,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48403,https://doi.org/10.15454/U4Y1OC,EM11400,VIRTUAL_TRIAL,,,,,,,,treated,2012,23,,107,,NA,,100,,NA,,"64,95",,NA,,87,,NA,,"251,95",,85,,"0,8",,292,,73,,360,,"45,13",,"11,3",,"79,2",,NA,,1690,,"1,65",,NA,
CF09169itkt,2870777,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,"17,2",,60,,97,,NA,,65,,NA,,73,,NA,,235,,NA,,101,,"1,68",,223,,"70,5",,372,,NA,,"11,5",,NA,,1603,,NA,,NA,,30,
DI11014itkt,2870805,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2012,"18,4",,69,,97,,NA,,52,,NA,,77,,NA,,226,,NA,,92,,"1,35",,204,,"81,5",,364,,NA,,"11,3",,NA,,1620,,NA,,NA,,28,
DI12004itkt,2870755,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49069,https://doi.org/10.15454/EHYGRO,DI12004,VIRTUAL_TRIAL,,,,,,,,treated,2012,"21,9",,97,,NA,,100,,NA,,"64,65",,NA,,"89,63",,NA,,"254,28",,93,,"0,96",,289,,79,,367,,"42,44",,"11,1",,"82,7",,NA,,1680,,"2,7",,NA,
EM09222itkt,2870796,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,"15,7",,50,,70,,NA,,2,,NA,,21,,NA,,93,,NA,,78,,"1,56",,171,,"36,5",,324,,NA,,11,,NA,,970,,NA,,NA,,"26,5",
AO12014itkt,2870801,BTH_Clermont-Ferrand_2012_TECH,BTH_Clermont-Ferrand_2012_TECH,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,treated,2012,12,,29,,91,,NA,,61,,NA,,77,,NA,,229,,NA,,109,,"3,76",,142,,77,,275,,NA,,"10,6",,NA,,1470,,NA,,NA,,"26,5",
