observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2819677,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"69,6",,"80,79",
1,2819674,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"46,65",,"10,14",,"68,1",,"73,33",
2,2819675,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"42,55",,"11,08",,"67,4",,"76,33",
1,2819758,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"44,84",,"8,94",,"68,9",,"77,06",
2,2819761,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,"63,8",,"80,65",
1,2819760,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,1,,,,,,REPLICATION:1,non traité au fongicides,2007,,,,,"62,8",,"83,93",
2,2819763,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"51,72",,"10,8",,"71,3",,"105,72",
1,2819762,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,1,,,,,,REPLICATION:1,traité,2007,"49,34",,"10,36",,"71,5",,"106,53",
2,2819759,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27037,https://doi.org/10.15454/TWWI1V,DI04024,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"43,6",,"9,11",,"69,2",,"77,03",
2,2819659,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,2,,,,,,REPLICATION:2,non traité au fongicides,2007,,,,,62,,"77,6",
2,2819661,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,2,,,,,,REPLICATION:2,traité,2007,"46,87",,"10,65",,"69,5",,"110,69",
2,2819657,BTH_Le_Moulon_2007_SetA1,BTH_Le_Moulon_2007_SetA1,27038,https://doi.org/10.15454/DPT3VI,EM03193,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"40,65",,"9,14",,"68,7",,"79,21",
