observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE01037itkt,2786870,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,treated,2003,"89,75",,"132,5",,"14,7",,"98,5",,"69,6",
RE01037itkfi,2786869,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26096,https://doi.org/10.15454/9ZI12M,RE01037,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,9",,"89,4",,"50,6",
CF00060itkfi,2786871,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"13,2",,"75,3",,"42,6",
CF01184itkfi,2786917,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,8",,"98,4",,"55,7",
EM01271itkt,2786886,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2003,"94,5",,"134,5",,"13,2",,"86,8",,"61,4",
RE01086itkt,2786924,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,treated,2003,"86,75",,"132,75",,"14,2",,"94,3",,"66,6",
RE01086itkfi,2786923,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,4",,"92,2",,"52,2",
EM01271itkfi,2786885,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"11,2",,"93,4",,"52,9",
DI02032itkfi,2786867,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"12,4",,"92,5",,"52,4",
EM01328itkt,2786896,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2003,"87,75",,"140,75",,"15,1",,81,,"57,2",
Chargeritkfi,2786905,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,"10,8",,"97,1",,55,
CF01043itkt,2786920,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,treated,2003,83,,"131,25",,"14,7",,"97,2",,"68,7",
DI02032itkt,2786868,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,136,,"14,9",,"81,1",,"57,3",
CF01043itkfi,2786919,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,12,,"91,9",,52,
DI02021itkt,2786914,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2003,92,,"134,5",,"13,7",,"96,9",,"68,5",
RE02101itkt,2786916,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,treated,2003,"90,75",,"139,5",,"14,3",,"99,8",,"70,5",
EM01063itkt,2786884,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,treated,2003,"87,25",,"134,5",,"13,7",,"100,5",,71,
Chargeritkt,2786906,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2003,"79,75",,"132,25",,"12,9",,"99,5",,"70,3",
EM01063itkfi,2786883,BTH_Dijon_2003_SetA2,BTH_Dijon_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,,,12,,"87,9",,"49,8",
