observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2836206,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"9,95",,"4,5",,"61,18",
1,2836205,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27816,https://doi.org/10.15454/ZMYTIN,EM06094,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"10,86",,3,,"54,17",
1,2836147,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,67",,,,"78,17",
2,2836146,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"12,51",,5,,"44,21",
2,2836148,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"11,57",,,,"90,39",
2,2836124,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"10,92",,,,"98,92",
1,2836121,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"9,02",,"3,5",,"67,05",
2,2836122,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"9,13",,6,,"62,1",
1,2836123,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,87",,,,"87,15",
1,2836165,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"10,28",,2,,"53,75",
1,2836167,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"12,12",,,,"78,41",
2,2836168,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"11,94",,,,"79,93",
2,2836166,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"10,37",,2,,"59,34",
2,2836154,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"8,92",,5,,"61,65",
2,2836156,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"10,97",,,,"101,11",
1,2836155,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,41",,,,"90,55",
1,2836153,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"9,59",,3,,"64,33",
2,2836202,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"9,24",,"7,5",,"62,01",
2,2836204,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"10,79",,,,"94,64",
1,2836203,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,56",,,,"87,81",
1,2836201,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"9,03",,"4,5",,"59,13",
2,2836198,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"12,89",,"3,5",,"43,96",
2,2836200,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,09",,,,"69,4",
1,2836199,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,89",,,,"71,57",
1,2836197,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"11,25",,"2,5",,"45,95",
1,2836135,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,86",,,,"85,19",
1,2836133,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"9,29",,"2,5",,"65,37",
2,2836136,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"10,43",,,,"93,42",
2,2836134,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27769,https://doi.org/10.15454/IR0FDN,AO08112,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"9,14",,4,,"61,21",
2,2836254,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"10,71",,"3,5",,"51,33",
2,2836256,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"11,72",,,,"80,82",
1,2836255,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"10,41",,,,"77,26",
1,2836253,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27783,https://doi.org/10.15454/S3WW0P,CF06136,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"8,87",,2,,"55,68",
1,2836149,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"11,26",,"5,5",,"35,03",
2,2836150,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"11,09",,9,,"36,4",
2,2836152,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,15",,,,"75,51",
1,2836151,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"11,56",,,,"70,93",
1,2836187,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"12,76",,,,"66,4",
2,2836188,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"14,21",,,,"71,46",
2,2836186,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2009,"15,37",,3,,"33,9",
1,2836185,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,26975,https://doi.org/10.15454/0TTU1F,CF03201,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"14,94",,"2,5",,"28,63",
2,2836236,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,2,,,,,,REPLICATION:2,treated,2009,"12,54",,,,"85,68",
1,2836233,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2009,"10,13",,"4,5",,"59,54",
1,2836235,BTH_Dijon_2009_SetA1,BTH_Dijon_2009_SetA1,27757,https://doi.org/10.15454/YPTSA5,AO07210,REPLICATION,1,,,,,,REPLICATION:1,treated,2009,"12,13",,,,"78,95",
